Current Date:,12/12/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/11/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.028,C,C,.034,.034,.032,.035,.036,.036,.037,.037,.037,.036,.036,.041,.042,.041,.039,.039,.037,.037,.039,.039,.036,.036,.042,15
,CHULA VISTA,.021,C,C,.020,.020,.020,.020,.022,.029,.034,.037,.035,.036,.039,.039,.039,.033,.027,.018,.009,.011,.013,.029,.016,.025,.039,13
,DOWNTOWN SES,.018,C,C,.020,.022,.019,.018,.020,.027,.032,.035,.034,.036,.032,.034,.028,.029,.022,.024,.025,.029,.018,.028,.025,.026,.036,12
,EL CAJON LES,.020,C,C,C,.013,.006,.027,.029,.032,.035,.034,.034,.033,.036,.037,.036,.032,.031,.025,.021,.015,.012,.009,.008,.025,.037,14
,KEARNY MESA,.018,C,C,.019,.022,.020,.020,.027,.034,.033,.035,.036,.040,.040,.040,.037,.035,.032,.032,.033,.036,.026,.017,.026,.029,.040,12
,OTAY MESA DVN,.009,C,C,.033,.035,.027,.033,.035,.037,.035,.035,.034,.035,.036,.039,.040,.039,.039,.032,.034,.034,.031,.033,.034,.033,.040,15
,PENDLETON,P,,,,,,,P,.034,.035,.041,.042,.042,.042,.042,.042,.043,.042,.039,.039,.032,.033,.037,.021,.037,.043,16
03 NO2 PPB,ALPINE,4.5,C,C,2.5,2.0,2.7,1.7,1.6,1.5,1.4,1.6,1.5,2.0,2.8,1.2,1.1,2.1,2.5,1.9,2.9,2.4,.9,.9,1.9,1.9,4.5,00
,CARMEL MT RCH,12.1,C,C,5.5,3.5,2.8,2.6,2.8,3.1,2.9,4.6,6.4,5.0,8.9,8.9,16.4,8.3,9.3,11.7,12.4,10.2,19.5,10.6,12.8,8.1,19.5,21
,CHULA VISTA,8.8,C,C,8.0,8.7,10.5,11.1,10.5,7.6,5.4,3.3,4.3,3.4,3.1,2.7,2.9,4.6,8.8,15.1,20.9,18.4,16.4,5.8,14.5,8.8,20.9,19
,DOWNTOWN SES,12.6,C,C,7.1,6.1,7.9,10.6,10.8,7.5,5.9,3.3,3.6,3.4,10.2,6.9,14.0,11.4,16.5,15.2,13.8,8.8,17.2,9.8,10.9,9.7,17.2,21
,EL CAJON LES,5.7,C,C,C,8.9,14.4,2.8,2.4,1.6,1.4,2.6,1.9,3.3,3.0,2.9,3.2,4.0,4.0,6.6,8.8,14.8,16.0,15.7,15.5,6.6,16.0,21
,KEARNY MESA,8.9,C,C,6.9,5.0,7.5,9.3,5.9,3.1,4.7,3.3,3.0,1.2,2.1,1.7,4.2,3.2,3.9,3.7,3.3,2.7,9.9,12.3,7.3,5.1,12.3,22
,OTAY MESA DVN,23.7,C,C,3.0,2.1,6.7,2.8,2.4,2.1,3.4,3.3,4.1,4.1,3.8,1.5,1.2,1.4,.9,2.1,2.8,3.9,3.0,4.1,3.3,3.8,23.7,00
,PENDLETON,P,,,,,,,P,2.2,2.3,.0,.3,.5,1.0,1.1,1.5,1.0,.5,2.1,1.9,7.3,5.7,2.1,6.0,2.2,7.3,20
04 NO PPB,ALPINE,.0,C,C,.0,.0,.0,.0,.1,.3,.2,.3,.3,.3,.2,.0,.0,.1,.2,.1,.0,.1,.0,.0,.0,.1,.3,08
,OTAY MESA DVN,2.7,C,C,.4,.5,.5,.5,.6,.8,1.0,.8,.8,.8,.7,.7,.5,.6,.5,.7,.4,.6,.5,1.2,1.3,.7,2.7,00
,PENDLETON,P,,,,,,,P,.8,.1,-.1,.0,.0,.0,.0,.2,.0,.0,.0,.0,.0,.0,.0,.0,.0,.8,08
06 CO PPM,CARMEL MT RCH,.4,C,C,.2,.2,.2,.1,.2,.2,.2,.2,.2,.2,.3,.3,.4,.3,.4,.5,.5,.4,.4,.3,.3,.3,.5,18
10 INTMP °C,ALPINE,28,28,29,28,28,28,28,28,27,27,27,26,27,26,27,26,27,27,27,27,27,27,27,27,27,29,02
,CARMEL MT RCH,25,25,26,25,25,25,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,26,02
,CHULA VISTA,24,24,24,24,26,25,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,23,23,25,24,26,04
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,27,21
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,KEARNY MESA,23,23,23,23,23,23,22,22,22,22,22,22,22,23,23,23,23,23,23,23,22,22,22,21,23,23,00
,OTAY MESA DVN,26,26,27,27,27,27,26,26,26,27,27,27,26,27,27,27,27,27,27,27,27,27,27,26,27,27,02
,PENDLETON,P,,,,,,,P,24,24,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,11
11 PM2.5 µg/M3,ALPINE,8.9,6.4,5.7,4.9,3.1,3.4,2.7,2.2,2.9,2.7,2.0,2.0,1.6,1.2,.6,1.1,3.5,3.6,4.7,6.0,5.7,4.0,5.0,5.3,3.7,8.9,00
,DOWNTOWN SES,14.7,14.0,12.8,10.4,9.6,9.5,15.2,14.2,8.8,6.8,3.7,3.5,4.0,3.1,3.4,5.1,6.1,8.5,8.2,8.7,7.1,6.5,5.0,4.6,8.0,15.2,06
,EL CAJON LES,9.1,12.1,9.9,10.0,9.0,9.2,5.4,6.0,4.1,2.8,3.4,2.0,3.1,1.8,2.4,4.1,6.8,8.4,12.3,11.8,14.1,12.9,14.7,13.0,7.8,14.7,22
,OTAY MESA DVN,43.8,30.3,7.0,9.1,4.3,14.6,7.5,6.1,15.1,10.8,5.9,4.3,3.3,2.3,1.3,2.5,3.7,3.9,4.2,6.0,7.4,6.7,5.2,3.6,8.7,43.8,00
,PENDLETON,P,,,,,,,P,5.1,7.2,4.7,4.2,4.0,5.3,7.7,6.9,8.1,8.2,6.9,6.3,4.8,5.5,5.7,5.5,6.0,8.2,17
12 VWDR °,ALPINE,109,90,112,119,119,122,130,138,138,138,161,166,174,234,279,292,162,288,291,273,301,324,314,178,0,324,21
,CHULA VISTA,100,103,101,114,123,125,134,129,136,163,165,166,192,288,283,297,128,123,37,102,357,55,325,111,0,357,20
,DOWNTOWN SES,92,59,82,97,111,115,127,130,141,173,177,180,215,292,282,282,175,325,335,336,337,321,279,321,0,337,20
,EL CAJON LES,105,313,105,143,338,342,146,133,141,150,178,185,198,262,261,268,131,137,121,137,326,138,104,42,0,342,05
,KEARNY MESA,108,65,109,103,100,132,149,146,146,158,164,181,273,276,277,254,284,279,293,304,306,257,266,208,0,306,20
,OTAY MESA DVN,140,143,137,145,150,156,152,141,138,141,171,162,165,239,306,305,37,33,16,4,343,8,14,37,0,343,20
,PENDLETON,P,,,,,,,P,157,171,220,237,230,276,276,268,288,303,312,311,34,294,276,47,0,312,18
13 SIGTHETA °,ALPINE,13,37,25,13,14,13,13,12,12,12,14,13,15,31,28,29,47,35,24,28,26,27,30,33,23,47,16
,CHULA VISTA,11,12,11,13,14,12,14,13,14,16,15,15,20,18,21,50,12,30,42,18,42,39,40,22,21,50,15
,DOWNTOWN SES,17,25,18,18,29,18,24,23,22,17,15,15,29,21,28,37,57,22,25,24,21,25,54,34,26,57,16
,EL CAJON LES,57,43,37,37,42,52,14,13,15,20,22,17,20,22,20,37,19,31,19,23,37,38,40,56,30,57,00
,KEARNY MESA,14,19,12,7,13,10,8,9,9,11,11,16,11,12,11,14,17,9,9,11,15,37,40,27,15,40,22
,OTAY MESA DVN,11,9,10,12,14,12,15,12,12,12,13,12,12,18,14,16,19,41,22,14,19,14,19,25,16,41,17
,PENDLETON,P,,,,,,,P,12,16,17,15,13,16,15,14,16,12,14,19,21,44,38,16,19,44,21
14 VWSP MPH,ALPINE,3.5,1.4,1.6,3.6,4.5,6.0,7.3,7.9,11.8,13.1,11.5,11.8,9.0,5.8,5.5,5.2,1.3,2.6,3.0,2.6,3.2,1.6,.4,.4,.0,13.1,09
,CHULA VISTA,4.6,4.6,4.3,4.8,3.9,6.2,6.7,8.3,9.0,10.9,13.4,11.4,9.3,7.6,4.7,4.1,1.2,1.2,.2,.7,1.7,.6,.9,2.2,.0,13.4,10
,DOWNTOWN SES,3.3,2.2,3.6,3.8,1.9,3.4,4.2,5.4,7.5,9.8,13.0,11.2,6.8,5.3,4.6,1.8,.6,2.0,2.3,2.3,3.4,2.1,1.0,.8,.0,13.0,10
,EL CAJON LES,1.2,.2,1.2,1.5,.3,.2,6.9,8.2,8.7,7.8,7.3,8.2,7.3,5.6,5.2,2.5,3.5,2.1,1.6,1.5,.9,1.0,1.0,.5,.0,8.7,08
,KEARNY MESA,3.7,3.5,3.2,4.4,3.3,3.2,6.6,9.1,13.4,12.4,12.7,12.7,12.5,7.0,8.6,4.1,3.7,5.1,4.9,6.2,5.4,1.8,.4,1.9,.0,13.4,08
,OTAY MESA DVN,3.4,5.5,6.9,6.8,7.4,8.1,8.7,11.5,17.3,16.2,14.2,13.0,12.9,7.8,6.5,8.4,4.1,1.5,1.7,3.1,3.6,3.9,3.6,2.3,.0,17.3,08
,PENDLETON,P,,,,,,,P,17.9,17.6,7.1,8.3,10.1,6.5,7.7,8.3,6.2,7.9,7.4,3.7,2.7,3.0,3.8,4.5,.0,17.9,08
15 SWSP MPH,ALPINE,3.6,1.9,1.7,3.7,4.7,6.2,7.5,8.1,12.1,13.4,11.9,12.1,9.4,7.1,6.1,6.1,1.9,3.1,3.2,2.8,3.5,1.9,.6,1.4,5.6,13.4,09
,CHULA VISTA,4.8,4.7,4.4,4.9,4.1,6.3,7.0,8.5,9.3,11.5,13.9,11.8,10.8,8.0,5.1,4.4,1.3,1.3,.8,.8,2.9,1.2,1.4,2.3,5.5,13.9,10
,DOWNTOWN SES,3.5,2.4,3.8,4.0,2.1,3.5,4.5,5.8,8.1,10.4,13.5,11.6,10.0,5.7,5.2,2.4,1.2,2.2,2.5,2.5,3.6,2.6,1.5,2.3,4.8,13.5,10
,EL CAJON LES,1.5,.6,1.3,1.7,1.0,.5,7.1,8.5,9.0,8.7,7.9,8.6,8.1,6.2,5.5,3.3,3.7,2.5,1.7,1.7,1.6,1.2,1.4,1.7,4.0,9.0,08
,KEARNY MESA,3.8,3.6,3.6,4.5,3.5,3.3,6.6,9.3,13.6,12.6,12.9,14.0,13.6,7.4,8.9,4.3,4.3,5.1,5.0,6.7,6.5,2.9,2.3,3.7,6.8,14.0,11
,OTAY MESA DVN,3.5,5.6,7.0,6.9,7.8,8.4,9.1,11.7,17.7,16.6,14.6,13.3,13.2,10.8,6.7,9.4,4.5,1.7,1.8,3.2,3.9,4.1,4.2,2.5,7.8,17.7,08
,PENDLETON,P,,,,,,,P,18.3,18.5,7.9,9.1,10.4,6.8,8.1,8.7,6.5,8.1,7.7,4.9,2.9,4.3,5.1,4.9,8.3,18.5,09
16 AMBTEMP °F,ALPINE,44.2,44.6,45.4,45.8,46.1,45.6,46.5,47.9,48.2,50.1,51.2,50.7,50.4,50.2,48.2,45.6,44.1,45.1,45.5,45.2,43.6,42.4,42.6,42.2,46.3,51.2,10
,CARMEL MT RCH,48.9,49.8,49.7,50.3,51.1,51.4,52.3,51.7,52.9,53.3,53.3,53.8,52.9,52.2,51.7,52.3,51.3,51.7,51.4,49.7,48.4,46.3,46.2,46.0,50.8,53.8,11
,CHULA VISTA,52.4,52.0,51.8,52.6,51.9,52.8,53.9,55.3,58.0,60.6,59.6,57.7,57.1,55.4,54.9,54.2,54.2,54.1,54.0,52.9,52.4,51.2,50.3,48.5,54.1,60.6,09
,DOWNTOWN SES,52.6,52.3,52.9,52.5,52.4,52.1,53.2,55.1,57.7,59.2,57.8,56.5,55.8,54.9,54.8,54.9,55.2,55.6,55.4,54.9,53.8,52.0,52.0,50.9,54.4,59.2,09
,EL CAJON LES,49.5,48.0,48.6,49.5,49.1,48.4,52.0,53.6,56.1,58.4,56.2,55.6,55.6,54.5,53.6,51.8,51.5,50.8,50.5,49.9,50.0,47.7,46.9,46.4,51.4,58.4,09
,KEARNY MESA,50.4,49.8,51.1,51.2,51.5,52.0,53.2,55.1,57.8,57.5,56.1,56.2,55.4,54.8,54.4,54.8,54.8,54.6,53.5,52.9,51.5,50.8,48.9,49.6,53.2,57.8,08
,OTAY MESA DVN,51.1,52.0,54.0,53.3,53.5,51.8,54.0,55.2,56.7,58.0,57.3,55.3,55.0,54.5,53.1,51.8,50.6,51.9,51.5,51.4,51.4,49.9,49.0,48.3,52.9,58.0,09
,PENDLETON,P,,,,,,,P,54.7,55.3,55.3,55.4,55.4,55.2,56.6,54.3,56.7,56.9,55.6,55.4,53.0,54.0,53.7,48.7,54.8,56.9,17
17 RELHUM %,ALPINE,87,81,79,86,84,82,83,81,87,82,85,92,95,96,97,97,97,97,97,97,96,88,85,89,89,97,14
,EL CAJON LES,86,90,87,85,85,85,79,75,72,68,85,92,96,98,98,98,99,99,99,99,98,97,98,98,90,99,16
,KEARNY MESA,100,100,100,100,97,97,92,88,81,89,100,100,100,100,100,99,100,99,87,84,82,86,96,93,95,100,00
18 PRES mmHg,EL CAJON LES,751,751,751,750,750,750,750,750,749,749,749,748,747,747,747,747,747,747,747,748,748,748,748,748,749,751,00
,KEARNY MESA,752,752,752,751,751,751,751,751,750,750,750,749,749,748,748,748,748,748,749,749,749,749,749,749,750,752,00
19 SOLAR W/M2,EL CAJON LES,-6,-4,-3,-3,-4,-4,1,32,118,105,120,159,129,78,72,41,6,-3,-4,-4,-3,-6,-4,-3,34,159,11
,KEARNY MESA,0,0,0,0,0,0,3,33,80,91,84,90,102,120,91,61,9,0,0,0,0,0,0,0,32,120,13
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,0,0,3,8,8,10,13,10,6,6,3,0,0,0,0,0,0,0,0,3,13,11
25 NOY,EL CAJON LES,6.63,10.32,6.52,7.49,C,C,2.92,2.82,2.16,1.78,2.94,2.30,3.48,3.03,2.90,3.11,4.00,3.76,6.19,8.08,14.58,14.07,14.29,15.66,6.31,15.66,23
26 NOY-NO,EL CAJON LES,6.44,10.12,6.37,7.39,C,C,2.77,2.66,1.93,1.58,2.53,1.86,2.93,2.58,2.51,2.83,3.75,3.62,6.07,7.70,14.08,13.02,13.38,14.34,5.93,14.34,23
27 NO Trace,EL CAJON LES,.18,.20,.14,.10,C,C,.15,.15,.22,.19,.41,.44,.55,.44,.38,.28,.24,.13,.11,.37,.49,1.05,.90,1.32,.38,1.32,23
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,263.6,C,C,C,246.7,366.7,170.5,168.1,151.2,135.8,156.6,147.9,169.9,172.0,169.2,175.1,219.6,214.8,304.3,310.8,389.0,430.9,445.9,439.6,249.9,445.9,22
BCarbon ug/m3,10TH AVE MARINE TERM,2.07,1.29,1.33,1.00,1.10,1.20,1.72,1.42,1.41,.56,.11,.17,.34,.30,.06,.13,.40,.27,.19,.17,.33,.50,.12,.31,.69,2.07,00
,BOSTON AVE,4.12,3.75,3.00,1.38,.59,.88,1.43,1.25,.83,.46,.11,.10,.20,.30,.25,.68,1.03,3.94,.53,.66,.52,.70,.48,.65,1.16,4.12,00
,CHICANO PARK,1.62,1.03,.83,.72,.97,.71,1.12,1.09,.70,.34,.09,.09,.17,.28,.13,.17,.55,.44,.25,.28,.33,.41,.71,.55,.57,1.62,00
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,OCEANVIEW BLVD,1.29,1.40,.94,1.21,.72,.74,.94,.79,.51,.41,.11,.12,.11,.24,.13,.18,.25,.48,.49,.54,.51,.95,.61,.76,.60,1.40,01
,SAN YSIDRO,4.96,7.34,5.08,5.88,3.50,2.71,2.18,1.61,1.46,.28,.14,.14,.13,.06,.15,.11,.15,.15,.29,.90,.74,.63,.42,.42,1.64,7.34,01
PM10 STD,ALPINE,15.5,12.5,10.2,8.9,5.7,5.7,4.2,5.5,5.3,5.7,5.5,4.3,3.3,1.7,.7,2.2,7.1,6.4,9.2,11.7,12.1,8.9,11.4,11.8,7.3,15.5,00
,DOWNTOWN SES,20.8,19.6,20.6,16.0,16.0,16.6,26.1,25.6,22.4,30.8,17.1,8.8,8.8,5.9,7.1,11.2,14.2,18.9,20.5,21.0,17.9,14.9,11.7,11.2,16.8,30.8,09
,EL CAJON LES,14.3,17.0,15.2,15.1,14.1,15.2,9.7,11.7,9.1,8.7,13.3,6.2,6.1,3.1,4.1,8.1,11.3,13.8,18.3,18.8,21.9,20.3,22.2,20.4,13.2,22.2,22
,OTAY MESA DVN,83.9,57.3,13.8,16.9,10.8,33.2,25.5,33.1,377.9,190.3,88.9,12.0,7.5,5.2,2.1,4.9,8.2,9.2,9.8,14.5,17.1,14.3,10.9,8.3,43.9,377.9,08
,PENDLETON,P,,,,,,,P,12.7,16.1,11.0,9.9,9.6,13.7,23.5,21.0,25.2,29.7,23.1,22.0,13.2,15.9,19.7,11.6,17.3,29.7,17
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.08,.11,.10,.12,.07,.04,.00,.01,.00,.00,.00,.00,.00,.02,.02,.12,13
