Current Date:,6/1/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/31/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.019,C,C,.019,.021,.015,.015,.022,.027,.031,.032,.034,.036,.041,.040,.040,.040,.036,.032,.030,.027,.023,.025,.028,.028,.041,13
,CHULA VISTA,.018,C,C,.014,.013,.014,.018,.018,.021,.026,.031,.031,.032,.031,.030,.029,.029,.029,.026,.025,.024,.022,.016,.012,.023,.032,12
,DOWNTOWN SES,.019,C,C,.020,.021,.018,.016,.018,.022,.029,.031,.032,.031,.030,.032,.031,.031,.029,.029,.028,.027,.025,.024,.022,.025,.032,11
,EL CAJON LES,.019,C,C,C,.010,.010,.015,.019,.024,.027,.032,.036,.037,.035,.036,.035,.035,.033,.029,.027,.025,.025,.023,.018,.026,.037,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,C,C,.018,.013,.013,.015,.019,.022,.030,.032,.033,.033,.035,.033,.033,.033,.031,.029,.025,.022,.023,.021,.016,.025,.035,13
,OTAY MESA DVN,.020,C,C,.017,.015,.017,.020,.022,.025,.030,.035,.037,.036,.036,.034,.033,.032,.030,.028,.025,.024,.023,.019,.016,.026,.037,11
,PENDLETON,.013,C,C,.008,.008,.007,.013,.018,.024,.028,.030,.034,.034,.030,.031,.033,.030,.030,.028,.027,.027,.022,.017,.018,.023,.034,11
02 NOX PPM,ALPINE,.001,C,C,.002,.002,.003,.005,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.003,.004,.003,.002,.002,.005,06
,CARMEL MT RCH,.003,C,C,.006,.009,.005,.004,.011,.009,.008,.009,.009,.009,.008,.007,.009,.008,.009,.009,.008,.010,.008,.006,.011,.008,.011,07
,CHULA VISTA,.002,C,C,.003,.003,.003,.003,.003,.005,.004,.003,.003,.002,.003,.002,.002,.002,.003,.004,.003,.003,.004,.006,.008,.003,.008,23
,DOWNTOWN SES,.002,C,C,.002,.001,.003,.003,.003,.003,.002,.002,.003,.002,.002,.002,.001,.002,.002,.002,.002,.002,.004,.003,.004,.002,.004,21
,EL CAJON LES,.002,C,C,C,.002,.002,.002,.003,.003,.002,.002,.001,.001,.002,.002,.002,.002,.001,.002,.003,.004,.003,.003,.004,.002,.004,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.001,.005,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.002,.002,.004,.002,.005,04
,OTAY MESA DVN,.006,C,C,.003,.007,.004,.002,.002,.002,.002,.003,.002,.002,.002,.002,.002,.002,.003,.002,.003,.003,.004,.006,.006,.003,.007,04
,PENDLETON,.002,C,C,.003,.003,.006,.003,.003,.002,.002,.001,.002,.001,.001,.000,.001,.001,.001,.001,.002,.002,.004,.003,.003,.002,.006,05
03 NO2 PPM,ALPINE,.001,C,C,.002,.002,.002,.004,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.002,.003,.003,.003,.002,.002,.004,06
,CARMEL MT RCH,.002,C,C,.004,.005,.003,.002,.004,.003,.004,.005,.005,.004,.004,.003,.004,.004,.004,.005,.004,.006,.004,.004,.008,.004,.008,23
,CHULA VISTA,.002,C,C,.003,.003,.003,.002,.003,.003,.003,.003,.002,.002,.002,.001,.001,.002,.002,.004,.003,.003,.004,.006,.008,.003,.008,23
,DOWNTOWN SES,.002,C,C,.001,.001,.002,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.001,.001,.002,.002,.002,.003,.003,.003,.002,.003,21
,EL CAJON LES,.002,C,C,C,.002,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.002,.003,.003,.003,.004,.002,.004,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.001,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.002,.002,.002,.002,.003,.001,.004,04
,OTAY MESA DVN,.003,C,C,.002,.003,.002,.001,.001,.001,.001,.002,.002,.001,.001,.001,.001,.001,.002,.002,.003,.002,.003,.005,.006,.002,.006,23
,PENDLETON,.002,C,C,.002,.003,.004,.002,.002,.002,.001,.001,.002,.001,.001,.000,.001,.001,.001,.001,.002,.002,.004,.003,.003,.002,.004,05
04 NO PPM,ALPINE,.000,C,C,.000,.000,.001,.002,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.002,06
,CARMEL MT RCH,.001,C,C,.001,.004,.002,.002,.007,.005,.005,.004,.004,.005,.004,.004,.005,.004,.004,.005,.003,.004,.003,.002,.003,.004,.007,07
,CHULA VISTA,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,DOWNTOWN SES,.000,C,C,.000,.000,.000,.001,.001,.001,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,EL CAJON LES,.000,C,C,C,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,OTAY MESA DVN,.003,C,C,.002,.004,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.004,04
,PENDLETON,.000,C,C,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
06 CO PPM,CARMEL MT RCH,.1,C,C,.2,.2,.2,.2,.3,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.4,.3,.3,.3,.3,.4,08
10 INTMP °C,ALPINE,26,26,26,26,26,26,25,25,24,24,24,24,24,23,23,23,23,23,24,24,24,24,25,25,24,26,00
,CARMEL MT RCH,25,25,25,25,26,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,04
,CHULA VISTA,24,24,24,24,25,25,24,24,25,25,24,24,24,24,24,25,24,24,25,25,25,25,25,25,24,25,04
