Current Date:,5/28/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/27/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.059,C,C,.042,.046,.049,.042,.048,.056,.065,.073,.077,.080,.069,.064,.060,.055,.045,.037,.029,.025,.013,.012,.050,.080,13
,CHULA VISTA,.017,.015,C,C,.039,.037,.036,.035,M,.037,.042,.044,.045,.050,.047,.039,.027,.029,.030,.023,.024,.024,.024,.023,.032,.050,13
,DOWNTOWN SES,.023,.027,C,C,.026,.028,.021,.028,.031,.041,.043,.044,.046,.046,.050,.040,.028,.026,.025,.024,.024,.021,.022,.023,.031,.050,14
,EL CAJON LES,.013,.010,C,C,C,.016,.018,.023,M,M,.057,.063,.066,.063,.056,.052,.049,.042,.025,.022,.021,.018,.018,.019,.034,.066,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.017,C,C,.020,.021,.019,.021,.024,.032,M,M,M,.052,.045,.044,.040,.034,.027,.022,.022,.020,.021,.021,.027,.052,13
,OTAY MESA DVN,.024,.024,C,C,.015,.015,.016,.020,.027,.046,.048,.052,.055,.060,.052,.049,.042,.033,.030,.025,.024,.023,.023,.023,.033,.060,13
,PENDLETON,.018,.013,C,C,.028,.026,.021,.035,.035,.037,.039,.039,.036,.034,.036,.036,.034,.025,.023,.025,.029,.030,.030,.030,.029,.039,10
02 NOX PPM,ALPINE,.002,.001,C,C,.004,.003,.004,.013,.008,.006,.006,.005,.004,.004,.004,.004,.004,.005,.005,.005,.008,.010,.010,.008,.006,.013,07
,CARMEL MT RCH,.015,.020,C,C,.012,.006,.011,.023,.025,.033,.021,.021,.022,.020,.023,.021,.023,.014,.014,.014,.016,.009,.007,.005,.017,.033,09
,CHULA VISTA,.007,.006,C,C,.001,.004,.003,.004,M,.009,.005,.004,.006,.003,.005,.003,.002,.002,.001,.003,.001,.001,.002,.003,.004,.009,09
,DOWNTOWN SES,.007,.003,C,C,.010,.008,.020,.016,.017,.007,.005,.004,.005,.004,.002,.002,.002,.002,.004,.001,.002,.003,.003,.001,.006,.020,06
,EL CAJON LES,.008,.009,C,C,C,.006,.006,.007,M,M,.008,.008,.006,.004,.005,.004,.004,.005,.006,.006,.006,.007,.005,.004,.006,.009,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.007,C,C,.007,.006,.007,.012,.015,.017,M,M,M,.004,.003,.003,.003,.004,.003,.003,.002,.005,.003,.003,.006,.017,09
,OTAY MESA DVN,.003,.004,C,C,.008,.010,.009,.012,.012,.007,.008,.005,.005,.004,.003,.003,.002,.002,.002,.005,.003,.002,.002,.003,.005,.012,07
,PENDLETON,.007,.011,C,C,.004,.005,.008,.003,.005,.005,.001,.002,.013,.025,.003,.002,.000,.000,.000,.000,.000,.001,.000,.001,.004,.025,13
03 NO2 PPM,ALPINE,.001,.001,C,C,.004,.003,.003,.010,.006,.005,.005,.005,.003,.004,.003,.004,.003,.004,.005,.005,.007,.009,.010,.008,.005,.010,07
,CARMEL MT RCH,.013,.015,C,C,.007,.004,.006,.010,.012,.016,.012,.012,.012,.011,.012,.011,.013,.008,.008,.008,.009,.004,.004,.003,.010,.016,09
,CHULA VISTA,.007,.006,C,C,.001,.002,.002,.004,M,.006,.004,.004,.005,.003,.004,.003,.002,.001,.001,.003,.001,.001,.002,.003,.003,.007,00
,DOWNTOWN SES,.007,.003,C,C,.011,.008,.016,.012,.012,.006,.004,.004,.004,.004,.002,.002,.002,.002,.004,.001,.002,.004,.004,.001,.005,.016,06
,EL CAJON LES,.008,.009,C,C,C,.005,.005,.005,M,M,.007,.007,.005,.003,.004,.003,.004,.004,.005,.005,.006,.006,.005,.004,.005,.009,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.006,C,C,.007,.006,.006,.009,.010,.012,M,M,M,.003,.002,.002,.003,.003,.003,.003,.002,.005,.003,.003,.005,.012,09
,OTAY MESA DVN,.003,.003,C,C,.006,.007,.007,.008,.006,.006,.006,.004,.004,.003,.002,.002,.002,.001,.002,.005,.002,.002,.002,.002,.004,.008,07
,PENDLETON,.007,.010,C,C,.004,.005,.007,.002,.004,.003,.001,.001,.005,.010,.002,.001,.000,.000,.000,.000,.000,.001,.000,.001,.003,.010,01
