Current Date:,1/5/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/4/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.043,C,C,.044,.043,.043,.042,.035,.040,.044,.041,C,C,C,C,C,.044,.035,.038,.040,.042,.042,.043,.041,.044,04
,CHULA VISTA,.006,.006,C,C,.012,.007,.004,.009,.009,.012,.029,.031,C,C,C,C,C,.033,.022,.002,.006,.004,.006,.007,.012,.033,17
,DOWNTOWN SES,.001,.007,C,C,.005,.001,.001,.003,.006,.017,.015,.028,.035,.039,.038,.037,.036,.031,.030,.027,.018,.005,.008,.011,.018,.039,13
,EL CAJON LES,.002,.002,C,C,C,.001,.001,.002,.004,.010,.023,.035,.037,.041,.044,.044,.039,.031,.023,.019,.011,.004,.003,.003,.018,.044,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.016,C,C,.014,.008,.006,.013,.023,.035,.038,.038,.044,.046,.048,.046,.043,.036,.032,.028,.021,.022,.018,.020,.027,.048,14
,OTAY MESA DVN,.009,.011,C,C,.007,.011,.008,.004,.005,.018,.027,.030,.034,.035,.039,C,C,.036,.030,.024,.016,.008,.022,.007,.019,.039,14
,PENDLETON,.011,.011,C,C,.012,.010,.009,.011,.013,.016,.025,.035,.040,.046,.044,.046,.043,.043,.036,.016,.022,.024,.016,.014,.024,.046,13
02 NOX PPM,ALPINE,<,C,C,C,<,<,<,<,<,<,,,,,,,,,,,,,,,,C,C
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,C,C,C,C,C,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,<,C,C,C,<,<,<,,,,,,,,,,,,,,,,,,,C,C
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,C,C,<,<,<,<,<,<,<,,C,C
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,2.4,1.7,C,C,1.6,2.2,2.8,3.8,9.3,8.8,5.2,4.9,C,C,C,C,C,7.5,11.4,8.1,6.3,3.7,2.9,2.4,5.0,11.4,18
,CARMEL MT RCH,26.3,27.4,C,C,29.9,30.0,26.4,25.0,32.5,29.7,21.1,16.9,15.2,16.8,17.4,18.3,16.0,18.7,17.4,24.4,31.5,29.3,28.1,26.2,23.8,32.5,08
,CHULA VISTA,24.6,23.0,C,C,15.6,21.3,24.8,20.5,24.1,20.9,11.8,15.0,C,C,C,C,8.3,14.3,22.5,39.5,32.7,30.8,25.1,21.9,22.0,39.5,19
,DOWNTOWN SES,24.6,19.2,C,C,17.8,21.4,26.0,23.8,22.9,17.6,25.7,15.0,9.8,7.6,10.5,11.1,11.6,16.0,15.0,14.2,20.5,31.4,26.1,20.7,18.5,31.4,21
,EL CAJON LES,21.9,21.9,C,C,C,13.5,14.1,15.5,20.8,19.3,12.5,7.8,7.6,6.3,5.3,6.5,11.3,15.8,19.3,21.4,25.0,25.4,23.0,20.1,15.9,25.4,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,13.1,11.7,C,C,13.6,21.3,20.1,14.7,9.4,8.1,6.7,7.2,5.1,5.1,5.5,5.5,6.8,9.6,11.5,13.1,16.1,14.5,13.8,12.6,11.1,21.3,05
,OTAY MESA DVN,25.8,20.8,C,C,16.9,13.6,19.1,25.6,25.2,13.4,11.6,12.1,9.6,11.1,6.8,C,C,6.7,7.1,9.4,19.4,30.3,8.7,26.7,15.9,30.3,21
,PENDLETON,11.1,11.2,C,C,8.4,9.7,11.4,11.5,14.0,9.7,6.8,4.1,2.6,2.1,4.3,3.0,5.6,4.8,8.8,24.7,15.1,7.1,11.6,10.6,9.0,24.7,19
04 NO PPB,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.004,.004,2.103,2.204,C,C,C,C,C,.680,1.385,1.594,1.110,.368,.313,.301,.592,2.204,11
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,<,C,C,C,<,<,<,<,<,<,<,<,C,C,C,C,C,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,<,C,C,C,<,<,<,,,,,,,,,,,,,,,,,,,C,C
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.005,.009,C,C,.004,.004,.014,.034,.047,.015,5.699,5.185,3.762,4.158,1.927,C,C,.204,.774,1.116,4.308,7.718,1.842,6.328,2.157,7.718,21
,PENDLETON,.002,.000,C,C,.000,.001,.004,.006,.015,.013,3.501,1.499,.625,.451,1.943,.428,.219,.165,-.075,1.105,.175,.133,1.012,1.338,.570,3.501,10
06 CO PPM,CARMEL MT RCH,.5,.7,C,C,.7,.9,.7,.4,1.1,.9,.5,.5,.6,.6,.7,.7,.7,.6,.6,.8,.7,.9,.8,.7,.7,1.1,08
10 INTMP °C,ALPINE,28,27,28,28,28,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,28,28,28,28,27,28,00
,CARMEL MT RCH,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,24,25,25,25,24,24,24,23,24,25,12
,CHULA VISTA,23,24,23,23,24,24,23,24,25,24,23,25,26,26,26,26,26,26,25,24,24,23,23,23,24,26,12
,DOWNTOWN SES,25,25,25,25,25,25,25,25,25,24,23,23,22,22,22,22,22,23,24,24,24,24,24,24,24,25,00
,EL CAJON LES,24,24,24,24,25,25,24,24,25,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,25,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,22,22,25,23,23,24,23,22,22,23,25,25,25,25,25,25,25,25,24,24,24,23,22,24,25,03
,OTAY MESA DVN,26,27,27,27,27,27,27,27,27,27,27,26,26,26,25,25,25,25,26,26,26,26,26,26,26,27,01
,PENDLETON,25,25,25,25,25,25,26,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,06
11 PM2.5 µg/M3,ALPINE,-1.0,1.5,1.9,2.8,3.8,2.4,2.6,3.4,3.0,3.1,.7,-3.4,-2.4,2.2,5.0,3.8,6.4,6.8,9.9,10.8,13.9,11.4,8.4,6.6,4.3,13.9,20
,DOWNTOWN SES,19.9,9.5,11.4,10.5,8.2,11.9,8.8,9.4,9.6,11.0,13.0,9.3,6.0,6.8,7.4,6.7,5.8,7.9,11.4,9.3,11.2,19.2,17.1,15.6,10.7,19.9,00
,EL CAJON LES,17.8,17.0,20.8,14.1,11.9,13.9,14.5,11.3,14.5,11.9,7.9,5.2,6.9,5.5,7.9,9.2,5.6,2.3,12.1,17.3,51.1,22.9,24.2,37.4,15.1,51.1,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,16.9,15.1,19.2,18.3,19.2,15.8,11.4,18.2,28.1,9.3,7.5,15.1,9.4,5.7,5.6,5.5,12.7,10.8,6.0,9.8,11.5,16.9,3.4,23.1,13.1,28.1,08
,PENDLETON,14.5,14.3,11.8,9.1,10.1,5.7,4.3,8.6,8.9,6.5,4.6,M,-.1,2.2,3.0,4.3,4.8,3.8,6.1,6.2,5.3,4.4,6.6,15.7,6.9,15.7,23
