Current Date:,1/31/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/30/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,,,,,,,,,P,.045,.050,.052,.053,.055,.052,.053,.051,.046,.044,.040,.037,.045,.047,.051,.048,.055,13
,CHULA VISTA,.016,C,C,.015,.017,.020,.021,.014,.021,.031,.034,.040,.039,.043,.049,.046,.046,.042,.032,.021,.022,.030,.016,.011,.028,.049,14
,DOWNTOWN SES,.001,C,C,.008,.009,.014,.009,.008,.015,.021,.029,.033,.029,.039,.044,.045,.035,.041,.037,.024,.019,.006,.008,.005,.021,.045,15
,EL CAJON LES,.002,C,C,C,.001,.002,.002,.004,.013,.025,.032,.045,.050,.047,.048,.047,.047,.042,.031,.017,.025,.021,.010,.007,.024,.050,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,C,C,.028,.026,.024,.028,.021,.028,.034,.038,.043,.043,.044,.049,.051,.048,.042,.030,.023,.033,.032,.028,.022,.033,.051,15
,OTAY MESA DVN,.027,C,C,.018,.021,.018,.015,.019,.024,.029,.036,.040,.044,.044,.045,.048,.045,.039,.037,.034,.033,.035,.032,.038,.032,.048,15
,PENDLETON,.018,C,C,.019,.020,.020,.019,.023,.024,.029,.031,.033,.040,.039,.038,.044,.043,.044,.046,.027,.032,.027,.024,.020,.030,.046,18
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,,,,,,,,,P,3.0,1.5,1.0,1.4,1.4,7.3,6.6,6.7,7.6,8.3,8.7,7.1,3.6,3.2,1.8,4.6,8.7,19
,CARMEL MT RCH,13.3,C,C,20.8,17.0,19.4,24.5,23.5,12.1,11.0,7.2,13.1,11.2,15.1,15.9,15.5,11.6,11.9,21.1,19.3,12.5,25.2,27.5,28.1,17.1,28.1,23
,CHULA VISTA,18.9,C,C,16.6,15.0,12.7,12.2,19.2,15.6,9.5,15.4,13.0,10.4,6.1,2.9,6.3,2.7,4.9,10.3,18.3,15.2,8.7,17.8,19.2,12.3,19.2,07
,DOWNTOWN SES,30.5,C,C,20.2,18.9,15.5,20.5,21.8,15.5,13.9,10.5,12.2,20.6,6.8,4.3,3.5,12.0,5.4,7.8,18.2,18.8,29.0,26.8,24.9,16.2,30.5,00
,EL CAJON LES,27.3,C,C,C,21.5,21.4,20.4,19.0,16.3,9.9,10.0,4.3,3.3,8.6,6.0,6.2,5.9,6.3,12.3,17.8,9.8,11.6,17.5,17.0,12.9,27.3,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11.2,C,C,7.4,6.8,9.3,5.8,10.5,8.3,7.8,6.0,5.8,10.3,13.4,7.9,4.4,3.5,6.1,14.3,14.1,6.7,8.8,13.7,18.0,9.0,18.0,23
,OTAY MESA DVN,5.6,C,C,13.0,8.9,13.1,17.3,11.9,10.4,9.9,10.9,13.1,8.3,8.7,5.6,3.2,2.5,3.1,2.1,5.8,5.6,5.2,7.3,2.5,7.9,17.3,06
,PENDLETON,8.9,C,C,6.4,6.2,5.5,6.2,5.8,4.8,4.9,6.9,9.1,6.8,9.6,10.7,9.4,8.5,4.2,2.5,15.6,6.8,7.0,8.1,9.3,7.4,15.6,19
04 NO PPB,ALPINE,,,,,,,,,P,1.153,.862,.465,.548,.529,2.104,1.504,.865,.305,.387,.383,.398,.281,.456,.294,.702,2.104,14
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.703,C,C,.323,.323,1.977,3.492,2.798,4.509,4.274,4.063,4.192,2.318,2.670,1.484,.786,.360,.293,.339,.393,.237,.562,.298,.235,1.664,4.509,08
,PENDLETON,-.040,C,C,-.135,-.148,-.064,.041,.617,1.506,1.738,2.549,3.367,2.001,2.873,2.902,1.248,.297,-.236,-.263,-.159,-.111,.000,-.093,-.136,.807,3.367,11
06 CO PPM,CARMEL MT RCH,.4,C,C,.6,.4,.8,1.0,.8,.3,.3,.3,.7,.6,.7,.7,.7,.6,.5,.7,.6,.4,.9,.8,.8,.6,1.0,06
10 INTMP °C,ALPINE,,,,,,,,,P,26,25,26,25,26,25,25,25,26,26,27,28,28,28,28,26,28,20
,CARMEL MT RCH,24,24,25,24,24,23,23,23,23,24,24,24,24,25,25,24,24,25,25,25,25,25,24,24,24,25,02
,CHULA VISTA,24,23,23,24,23,23,24,24,24,25,26,26,26,26,26,26,26,27,27,26,26,25,24,24,25,27,17
,DOWNTOWN SES,26,26,26,26,26,26,26,26,26,26,25,25,24,23,23,23,23,25,25,25,26,26,26,26,25,26,00
,EL CAJON LES,25,25,24,24,24,24,24,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,23,23,23,23,22,25,23,22,22,23,24,24,25,25,25,25,25,26,26,25,25,25,24,24,24,26,17
,OTAY MESA DVN,26,26,26,26,27,27,26,26,27,27,26,26,25,25,25,24,24,24,25,26,26,26,26,26,26,27,04
,PENDLETON,25,25,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,,,,,,,,,-2.7,-4.7,-5.6,-4.0,-2.9,-.3,4.3,6.7,11.1,15.1,9.5,15.6,12.4,13.7,7.6,6.3,5.1,15.6,19
,DOWNTOWN SES,28.4,14.9,11.5,9.0,5.2,5.3,6.5,4.9,4.0,5.4,6.7,9.6,15.1,9.5,9.7,6.3,6.1,9.0,7.5,10.7,12.8,17.1,18.4,21.4,10.6,28.4,00
,EL CAJON LES,21.1,19.2,12.9,15.3,11.1,15.8,13.3,14.1,13.6,9.7,6.5,6.9,4.7,6.1,7.9,10.3,7.6,8.8,11.3,27.9,11.0,10.7,15.1,15.9,12.3,27.9,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.4,21.8,14.4,23.5,16.6,10.0,9.2,8.6,8.8,13.0,16.0,18.3,8.2,13.4,7.4,3.1,4.2,4.7,2.9,4.9,5.3,8.9,7.7,5.0,10.0,23.5,03
,PENDLETON,9.2,9.6,8.2,8.0,4.4,6.4,4.9,2.6,5.7,4.7,5.5,6.7,7.6,14.1,10.1,10.1,11.8,9.9,7.9,9.1,9.3,11.0,13.2,14.2,8.5,14.2,23
12 VWDR °,ALPINE,,,,,,,,,P,218,345,303,300,289,251,284,305,269,261,72,98,86,32,92,0,345,10
,CHULA VISTA,77,97,99,89,75,94,86,84,98,121,163,250,247,247,247,261,268,270,336,77,98,90,66,89,0,336,18
,DOWNTOWN SES,73,49,40,7,46,48,2,72,85,159,198,207,221,230,232,243,273,303,351,47,52,191,72,30,0,351,18
,EL CAJON LES,107,236,242,267,108,251,210,120,100,327,294,258,277,236,221,211,204,265,329,97,89,82,105,228,0,329,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,98,59,58,51,98,63,49,83,95,121,171,218,240,237,241,242,281,314,24,58,66,78,145,297,0,314,17
,OTAY MESA DVN,7,102,78,133,116,116,138,3,130,157,155,179,274,299,310,301,291,306,18,108,113,107,327,20,0,327,22
,PENDLETON,71,69,68,63,63,59,50,58,65,76,138,212,219,233,243,260,243,214,184,51,61,66,73,69,0,260,15
13 SIGTHETA °,ALPINE,,,,,,,,,P,55,35,31,30,32,32,27,23,37,58,54,25,16,49,27,35,58,18
,CHULA VISTA,17,46,22,41,19,16,40,58,16,22,36,35,19,23,20,20,21,20,22,12,12,17,21,22,25,58,07
,DOWNTOWN SES,33,28,44,47,41,41,52,39,24,24,28,30,19,19,24,22,21,28,22,18,21,36,33,40,31,52,06
,EL CAJON LES,18,67,28,40,55,74,64,68,50,52,43,56,51,23,19,23,18,25,49,17,15,33,32,48,40,74,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,6,8,9,17,10,7,13,16,18,26,36,27,12,12,15,10,16,29,7,7,23,42,45,18,45,23
,OTAY MESA DVN,31,16,32,38,35,55,42,50,24,15,15,29,25,11,16,14,13,15,20,29,31,38,31,16,27,55,05
,PENDLETON,13,9,9,9,8,11,9,9,11,13,30,15,14,15,11,17,22,21,14,11,11,10,14,11,13,30,10
14 VWSP MPH,ALPINE,,,,,,,,,P,1.1,3.3,3.9,4.4,4.3,5.2,4.7,3.8,2.3,.3,1.0,2.1,2.7,.6,1.0,.0,5.2,14
,CHULA VISTA,2.0,2.5,3.7,1.6,2.2,3.8,2.7,1.9,5.1,3.1,2.7,2.8,7.6,7.4,7.4,6.9,5.3,3.5,.9,2.2,4.7,2.8,1.1,1.2,.0,7.6,12
,DOWNTOWN SES,1.1,2.1,1.7,1.1,1.8,2.4,1.9,2.1,2.7,2.9,2.8,2.9,6.3,7.5,6.5,5.5,5.5,3.6,2.0,2.3,1.9,.3,1.2,1.4,.0,7.5,13
,EL CAJON LES,1.9,.3,1.1,.8,.7,.5,.4,.4,1.8,.6,1.5,1.5,3.1,6.0,7.7,5.0,4.7,3.4,1.0,1.9,3.5,.5,.9,.4,.0,7.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.0,4.8,5.3,4.7,2.8,4.3,5.7,2.4,3.1,3.6,3.4,3.5,5.5,11.0,10.0,7.4,7.3,3.3,1.4,4.5,6.4,3.0,.3,.2,.0,11.0,13
,OTAY MESA DVN,1.3,3.8,1.3,3.1,2.4,.9,1.4,1.2,2.1,5.8,6.1,3.4,5.6,11.1,7.4,7.2,7.1,3.8,3.4,3.8,3.8,1.8,1.3,4.1,.0,11.1,13
,PENDLETON,6.0,6.4,7.4,6.0,6.5,7.5,7.3,6.8,7.3,6.4,2.4,4.1,5.3,6.4,6.7,4.0,3.1,2.3,1.7,3.4,6.7,6.4,3.2,4.0,.0,7.5,05
15 SWSP MPH,ALPINE,,,,,,,,,P,2.1,3.9,4.8,5.0,5.0,6.1,5.2,4.1,2.6,.3,1.1,2.2,2.8,1.2,1.0,3.2,6.1,14
,CHULA VISTA,2.2,2.9,3.9,2.1,2.4,4.0,3.2,2.4,5.2,3.3,3.4,3.4,7.9,8.0,7.8,7.3,5.7,3.7,1.5,2.2,4.8,2.9,1.2,1.2,3.9,8.0,13
,DOWNTOWN SES,1.2,2.3,2.0,1.6,2.0,2.8,2.9,2.4,2.9,3.4,4.0,3.5,6.6,8.0,7.1,6.0,5.8,4.1,2.5,2.5,2.8,.9,1.3,1.5,3.3,8.0,13
,EL CAJON LES,2.0,.6,1.2,1.0,.9,.7,1.0,1.1,2.1,.9,2.0,2.4,4.0,6.5,8.1,5.3,4.9,3.6,1.4,1.9,3.8,1.6,1.1,.9,2.5,8.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.1,4.8,5.3,4.7,3.0,4.5,5.7,2.6,3.2,3.9,4.1,4.1,6.0,11.3,10.3,7.7,7.6,3.6,2.1,4.6,6.5,3.2,1.1,.5,4.7,11.3,13
,OTAY MESA DVN,2.1,3.9,2.5,3.6,3.3,1.8,2.0,2.7,3.5,6.0,6.3,4.1,6.0,11.3,7.7,7.4,7.3,4.4,3.8,4.3,3.9,2.5,1.9,4.3,4.4,11.3,13
,PENDLETON,6.2,6.6,7.5,6.2,6.6,7.7,7.5,6.9,7.4,6.6,4.3,4.2,5.5,6.7,6.8,4.3,3.2,2.5,1.9,3.4,6.9,6.5,3.3,4.1,5.5,7.7,05
