Current Date:,1/10/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
1/9/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,C,C,.041,.043,.044,.046,.045,.043,.044,.047,.048,.049,.050,.052,.051,.053,.050,.047,.048,.049,.050,.049,.050,.047,.053,16
,CHULA VISTA,.018,C,C,.009,.011,.014,.012,.013,.017,.016,.028,.033,.031,.039,.038,.043,.044,.030,.010,.015,.011,.010,.009,.017,.021,.044,16
,DOWNTOWN SES,.010,C,C,.007,.005,.003,.002,.003,.012,.023,.022,.026,.029,.033,.037,.035,.020,.008,.010,.002,.002,.002,.003,.006,.013,.037,14
,EL CAJON LES,.002,C,C,C,.001,.001,.001,.002,.005,.011,.018,.034,.043,.046,.045,.044,.038,.023,.017,.010,.003,.003,.002,.002,.016,.046,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,C,C,.016,.015,.017,.018,.016,.017,.024,.037,.041,.043,.045,.043,.043,.040,.033,.014,.013,.023,.030,.028,.029,.027,.045,13
,OTAY MESA DVN,.023,C,C,.018,.020,.016,.008,.022,.020,.033,.037,.045,.045,.046,.046,.036,.038,.035,.034,.039,.037,.038,.040,.039,.032,.046,13
,PENDLETON,.018,C,C,.016,.015,.013,.012,.012,P,,,,,,,P,.031,.023,.013,.007,.012,.022,.022,.026,.017,.031,16
02 NOX PPM,ALPINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPB,ALPINE,2.7,C,C,1.4,1.0,.9,.7,1.4,2.4,2.4,.6,.5,.5,.6,.5,.6,.6,2.2,3.1,2.0,.9,.6,.6,.5,1.2,3.1,18
,CARMEL MT RCH,19.1,C,C,10.9,16.3,16.4,14.4,13.1,11.3,7.9,13.7,9.0,9.6,5.4,10.6,16.3,16.3,21.8,28.8,26.2,11.0,31.2,20.8,12.7,15.5,31.2,21
,CHULA VISTA,8.5,C,C,10.9,9.4,6.9,9.2,8.8,7.6,9.2,7.0,8.9,16.3,10.6,11.1,9.0,9.3,17.2,33.3,26.6,26.3,25.9,25.2,18.6,14.3,33.3,18
,DOWNTOWN SES,17.3,C,C,13.2,12.8,13.2,15.4,13.9,12.0,9.5,14.0,13.5,15.2,12.3,7.9,12.3,28.1,35.5,33.0,39.6,37.5,36.6,36.7,31.8,20.9,39.6,19
,EL CAJON LES,13.8,C,C,C,10.4,9.8,9.1,8.7,11.2,11.5,11.1,7.7,3.5,2.6,4.5,5.3,9.5,17.2,20.5,24.9,29.3,25.6,24.4,22.2,13.4,29.3,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.9,C,C,6.8,6.9,6.5,6.4,8.1,7.3,5.8,3.4,2.0,1.6,1.8,5.7,4.9,5.6,9.6,23.5,26.9,18.3,9.4,10.9,10.4,8.5,26.9,19
,OTAY MESA DVN,4.7,C,C,4.4,2.1,6.0,16.5,6.5,4.0,2.0,1.7,.7,1.0,1.0,2.1,7.0,7.3,8.1,6.7,3.4,4.1,3.0,1.4,1.7,4.3,16.5,06
,PENDLETON,5.0,C,C,5.5,4.9,5.5,5.3,6.7,P,,,,,,,P,13.7,19.1,28.2,29.8,20.7,12.3,8.6,6.6,12.2,29.8,19
04 NO PPB,ALPINE,.358,C,C,.317,.299,.296,.296,.418,.803,.943,.419,.399,.362,.370,.460,.528,.331,.358,.263,.280,.248,.265,.292,.266,.389,.943,09
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN SES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.187,C,C,.149,.116,.682,3.412,1.728,1.977,.568,.506,.148,.254,.197,.446,1.391,.554,.306,.268,.161,.154,.127,.136,.117,.617,3.412,06
,PENDLETON,.025,C,C,.005,-.059,.112,.330,2.103,P,,,,,,,P,.746,.264,4.753,3.879,.684,.006,-.017,-.115,.908,4.753,18
06 CO PPM,CARMEL MT RCH,.7,C,C,.3,.6,.6,.7,.4,.3,.2,.5,.4,.5,.3,.8,.8,.8,1.1,1.2,.8,.3,.9,.7,.2,.6,1.2,18
10 INTMP °C,ALPINE,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,28,00
,CARMEL MT RCH,23,23,24,23,23,23,23,22,22,23,24,23,24,24,24,24,24,24,25,25,25,25,25,25,24,25,18
,CHULA VISTA,23,23,24,23,23,23,23,23,24,25,26,26,26,26,26,26,26,26,26,25,25,24,24,23,25,26,10
,DOWNTOWN SES,24,24,24,24,25,25,25,25,25,24,23,23,22,22,22,21,21,23,23,23,24,24,24,24,24,25,04
,EL CAJON LES,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,22,23,22,23,24,22,22,25,24,25,25,24,24,25,25,25,25,26,25,25,25,24,24,24,26,18
,OTAY MESA DVN,26,26,26,26,26,26,27,27,26,26,26,26,25,25,24,24,23,24,25,25,26,26,26,26,26,27,06
,PENDLETON,25,25,26,26,26,26,26,26,P,,,,,,,P,24,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,6.2,9.2,8.9,7.5,3.6,-1.6,-1.3,.0,-1.6,-6.0,-7.5,-3.7,-1.1,-.4,.4,3.5,4.1,3.8,3.5,5.0,5.8,6.5,5.5,2.9,2.2,9.2,01
