,PENDLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 NO2 PPM,ALPINE,.001,C,C,.001,.001,.001,.001,.002,.004,.003,.002,.002,.002,.001,.001,.002,.005,.006,.007,.003,.003,.002,.002,.004,.003,.007,18
,CARMEL MT RCH,.019,C,C,.010,.011,.016,.023,.028,.017,.015,.007,.011,.011,.011,.010,.010,.012,.015,.021,.029,.030,.022,.018,.012,.016,.030,20
,CHULA VISTA,.009,C,C,.006,.008,.008,.011,.011,.009,.008,.006,.003,.003,.007,.010,.015,.017,.016,.020,.019,.026,.027,.032,.021,.013,.032,22
,DOWNTOWN SES,.026,C,C,.008,.006,.007,.009,.013,.010,.005,.006,.004,.003,.013,.011,.009,.009,.009,.008,.020,.032,.030,.029,.030,.014,.032,20
,EL CAJON LES,.018,C,C,C,.014,.014,.014,.014,.012,.013,.007,.003,.003,.004,.002,.004,.007,.010,.015,.022,.022,.023,.024,.023,.013,.024,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,C,C,.004,.004,.005,.006,.007,.005,.005,.002,.003,.002,.002,.003,.003,.004,.005,.008,.016,.016,.015,.009,.010,.006,.016,19
,OTAY MESA DVN,.007,C,C,.005,.003,.002,.004,.005,.002,.001,.001,.002,.001,.002,.002,.005,.008,.016,.022,.030,.032,.016,.004,.007,.008,.032,20
,PENDLETON,.002,C,C,.003,.003,.004,.004,.004,.004,.003,.002,.001,.001,.002,.001,.003,.005,.004,.011,.014,.014,.010,.009,.009,.005,.014,19
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.001,.002,.001,.001,.001,.001,.001,.000,.001,.001,.001,.000,.000,.001,.000,.000,.001,.001,.002,08
,CARMEL MT RCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,DOWNTOWN SES,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,.004,C,C,.003,.001,.000,.001,.003,.001,.000,.000,.000,.000,.000,.000,.001,.000,.003,.001,.007,.002,.001,.001,.002,.001,.007,19
,PENDLETON,.000,C,C,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
06 CO PPM,CARMEL MT RCH,.5,C,C,.2,.2,.3,.7,.8,.4,.4,.3,.6,.6,.6,.7,.6,.6,.7,.8,.8,.6,.4,.3,.2,.5,.8,07
10 INTMP °C,ALPINE,27,27,28,27,27,27,26,26,26,27,27,26,26,26,26,26,26,26,27,28,28,28,28,28,27,28,02
,CARMEL MT RCH,22,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,24,24,25,24,24,24,23,23,24,25,13
,CHULA VISTA,23,24,24,23,24,23,23,24,23,24,25,26,26,26,26,26,26,26,25,25,24,23,23,23,24,26,11
,DOWNTOWN SES,24,24,24,24,24,25,25,25,25,24,23,23,23,22,22,22,22,23,23,23,24,24,24,24,24,25,05
,EL CAJON LES,24,24,24,25,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,23,23,23,25,23,25,23,23,23,23,24,24,25,25,25,25,25,24,24,23,23,22,25,24,25,00
,OTAY MESA DVN,26,27,27,27,27,27,27,27,27,27,27,26,26,26,25,24,24,24,25,26,26,26,26,26,26,27,01
,PENDLETON,26,26,26,26,25,25,24,24,24,25,25,24,24,24,24,24,25,25,25,25,25,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,3.7,2.1,4.7,5.0,3.9,3.7,-.8,-4.1,-2.7,2.4,.1,-3.6,-3.2,-3.0,-2.6,-2.6,3.8,4.9,6.2,7.0,6.6,5.5,6.6,2.7,1.9,7.0,19
,DOWNTOWN SES,21.6,15.0,12.7,8.4,11.0,8.3,6.7,15.5,3.2,3.0,2.0,3.1,4.7,4.0,3.6,3.6,4.0,4.5,4.6,16.2,17.3,23.9,24.3,26.3,10.3,26.3,23
,EL CAJON LES,13.4,17.6,11.2,10.6,7.0,10.7,9.9,9.5,18.6,8.2,5.4,2.9,1.1,2.4,3.2,2.4,5.5,-.2,5.7,29.2,21.3,25.5,20.6,27.0,11.1,29.2,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.4,1.6,.1,3.0,2.8,4.8,2.1,.0,-.4,-2.4,.1,.1,-2.0,-3.3,-2.0,1.1,3.1,2.8,6.3,18.1,26.2,10.7,7.0,3.3,3.4,26.2,20
,PENDLETON,1.7,1.5,6.9,4.9,3.0,2.7,2.7,3.6,1.6,.6,-.1,.6,-.4,-1.6,.2,.8,.9,1.0,1.7,7.5,M,5.5,8.3,10.7,2.7,10.7,23
12 VWDR °,ALPINE,2,2,45,18,55,48,66,83,113,293,295,227,202,276,254,259,290,321,100,99,91,100,11,15,0,321,17
,CHULA VISTA,74,93,70,76,76,91,100,100,96,82,11,18,356,276,302,304,307,317,355,354,104,77,74,58,0,356,12
,DOWNTOWN SES,36,43,35,35,51,54,59,44,7,106,17,42,46,237,282,302,312,343,347,88,53,49,26,32,0,347,18
,EL CAJON LES,208,202,143,101,233,225,88,195,323,337,316,44,19,268,220,249,257,314,259,104,113,229,151,126,0,337,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,52,57,70,68,62,72,70,73,136,152,104,359,345,323,308,304,305,325,345,41,122,71,72,66,0,359,11
,OTAY MESA DVN,79,79,112,99,52,12,26,59,26,331,334,326,318,182,232,274,269,175,127,113,129,33,24,16,0,334,10
,PENDLETON,41,72,68,69,72,70,66,61,68,62,73,81,59,288,298,305,313,313,333,356,42,37,55,56,0,356,19
13 SIGTHETA °,ALPINE,35,30,31,18,31,27,53,39,36,39,32,52,48,45,41,27,28,27,16,14,15,16,25,42,32,53,06
,CHULA VISTA,41,34,25,34,28,35,20,13,17,36,21,46,51,34,19,16,20,14,32,50,18,19,16,20,27,51,12
,DOWNTOWN SES,29,24,21,12,16,20,60,20,60,31,62,47,61,35,18,24,20,17,49,9,26,52,22,20,31,62,10
,EL CAJON LES,67,55,57,62,66,34,62,53,42,44,69,53,52,39,44,51,17,19,34,29,23,31,29,44,45,69,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,10,8,6,7,9,7,8,24,22,55,57,68,57,15,9,8,7,7,14,9,7,4,5,18,68,12
,OTAY MESA DVN,45,44,16,10,52,37,57,25,40,20,26,23,46,45,33,40,7,44,11,9,10,39,28,60,32,60,23
,PENDLETON,14,12,11,10,8,9,11,10,11,16,19,24,27,16,16,9,10,10,14,14,10,11,10,11,13,27,12
14 VWSP MPH,ALPINE,1.3,1.7,.7,1.7,.8,1.6,1.0,1.3,1.4,2.1,2.7,1.4,.8,1.9,2.6,3.0,1.7,1.0,2.1,2.1,2.1,1.6,1.2,.5,.0,3.0,15
,CHULA VISTA,2.2,1.7,2.5,4.4,2.6,2.5,3.0,3.4,4.0,1.4,3.3,2.0,2.1,4.5,6.1,5.7,4.3,2.1,1.4,.2,2.2,2.1,1.6,1.5,.0,6.1,14
,DOWNTOWN SES,1.3,1.8,2.2,4.4,4.2,3.6,2.4,3.6,.6,1.8,1.8,2.3,1.7,4.9,6.5,5.4,5.8,5.7,2.1,2.3,2.2,1.4,1.2,1.1,.0,6.5,14
,EL CAJON LES,.6,.2,.4,.6,.2,.6,.4,.4,.3,.8,.7,.9,.8,2.1,1.3,1.9,4.1,2.8,.6,1.3,1.6,1.2,.8,.0,.0,4.1,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.4,4.8,4.7,4.8,6.1,5.1,4.9,3.7,1.5,2.8,.8,2.1,.3,1.9,8.4,9.1,8.4,5.9,5.2,2.1,2.7,2.7,3.4,4.5,.0,9.1,15
,OTAY MESA DVN,1.4,2.3,7.1,8.7,1.7,2.2,1.0,1.6,1.2,2.5,2.2,2.5,2.2,2.5,3.1,4.5,5.0,.1,2.9,2.2,4.9,1.6,2.9,.6,.0,8.7,03
,PENDLETON,8.1,6.3,6.4,7.7,9.0,8.8,8.2,10.2,9.8,5.5,3.6,4.6,2.6,4.8,5.7,9.1,8.9,7.8,5.4,4.7,4.1,4.3,5.0,5.7,.0,10.2,07
15 SWSP MPH,ALPINE,1.4,1.9,1.5,2.0,1.5,2.2,1.9,1.9,1.7,2.6,3.1,2.8,2.5,2.9,3.4,3.5,1.9,1.5,2.3,2.2,2.2,1.6,1.9,.7,2.1,3.5,15
,CHULA VISTA,2.5,1.9,2.7,4.6,2.9,2.6,3.2,3.5,4.1,2.5,3.5,2.7,2.7,5.1,6.4,5.9,4.6,2.1,1.6,.5,2.3,2.2,1.7,1.6,3.1,6.4,14
,DOWNTOWN SES,1.5,2.2,2.4,4.5,4.4,3.8,2.9,3.8,1.6,2.1,2.5,3.1,2.7,6.0,6.9,5.8,6.2,5.9,2.4,2.5,2.3,1.6,1.4,1.3,3.3,6.9,14
,EL CAJON LES,1.1,.7,.9,.9,.8,.7,.7,.6,.7,1.1,1.4,1.3,2.0,2.5,2.5,2.6,4.3,3.0,1.5,1.5,1.9,1.2,.9,.2,1.5,4.3,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.5,4.9,4.7,4.8,6.1,5.2,4.9,3.8,1.8,3.0,2.6,3.1,2.6,2.9,8.7,9.2,8.5,6.0,5.3,3.2,2.9,2.7,3.4,4.6,4.6,9.2,15
,OTAY MESA DVN,2.4,3.4,7.5,8.9,3.1,2.7,1.2,2.7,1.5,2.6,2.4,2.7,2.9,4.4,3.8,4.9,5.1,1.8,2.9,2.2,5.0,2.4,3.0,.9,3.4,8.9,03
,PENDLETON,8.5,6.4,6.6,7.9,9.1,8.9,8.3,10.4,10.0,5.9,3.8,5.1,4.0,5.2,5.9,9.2,9.1,7.9,5.5,4.9,4.2,4.3,5.2,6.0,6.8,10.4,07
16 AMBTEMP °F,ALPINE,44.8,44.6,44.2,44.8,44.6,44.2,44.7,45.3,50.3,52.7,54.4,56.6,60.0,61.6,63.1,62.1,59.4,54.5,51.0,50.0,49.6,49.7,49.3,47.9,51.2,63.1,14
,CARMEL MT RCH,45.8,45.1,44.2,43.9,43.7,42.6,42.0,42.9,47.2,52.8,56.9,60.1,63.0,65.7,65.7,63.0,58.1,54.8,53.4,50.9,49.0,48.0,47.0,46.8,51.4,65.7,13
,CHULA VISTA,46.4,44.6,44.3,47.1,44.1,44.1,43.7,46.4,51.7,56.1,58.3,61.3,64.7,65.5,64.1,63.3,61.2,57.4,54.8,51.9,49.7,49.3,47.5,46.4,52.7,65.5,13
,DOWNTOWN SES,47.3,46.1,44.7,46.5,46.9,46.0,45.1,46.0,51.0,55.9,59.6,62.6,65.7,65.0,63.8,62.7,59.7,56.7,55.1,53.6,52.0,50.3,49.5,48.3,53.3,65.7,12
,EL CAJON LES,42.4,41.3,40.0,39.1,38.3,37.6,36.7,37.4,43.4,49.8,56.1,59.9,63.6,66.9,68.6,68.2,62.9,57.6,53.3,49.0,46.8,45.2,42.9,41.8,49.5,68.6,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,47.0,45.9,44.3,43.9,43.6,42.8,42.5,44.9,51.1,55.0,58.9,61.6,64.7,66.5,65.2,62.2,57.6,53.1,51.8,48.4,47.2,48.3,47.3,46.3,51.7,66.5,13
,OTAY MESA DVN,46.5,46.6,48.5,49.1,46.4,45.8,45.2,46.3,51.1,54.3,57.8,61.3,64.3,66.7,67.6,65.5,58.8,55.2,53.0,52.0,51.7,49.6,47.6,46.6,53.2,67.6,14
,PENDLETON,48.7,45.7,44.9,44.3,42.4,41.4,40.6,45.3,49.9,55.6,59.9,62.6,65.3,62.0,61.0,59.8,58.0,56.3,55.1,53.5,51.0,49.3,47.4,45.2,51.9,65.3,12
17 RELHUM %,ALPINE,89,86,82,74,65,48,36,33,26,27,24,20,18,17,15,18,22,31,32,34,33,32,33,35,39,89,00
,EL CAJON LES,78,86,89,91,92,93,94,92,78,62,33,18,16,16,15,20,31,37,50,60,65,64,71,74,59,94,06
,KEARNY MESA,81,85,88,85,85,84,83,77,59,42,31,30,27,22,29,31,51,71,75,77,75,58,63,73,62,88,02
18 PRES mmHg,EL CAJON LES,755,756,756,756,756,756,756,756,757,757,757,756,754,753,753,753,753,753,753,754,754,754,754,754,755,757,08
,KEARNY MESA,756,756,757,757,757,757,757,757,758,758,758,757,755,755,754,754,754,754,754,755,755,755,755,755,756,758,08
19 SOLAR W/M2,EL CAJON LES,-1,0,0,0,0,0,1,28,143,433,521,584,574,498,372,201,39,-3,-3,-2,-1,-1,-1,0,141,584,11
,KEARNY MESA,0,1,1,1,0,1,2,88,285,464,582,633,620,545,417,243,60,1,0,1,1,1,1,0,165,633,11
25 NOY,EL CAJON LES,20.63,20.83,21.53,24.49,C,C,31.61,32.02,22.86,25.24,9.90,4.79,4.28,5.45,3.45,5.56,7.11,9.80,13.46,20.59,22.48,23.92,28.77,37.89,18.03,37.89,23
26 NOY-NO,EL CAJON LES,18.02,16.55,17.03,15.98,C,C,14.34,13.97,11.81,13.04,6.65,3.59,3.33,4.02,2.84,4.83,6.69,9.59,13.13,19.89,21.47,22.70,24.06,25.02,13.11,25.02,23
27 NO Trace,EL CAJON LES,2.60,4.28,4.50,8.50,C,C,17.27,18.05,11.05,12.19,3.25,1.20,.95,1.43,.61,.72,.42,.21,.32,.70,1.00,1.21,4.71,12.86,4.91,18.05,07
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.0,.1,.1,.0,.0,.0,.0,.0,.0,.0,.1,.1,.1,.1,.1,.1,.1,.0,.1,08
29 CO Tr PPB,EL CAJON LES,371.6,C,C,C,347.7,415.4,440.0,397.8,359.2,450.4,267.9,173.4,174.2,188.1,166.6,215.5,235.2,279.8,381.6,486.5,543.7,577.7,643.3,670.4,370.7,670.4,23
BCarbon ug/m3,10TH AVE MARINE TERM,2.56,1.55,1.62,1.23,.81,.86,.77,1.27,.98,.40,.33,.69,.70,.38,.47,.40,.46,.88,.49,1.26,2.33,4.38,2.57,4.48,1.33,4.48,23
,ALPINE,<,<,<,<,<,<,<,<,<,.12,.08,.11,.10,.07,.08,.12,.36,1.17,.69,.37,<,<,<,<,.30,1.17,17
,CHICANO PARK,3.46,1.82,1.87,.96,.57,.61,.59,2.37,.77,.30,.27,.28,.47,.49,.41,.63,.62,.51,.76,2.27,2.73,2.89,3.16,2.99,1.33,3.46,00
,DOWNTOWN SES,2.39,1.36,1.37,.61,.52,.48,.43,1.14,.41,.18,.26,.19,.15,.43,.44,.44,.40,.47,.53,1.28,2.13,3.11,2.51,2.59,.99,3.11,21
,OCEANVIEW BLVD,2.97,2.07,1.48,.78,1.33,.96,.83,1.07,.87,.23,.20,.13,.11,.37,.40,.42,.36,.93,.75,1.68,1.38,1.84,2.43,2.92,1.10,2.97,00
,SAN YSIDRO,.79,.60,.23,.20,.77,.58,.41,.27,.29,.27,.35,.32,.18,.25,.20,.21,.22,.29,.54,1.26,1.39,1.57,4.27,4.62,.84,4.62,23
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
