Current Date:,2/11/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
2/10/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.028,.025,C,C,.031,.034,.029,.023,.035,.039,.040,.042,.044,.047,.051,.051,.047,.044,.042,.042,.039,.026,.035,.033,.037,.051,14
,CHULA VISTA,.021,.012,C,C,.023,.019,.011,.010,.026,.037,.037,.041,.047,.046,.046,.048,.047,.043,.039,.035,.023,.016,.009,.015,.029,.048,15
,DOWNTOWN SES,.028,.024,C,C,.033,.025,.020,.023,.035,.040,.041,.042,.045,.045,.047,.048,.047,.046,.042,.038,.032,.017,.020,.014,.034,.048,15
,EL CAJON LES,.035,.025,C,C,C,.020,.012,.019,.021,.029,.037,.042,.046,.048,.047,.048,.047,.045,.042,.039,.027,.016,.012,.016,.032,.048,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.032,C,C,.021,.033,.018,.025,.038,.040,.043,.043,.045,.046,.048,.048,.047,.042,.039,.035,.025,.021,.014,.023,.034,.048,14
,OTAY MESA DVN,.030,.024,C,C,.025,.021,.021,.020,.025,.038,.038,.040,.042,.045,P,<,<,.041,.039,.034,.033,.032,.017,.021,.030,.045,13
,PENDLETON,.024,.024,C,C,.018,.016,.014,M,M,M,M,M,M,M,M,.044,.045,.044,.044,.043,.026,.025,.020,.018,.028,.045,16
02 NOX PPM,ALPINE,.006,.006,C,C,.004,.004,.006,.013,.004,.004,.004,.004,.004,.004,.004,.004,.004,.004,.005,.005,.005,.010,.004,.004,.005,.013,07
,CARMEL MT RCH,.007,.011,C,C,.016,.029,.025,.042,.035,M,M,.021,.021,.019,.019,.025,.024,.023,.021,.022,.024,.035,.031,.016,.023,.042,07
,CHULA VISTA,.013,.018,C,C,.010,.013,.022,.026,.017,.009,.009,.008,.004,.002,.003,.003,.004,.006,.009,.010,.019,.022,.023,.022,.012,.026,07
,DOWNTOWN SES,.010,.012,C,C,.006,.012,.017,.020,.010,.007,.006,.007,.005,.005,.004,.003,.004,.005,.007,.009,.012,.022,.020,.023,.010,.023,23
,EL CAJON LES,.005,.007,C,C,C,.008,.012,.012,.014,.009,.004,.004,.003,.004,.004,.003,.004,.005,.006,.006,.013,.016,.017,.009,.008,.017,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.003,C,C,.008,.006,.018,.016,.006,.005,.003,.004,.005,.004,.003,.004,.004,.005,.005,.007,.012,.013,.015,.007,.007,.018,06
,OTAY MESA DVN,.005,.005,C,C,.004,.004,.005,.004,.007,.003,.004,.005,.006,.006,P,<,<,.005,.006,.006,.006,.007,.018,.011,.006,.018,22
,PENDLETON,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.003,.002,.003,.002,.001,.014,.012,.014,.010,.007,.014,20
03 NO2 PPM,ALPINE,.006,.006,C,C,.004,.004,.006,.012,.004,.003,.003,.003,.004,.003,.004,.004,.004,.004,.005,.004,.005,.009,.004,.004,.005,.012,07
,CARMEL MT RCH,.006,.009,C,C,.012,.018,.017,.022,.018,M,M,.011,.013,.010,.010,.013,.014,.014,.013,.015,.018,.026,.024,.015,.015,.026,21
,CHULA VISTA,.013,.018,C,C,.010,.012,.020,.021,.013,.007,.008,.006,.003,.002,.002,.003,.004,.006,.008,.010,.018,.022,.023,.022,.011,.023,22
,DOWNTOWN SES,.011,.013,C,C,.007,.012,.017,.018,.009,.006,.005,.006,.004,.004,.004,.003,.004,.005,.007,.009,.012,.022,.019,.022,.010,.022,21
,EL CAJON LES,.004,.006,C,C,C,.008,.012,.010,.011,.008,.004,.003,.003,.003,.003,.003,.003,.004,.005,.006,.013,.015,.015,.009,.007,.015,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.004,C,C,.008,.006,.017,.015,.005,.004,.003,.004,.004,.003,.003,.003,.004,.005,.006,.007,.012,.013,.015,.007,.007,.017,06
