,DOWNTOWN SES,.011,.001,C,C,.000,.000,.001,.005,.006,.005,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.011,00
,EL CAJON LES,.004,.001,C,C,C,.006,.007,.013,.005,.002,.002,.001,.000,.000,.000,.000,.001,.001,.000,.001,.000,.000,.000,.000,.002,.013,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.005,.011,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.011,07
,OTAY MESA DVN,.006,.002,C,C,.003,.001,.002,.004,.005,.004,.002,.001,.001,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.006,00
,PENDLETON,.000,.000,C,C,.000,.000,.000,.002,P,,,,,,P,.006,-.001,-.001,-.001,-.001,-.001,-.001,-.001,-.001,.000,.006,15
06 CO PPM,CARMEL MT RCH,.6,.3,C,C,C,.5,.4,.3,.2,.4,.5,.5,.5,.5,.5,.4,.4,.5,.4,.4,.4,.2,.4,.3,.4,.6,00
10 INTMP °C,ALPINE,27,27,27,26,27,27,27,27,26,25,24,24,24,24,24,24,25,24,25,25,25,25,26,25,25,27,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,26,27,26,26,26,26,27,27,26,26,26,25,25,26,26,25,25,25,25,25,25,24,26,27,03
,DOWNTOWN SES,26,26,26,26,27,26,26,27,26,26,25,26,25,25,25,24,25,25,25,25,25,26,25,26,26,27,04
,EL CAJON LES,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,24,24,25,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,25,25,26,25,26,26,26,26,26,25,26,11
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,26,25,25,25,24,25,25,25,26,26,26,26,26,26,00
,PENDLETON,26,26,26,26,26,26,26,26,P,,,,,,P,24,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,6.3,3.4,1.2,-.5,-.3,1.0,.4,1.1,1.8,-1.0,-3.1,.8,2.4,2.7,5.4,5.1,5.2,2.5,4.2,7.6,5.8,3.4,5.9,3.1,2.6,7.6,19
,DOWNTOWN SES,13.6,14.0,11.9,10.6,7.0,6.3,8.0,11.6,16.5,11.5,8.5,6.4,5.5,4.5,7.3,8.7,6.2,6.4,5.8,7.1,7.5,5.4,1.9,.1,8.0,16.5,08
,EL CAJON LES,15.3,11.6,12.5,12.7,10.8,5.5,4.8,8.1,12.0,10.3,8.9,7.1,7.3,6.4,5.2,5.8,6.2,6.1,5.3,8.4,11.7,10.9,7.5,7.2,8.6,15.3,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.6,9.2,9.8,23.5,15.6,9.6,6.8,16.5,10.2,17.6,8.4,11.5,5.4,6.2,6.7,6.1,9.3,7.8,8.3,7.6,6.5,4.6,7.1,7.6,9.8,23.5,03
,PENDLETON,7.4,9.1,6.8,4.4,6.0,5.9,7.3,5.3,,,,,,,M,3.9,4.8,5.4,6.6,7.2,6.8,6.9,9.9,7.7,6.5,9.9,22
12 VWDR °,ALPINE,8,61,52,115,144,89,93,108,150,262,290,264,233,216,226,245,261,245,274,268,272,234,226,123,0,290,10
,CHULA VISTA,101,90,92,100,92,107,119,123,138,152,194,215,242,235,237,238,247,236,269,270,274,240,286,257,0,286,22
,DOWNTOWN SES,52,57,58,69,66,83,95,111,141,166,188,211,216,202,205,232,248,237,279,257,322,221,284,258,0,322,20
,EL CAJON LES,143,348,278,264,13,127,157,215,47,208,224,232,217,210,226,235,227,225,233,221,182,155,158,113,0,348,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,71,66,74,90,79,93,116,133,142,173,203,206,205,206,228,236,250,245,257,249,175,140,222,227,0,257,18
,OTAY MESA DVN,44,62,89,157,129,125,84,155,158,151,223,220,230,202,234,246,262,263,271,271,262,127,193,165,0,271,18
,PENDLETON,69,60,50,70,71,73,68,67,P,,,,,,P,246,249,231,244,247,168,278,100,67,0,278,21
13 SIGTHETA °,ALPINE,49,38,23,19,51,15,16,17,25,30,25,29,30,27,32,28,28,29,26,43,30,25,49,37,30,51,04
,CHULA VISTA,26,14,25,15,11,38,13,13,15,18,23,22,22,22,20,19,18,16,20,19,54,28,23,21,21,54,20
,DOWNTOWN SES,19,16,25,33,15,37,27,16,22,21,19,19,23,24,22,25,22,20,22,28,51,36,22,19,24,51,20
,EL CAJON LES,48,50,49,26,41,38,46,48,56,29,23,25,23,23,26,21,19,18,23,25,21,22,21,36,32,56,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,17,7,9,13,6,20,8,12,11,17,17,15,27,17,16,16,12,12,10,14,34,18,36,14,16,36,22
,OTAY MESA DVN,25,30,40,15,13,10,33,13,13,15,21,13,16,16,20,15,10,14,22,15,21,18,52,29,20,52,22
,PENDLETON,8,11,10,8,10,12,11,10,P,,,,,,P,16,14,16,14,15,39,28,48,13,17,48,22
14 VWSP MPH,ALPINE,.7,1.2,1.4,1.9,.6,2.1,2.3,2.6,1.4,2.5,5.4,5.2,4.5,5.1,5.2,6.1,6.1,4.9,4.6,1.7,1.9,1.9,.5,1.0,.0,6.1,15
,CHULA VISTA,1.3,3.3,3.2,3.4,4.8,2.2,3.5,5.3,5.9,5.7,5.6,6.5,6.2,6.0,7.4,7.5,6.2,5.8,5.3,3.7,1.1,1.4,3.5,2.1,.0,7.5,15
,DOWNTOWN SES,1.8,3.3,3.1,2.2,3.3,1.8,3.1,4.3,4.5,5.5,7.8,6.9,5.9,5.7,6.2,6.0,5.5,4.5,4.8,3.7,1.2,1.0,3.8,2.2,.0,7.8,10
,EL CAJON LES,.2,.3,.7,1.0,.1,1.3,.9,.4,.4,4.5,6.4,5.5,5.9,5.7,5.6,7.3,7.2,5.3,3.4,2.7,2.3,2.4,2.3,1.1,.0,7.3,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.2,4.2,4.5,2.4,3.6,3.3,2.7,2.6,6.0,7.7,8.7,7.9,5.9,6.7,8.5,10.2,10.4,6.8,5.5,4.3,2.2,2.8,.9,2.9,.0,10.4,16
,OTAY MESA DVN,2.2,1.4,1.8,3.0,2.9,4.1,1.5,3.6,6.5,8.8,8.6,9.0,7.5,6.6,6.4,8.4,11.6,2.9,3.4,3.7,1.2,2.3,.7,.3,.0,11.6,16
,PENDLETON,6.0,6.1,5.6,5.3,6.4,4.2,5.9,5.6,P,,,,,,P,6.7,6.4,4.7,5.9,5.5,2.3,3.2,1.1,3.7,.0,6.7,15
15 SWSP MPH,ALPINE,1.3,1.5,1.9,2.1,.8,2.3,2.4,2.7,2.0,3.6,6.0,5.9,5.4,5.7,6.1,7.1,6.9,5.4,5.1,2.2,2.1,2.1,1.3,1.2,3.5,7.1,15
,CHULA VISTA,1.4,3.4,3.3,3.5,4.9,2.3,3.6,5.5,6.1,6.0,6.1,7.2,6.7,6.5,7.9,7.9,6.5,6.0,5.7,4.0,1.9,2.2,3.7,2.4,4.8,7.9,14
,DOWNTOWN SES,2.1,3.5,3.5,2.3,3.5,2.3,3.3,4.5,4.9,6.0,8.2,7.7,6.4,6.6,6.8,6.6,5.9,5.1,5.1,4.2,2.1,2.0,4.1,2.4,4.5,8.2,10
,EL CAJON LES,.9,.5,1.0,1.3,.5,1.9,1.3,.9,1.0,4.9,7.2,5.9,6.4,6.2,6.2,7.8,7.6,5.6,3.6,3.0,2.5,2.6,2.4,2.1,3.5,7.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.3,4.2,4.6,2.5,3.6,3.5,2.7,2.7,6.1,8.4,9.1,8.2,6.8,7.5,8.8,10.7,10.7,7.1,5.6,4.4,2.8,2.9,1.9,3.0,5.4,10.7,15
,OTAY MESA DVN,2.4,1.7,2.2,3.1,3.4,4.3,2.9,3.7,6.7,9.0,9.3,9.3,7.9,7.4,7.0,8.7,11.8,3.0,3.7,3.7,1.9,2.5,1.2,1.7,4.9,11.8,16
,PENDLETON,6.1,6.3,5.8,5.4,6.6,4.4,6.0,5.8,P,,,,,,P,7.0,6.5,4.9,6.1,5.7,3.3,3.5,2.7,4.1,5.3,7.0,15
16 AMBTEMP °F,ALPINE,45.6,45.5,44.9,43.6,44.7,43.8,44.7,46.9,48.9,51.3,51.7,51.7,51.4,52.9,53.7,54.1,51.1,48.5,47.9,47.9,47.8,47.6,47.1,47.0,48.3,54.1,15
,CARMEL MT RCH,48.3,47.3,46.7,46.6,47.3,47.3,46.5,48.0,50.8,54.5,57.1,57.7,59.0,60.3,60.7,59.1,56.5,54.7,54.1,54.2,54.1,53.5,53.4,52.2,52.9,60.7,14
,CHULA VISTA,50.5,51.4,50.7,50.8,50.4,49.9,50.2,52.7,55.0,57.0,58.3,58.5,59.8,60.0,60.4,59.3,57.8,56.4,56.2,56.3,56.6,56.3,56.2,55.4,55.3,60.4,14
,DOWNTOWN SES,52.0,52.0,51.7,51.7,51.3,50.4,50.3,52.0,55.2,57.4,58.6,58.7,59.9,59.7,59.7,59.1,58.3,57.1,57.0,57.1,57.4,57.2,56.7,56.0,55.7,59.9,12
,EL CAJON LES,47.5,48.6,48.7,48.4,47.0,46.3,45.2,46.8,51.1,56.2,59.3,58.4,59.2,60.3,61.2,60.3,57.4,56.0,54.9,55.2,55.1,54.5,53.8,53.0,53.5,61.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,49.4,48.7,48.9,48.7,47.5,47.6,47.3,49.9,54.0,56.4,58.0,58.1,58.9,59.7,60.0,59.2,57.6,55.8,54.8,55.5,55.8,55.7,55.5,54.9,54.1,60.0,14
,OTAY MESA DVN,51.3,52.7,52.7,52.4,51.7,50.2,49.1,50.9,54.4,55.7,57.8,57.1,58.8,59.6,60.9,60.3,57.3,53.6,53.7,53.9,54.1,54.3,54.0,53.1,54.6,60.9,14
,PENDLETON,50.2,49.7,49.6,48.7,48.4,49.0,49.2,50.0,P,,,,,,P,60.6,59.6,58.1,57.8,57.7,57.7,57.6,56.1,53.8,53.8,60.6,15
17 RELHUM %,ALPINE,90,92,93,90,89,91,87,82,76,74,77,75,75,71,70,69,78,86,89,89,91,94,95,94,84,95,22
,EL CAJON LES,94,92,92,93,97,98,100,97,85,76,68,70,70,65,64,68,75,79,85,87,88,91,93,94,84,100,06
,KEARNY MESA,91,95,95,96,96,95,95,92,84,78,72,71,71,67,69,70,73,81,88,87,85,85,86,92,84,96,03
18 PRES mmHg,EL CAJON LES,749,748,748,748,748,748,748,748,748,748,748,748,748,747,747,746,746,746,746,746,746,746,746,746,747,749,00
,KEARNY MESA,750,749,749,749,749,749,749,749,749,749,750,750,749,748,748,747,747,747,747,747,747,747,747,747,748,750,00
19 SOLAR W/M2,EL CAJON LES,-1,0,-1,-2,-4,-3,6,104,228,463,536,259,467,551,516,349,99,11,-2,-1,-1,-2,-3,-2,149,551,13
,KEARNY MESA,0,0,0,0,0,0,9,105,214,314,340,285,377,412,516,350,142,21,0,1,1,1,0,1,129,516,14
25 NOY,EL CAJON LES,23.03,15.12,22.24,22.11,25.76,C,C,25.03,14.39,6.88,7.52,4.57,2.88,2.52,3.09,2.87,3.94,5.06,5.29,5.73,4.86,3.69,3.22,4.72,9.75,25.76,04
26 NOY-NO,EL CAJON LES,18.37,13.72,16.84,17.48,16.88,C,C,11.81,8.51,4.99,5.61,3.62,2.22,2.09,2.51,2.40,3.01,4.37,5.01,5.04,4.72,3.65,3.04,4.63,7.29,18.37,00
27 NO Trace,EL CAJON LES,4.66,1.40,5.40,4.62,8.88,C,C,13.22,5.88,1.88,1.90,.95,.66,.43,.58,.47,.93,.68,.27,.69,.14,.04,.17,.09,2.45,13.22,07
28 SO2 Tr PPB,EL CAJON LES,.1,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,00
29 CO Tr PPB,EL CAJON LES,472.3,386.9,C,C,C,326.6,351.0,397.9,308.0,213.9,203.7,171.4,167.1,169.8,186.0,176.0,186.4,219.5,210.2,232.1,245.3,216.0,213.9,241.5,252.1,472.3,00
BCarbon ug/m3,10TH AVE MARINE TERM,3.00,2.49,1.75,1.09,.86,1.23,.93,2.29,2.72,1.11,.27,.13,.18,.36,.23,.15,.47,.41,.30,.22,.17,.17,.11,.09,.86,3.00,00
,ALPINE,.22,.18,.21,.20,.15,.17,.15,.17,.31,.27,.29,.42,.18,.11,.10,.12,.14,.13,.66,.26,.31,.39,.28,.17,.23,.66,18
,CHICANO PARK,2.15,1.55,1.21,.94,.79,.64,.80,1.52,1.54,1.07,.16,.17,.18,.17,.19,.17,.27,.28,.39,.34,.24,.31,.18,.14,.64,2.15,00
,DOWNTOWN SES,2.71,1.40,1.17,.80,.59,.62,.70,1.22,1.39,1.24,.14,.14,.09,.13,.16,.09,.13,.20,.23,.17,.18,.29,.14,.17,.59,2.71,00
,OCEANVIEW BLVD,2.32,2.32,1.34,1.15,.80,.69,.89,1.12,1.28,.94,.72,.41,.16,.23,.16,.15,.22,.27,.25,.27,.39,.27,.28,.35,.71,2.32,00
,SAN YSIDRO,3.615,2.220,2.909,4.603,4.729,4.965,3.321,2.813,2.137,.960,.291,.170,.162,.199,.166,.147,.110,.224,.330,.182,.266,.197,.075,.102,1.454,4.965,05
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
