Current Date:,8/13/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/12/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.045,C,C,.044,.038,.033,.042,.041,.052,.063,.074,.078,.080,.077,.071,.066,.055,.049,.043,.032,.028,.036,.021,.050,.080,13
,CHULA VISTA,.015,.009,C,C,.008,.004,.011,.014,.020,.029,.036,.044,.043,.041,.038,.036,.031,.026,.025,.023,.022,.020,.021,.025,.024,.044,11
,DOWNTOWN SES,.020,.020,C,C,.014,.014,.013,.016,.020,.031,.039,.043,.041,.040,.039,.037,.031,.028,.019,.018,.020,.017,.019,.025,.025,.043,11
,EL CAJON LES,.014,.015,.011,.008,.006,.005,.007,.014,M,M,M,M,M,.065,.060,.055,.048,.042,.031,.025,.018,.016,.014,.016,.024,.065,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.025,C,C,.019,.017,.015,.021,.023,.029,.044,.055,.055,.049,.050,.044,.039,.031,.029,.023,.023,.025,.019,.017,.030,.055,11
,OTAY MESA DVN,.016,.012,C,C,.008,.010,.011,.018,.024,.033,.045,.057,.058,.053,.050,.047,.045,.035,.029,.025,.023,.018,.019,.017,.029,.058,12
,PENDLETON,.016,.015,C,C,.003,.002,.006,.011,.017,.026,M,M,M,.035,.034,.033,.036,.044,.047,.044,.039,.026,.027,.017,.025,.047,18
02 NOX PPM,ALPINE,.003,.003,C,C,.004,.012,.018,.007,.012,.009,.007,.008,.006,.006,.005,.005,.006,.006,.007,.007,.012,.013,.009,.014,.008,.018,06
,CARMEL MT RCH,.009,.019,C,C,.033,.055,.073,.044,.033,.040,.025,.023,.023,.021,.025,.023,.018,.016,.016,.018,.020,.024,.017,.016,.027,.073,06
,CHULA VISTA,.009,.012,C,C,.009,.017,.015,.017,.015,.009,.007,.004,.003,.002,.002,.003,.002,.005,.003,.003,.003,.003,.003,.002,.007,.017,05
,DOWNTOWN SES,.004,.004,C,C,.009,.009,.011,.015,.017,.009,.008,.006,.005,.006,.005,.005,.005,.006,.010,.010,.010,.011,.011,.004,.008,.017,08
,EL CAJON LES,.007,.006,.006,.007,.009,.010,.017,.019,M,M,M,M,M,.006,.006,.006,.006,.007,.007,.009,.009,.008,.008,.008,.008,.019,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,C,C,.003,.005,.009,.011,.010,.013,.008,.005,.005,.004,.004,.003,.004,.003,.004,.006,.006,.008,.010,.012,.006,.013,09
,OTAY MESA DVN,.007,.008,C,C,.016,.013,.015,.010,.013,.014,.011,.007,.005,.005,.005,.004,.003,.004,.005,.005,.004,.007,.004,.006,.008,.016,04
,PENDLETON,.006,.007,C,C,.012,.015,.015,.014,.015,.006,M,M,M,.003,.003,.000,.001,.001,.001,.001,.001,.009,.004,.012,.007,.015,05
03 NO2 PPM,ALPINE,.003,.002,C,C,.003,.010,.013,.006,.009,.007,.006,.007,.005,.005,.004,.004,.005,.005,.006,.007,.011,.012,.008,.013,.007,.013,06
,CARMEL MT RCH,.007,.012,C,C,.011,.013,.017,.014,.016,.020,.015,.014,.014,.013,.014,.013,.011,.009,.009,.011,.012,.015,.013,.013,.013,.020,09
,CHULA VISTA,.009,.012,C,C,.009,.014,.011,.010,.009,.006,.006,.004,.003,.002,.002,.002,.002,.004,.003,.003,.003,.003,.003,.002,.006,.014,05
,DOWNTOWN SES,.004,.004,C,C,.008,.008,.008,.009,.010,.007,.006,.005,.004,.005,.004,.004,.004,.005,.009,.010,.009,.011,.010,.004,.007,.011,21
,EL CAJON LES,.007,.006,.006,.007,.008,.008,.009,.011,M,M,M,M,M,.005,.005,.005,.005,.006,.007,.008,.009,.008,.008,.008,.007,.011,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.003,.005,.008,.007,.007,.009,.007,.005,.004,.004,.004,.003,.004,.003,.004,.006,.006,.009,.010,.012,.006,.012,23
,OTAY MESA DVN,.006,.007,C,C,.011,.009,.009,.006,.009,.010,.008,.006,.004,.004,.004,.003,.003,.003,.004,.004,.004,.006,.004,.005,.006,.011,04
,PENDLETON,.006,.007,C,C,.008,.008,.007,.007,.006,.004,M,M,M,.002,.001,.000,.001,.001,.001,.002,.001,.009,.004,.012,.005,.012,23
04 NO PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.005,06
,CARMEL MT RCH,.003,.007,C,C,.022,.042,.056,.030,.017,.021,.010,.009,.008,.008,.011,.010,.007,.007,.007,.007,.008,.009,.004,.004,.014,.056,06
,CHULA VISTA,.000,.000,C,C,.000,.003,.004,.007,.006,.003,.002,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.001,.007,07
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.003,.006,.007,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.007,08
,EL CAJON LES,.000,.000,.000,.000,.001,.002,.008,.008,M,M,M,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.008,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.002,.004,.003,.004,.002,.000,.000,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,OTAY MESA DVN,.001,.002,C,C,.005,.004,.006,.004,.005,.004,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.006,06
,PENDLETON,.000,.000,C,C,.004,.007,.008,.007,.008,.002,M,M,M,.001,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.008,06
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.8,1.1,.7,.5,.5,.4,.5,.5,.6,.6,.7,.7,.5,.5,.5,.5,.5,.5,.4,.6,1.1,06
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,24,23,23,23,24,24,24,23,23,23,24,24,24,24,24,24,25,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,24,25,00
,CHULA VISTA,26,25,26,25,25,26,26,25,26,25,25,25,26,26,26,26,25,26,26,25,25,26,26,26,26,26,00
,DOWNTOWN SES,26,26,26,25,26,26,26,25,25,25,24,24,24,24,25,24,25,24,25,25,25,25,25,25,25,26,00
,EL CAJON LES,26,27,26,26,27,26,27,27,27,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,25,25,24,24,24,23,24,24,24,24,25,25,25,25,25,25,26,00
,PENDLETON,26,26,26,26,26,26,25,25,25,24,24,25,25,24,25,25,25,25,25,25,25,25,25,25,25,26,00
11 PM2.5 µg/M3,ALPINE,6.8,5.8,4.4,4.0,10.1,17.4,15.3,19.2,17.0,13.3,10.9,12.9,14.6,12.4,19.0,12.2,10.8,7.5,7.8,9.9,9.1,9.4,9.9,12.8,11.3,19.2,07
,DOWNTOWN SES,5.2,5.3,4.5,2.8,4.2,8.2,10.9,9.7,12.3,11.9,13.8,9.0,5.7,9.4,8.5,6.8,9.6,8.6,7.1,9.4,9.1,7.2,9.2,9.6,8.2,13.8,10
,EL CAJON LES,13.5,8.8,8.1,10.3,10.4,13.9,14.0,12.5,13.1,10.6,15.5,12.4,8.7,14.5,13.7,13.2,11.8,7.8,8.0,8.6,8.2,9.7,11.9,11.9,11.2,15.5,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,10.0,13.5,11.5,10.9,34.4,14.5,20.0,15.9,16.1,18.3,16.6,M,M,M,2.4,7.5,8.7,8.8,10.8,8.8,9.8,6.8,10.0,12.6,12.7,34.4,04
,PENDLETON,2.0,4.6,7.8,6.7,5.8,5.8,,,,,,,,8.5,13.1,8.8,6.6,9.7,11.2,9.3,11.7,15.5,7.9,9.9,8.5,15.5,21
12 VWDR °,ALPINE,171,83,97,49,133,111,64,355,321,336,345,348,352,356,345,357,344,8,23,7,207,157,132,195,0,357,15
,CHULA VISTA,340,39,56,2,26,337,297,246,252,250,258,248,255,246,248,253,262,269,246,228,203,187,241,179,0,340,00
,DOWNTOWN SES,333,343,358,353,346,341,347,314,273,271,275,273,280,277,277,280,297,287,301,305,313,335,335,334,0,358,02
,EL CAJON LES,301,100,251,240,314,253,349,245,357,341,338,336,344,343,343,343,343,334,342,324,296,288,280,253,0,357,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,337,347,359,328,328,316,338,334,303,264,285,308,290,278,291,298,308,294,291,286,296,313,322,303,0,359,02
,OTAY MESA DVN,245,20,78,56,56,5,339,304,298,291,295,293,292,292,292,291,297,292,321,315,272,359,255,7,0,359,21
,PENDLETON,8,342,359,61,76,70,79,239,256,267,248,257,260,258,261,256,248,263,304,302,318,308,323,1,0,359,02
13 SIGTHETA °,ALPINE,15,18,36,12,51,46,47,42,32,31,36,32,32,29,34,31,31,29,21,46,29,52,54,50,35,54,22
,CHULA VISTA,27,30,28,19,31,46,63,45,45,23,27,27,23,22,23,20,22,21,18,20,21,22,19,22,28,63,06
,DOWNTOWN SES,19,20,19,16,22,22,33,41,33,27,24,22,20,19,20,16,23,20,24,21,29,31,17,20,23,41,07
,EL CAJON LES,26,54,33,18,19,23,42,<,<,<,<,<,<,<,P,12,12,11,14,12,19,13,31,57,25,57,23
