Current Date:,8/26/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/25/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.026,.028,C,C,.031,.034,.032,.029,.034,.043,.052,.059,.065,.064,.057,.054,.049,.044,.039,.035,.029,.030,.034,.033,.040,.065,12
,CHULA VISTA,.019,.018,C,C,.016,.020,.018,.018,.022,.029,.034,.038,.033,.034,.032,.034,.031,.028,.024,.018,.015,.015,.015,.014,.023,.038,11
,DOWNTOWN SES,.026,.025,C,C,.025,.022,.021,.021,.024,.030,.033,.035,.032,.032,.034,.033,.031,.031,.029,.021,.019,.019,.018,.018,.026,.035,11
,EL CAJON LES,.020,.019,C,C,C,.015,.012,.015,.023,.035,.048,.054,.052,.049,.044,.043,.042,.041,.037,.031,.024,.019,.016,.016,.031,.054,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.024,.025,C,C,.025,.023,.022,.024,.027,.030,.037,.040,.040,.040,.040,.039,.040,.038,.028,.019,.019,.021,.021,.020,.029,.040,11
,OTAY MESA DVN,.022,.020,C,C,.014,.014,.014,M,M,.035,.041,.045,.043,.040,.041,.038,.036,.031,.027,.024,.019,.018,.017,.016,.027,.045,11
,PENDLETON,.023,.025,C,C,.022,.018,.015,.015,.021,.026,.032,.038,.039,.036,.038,.031,.024,.026,.024,.022,.021,.012,.010,.007,.023,.039,12
02 NOX PPM,ALPINE,.005,.005,C,C,.004,.005,.008,.011,.008,.007,.005,.005,.005,.004,.004,.003,.003,.003,.004,.006,.009,.006,.004,.005,.005,.011,07
,CARMEL MT RCH,.006,.011,C,C,.014,.020,.039,.023,.023,.022,.021,.020,.020,.019,.020,.019,.014,.013,.013,.011,.013,.009,.008,.008,.017,.039,06
,CHULA VISTA,.004,.004,C,C,.006,.003,.007,.008,.010,.010,.006,.005,.004,.004,.003,.004,.004,.004,.006,.006,.006,.005,.004,.005,.005,.010,08
,DOWNTOWN SES,.001,.002,C,C,.003,.006,.007,.007,.007,.006,.006,.004,.004,.005,.004,.005,.005,.004,.004,.004,.004,.004,.004,.003,.005,.007,06
,EL CAJON LES,.003,.003,C,C,C,.005,.008,.007,.007,.005,.005,.004,.004,.003,.002,.002,.002,.003,.002,.004,.004,.006,.007,.005,.004,.008,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.003,.004,.005,.004,.005,.006,.005,.004,.003,.002,.002,.002,.003,.003,.004,.004,.003,.001,.002,.002,.003,.006,09
,OTAY MESA DVN,.005,.004,C,C,.006,.006,.006,M,M,.006,M,M,M,M,.005,.005,.004,.004,.004,.005,.006,.005,.005,.006,.005,.006,04
,PENDLETON,.002,.002,C,C,.002,.005,.009,.014,.010,.008,.003,.002,.007,.003,.004,.004,.003,.002,.002,.001,.001,.010,.010,.009,.005,.014,07
03 NO2 PPM,ALPINE,.004,.004,C,C,.003,.003,.005,.008,.006,.005,.004,.004,.004,.003,.003,.002,.002,.002,.003,.005,.008,.005,.003,.004,.004,.008,07
,CARMEL MT RCH,.004,.006,C,C,.008,.010,.016,.010,.010,.012,.013,.011,.011,.010,.010,.010,.008,.009,.008,.006,.007,.005,.005,.005,.009,.016,06
,CHULA VISTA,.004,.004,C,C,.006,.003,.005,.006,.007,.007,.005,.004,.003,.003,.002,.003,.003,.004,.006,.006,.006,.005,.004,.005,.005,.007,08
,DOWNTOWN SES,.001,.002,C,C,.003,.005,.006,.005,.005,.004,.005,.003,.003,.004,.003,.003,.004,.003,.004,.004,.004,.003,.003,.003,.004,.006,06
,EL CAJON LES,.003,.003,C,C,C,.005,.006,.005,.005,.004,.004,.004,.004,.003,.002,.001,.002,.002,.002,.004,.003,.005,.007,.005,.004,.007,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,.001,C,C,.003,.004,.005,.004,.004,.004,.004,.003,.002,.002,.002,.002,.003,.003,.004,.004,.003,.002,.002,.002,.003,.005,06
,OTAY MESA DVN,.004,.003,C,C,.005,.005,.005,M,M,.004,M,M,M,M,.003,.003,.003,.003,.003,.004,.005,.004,.004,.005,.004,.005,04
,PENDLETON,.002,.002,C,C,.002,.004,.007,.007,.006,.005,.002,.002,.005,.002,.003,.002,.002,.002,.002,.001,.001,.009,.010,.008,.004,.010,22
04 NO PPM,ALPINE,.001,.001,C,C,.001,.001,.003,.003,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,06
,CARMEL MT RCH,.002,.005,C,C,.006,.010,.023,.013,.012,.010,.008,.008,.009,.009,.009,.010,.006,.004,.005,.004,.006,.004,.003,.003,.008,.023,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.001,.003,.003,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,08
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.001,.001,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,08
