Current Date:,8/22/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
8/21/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.046,.060,C,C,.067,.061,.053,.044,.057,.059,.066,.077,.083,.068,.062,.052,.047,.044,.047,.044,.034,.028,.028,.025,.052,.083,12
,CHULA VISTA,.023,.023,C,C,.012,.010,.009,.017,.021,.029,.031,.028,.030,.033,.034,.032,.029,.025,.022,.019,.014,.011,.014,.007,.021,.034,14
,DOWNTOWN SES,.021,.023,C,C,.010,.015,.009,.017,.022,.022,.034,.037,.034,.032,.034,.032,.028,.021,.021,.024,.018,.011,.013,.022,.022,.037,11
,EL CAJON LES,.015,.013,C,C,C,<,.006,.012,.019,.033,.057,.067,.062,.052,.052,.046,.047,.044,.030,.028,.028,.022,.021,.019,.033,.067,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.009,C,C,.002,.002,.005,.016,.022,.030,.050,.054,.055,.053,.045,.045,.047,.043,.037,.030,.026,.022,.017,.014,.028,.055,12
,OTAY MESA DVN,.015,.019,C,C,.009,.011,M,M,M,.044,.056,.058,.050,.046,.043,.040,.041,.037,.029,.025,.023,.019,.017,.015,.031,.058,11
,PENDLETON,.018,.017,C,C,.005,.002,.005,M,M,M,M,M,M,M,M,M,.042,.040,.036,.034,.027,.027,.031,.024,.023,.042,16
02 NOX PPM,ALPINE,.006,.004,C,C,.004,.006,.009,.018,.009,.007,.008,.007,.006,.004,.004,.004,.005,.005,.007,.007,.008,.011,.009,.006,.007,.018,07
,CARMEL MT RCH,.011,.015,C,C,.033,.017,.057,.050,.039,.036,.037,.028,.023,.025,.028,.032,.030,.025,.020,.019,.017,.020,.013,.012,.027,.057,06
,CHULA VISTA,.003,.003,C,C,.008,.011,.014,.010,.011,.007,.004,.006,.003,.003,.003,.003,.004,.003,.003,.005,.010,.012,.009,.017,.007,.017,23
,DOWNTOWN SES,.008,.005,C,C,.015,.013,.021,.014,.009,.013,.015,.010,.005,.009,.006,.007,.008,.010,.008,.006,.011,.018,.013,.007,.011,.021,06
,EL CAJON LES,.006,.008,C,C,C,<,.019,.021,.017,.011,.006,.006,.005,.004,.005,.006,.006,.008,.009,.009,.009,.010,.010,.010,.009,.021,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.009,C,C,.025,.041,.028,.014,.014,.010,.008,.006,.003,.003,.003,.003,.004,.004,.003,.006,.009,.012,.012,.010,.011,.041,05
,OTAY MESA DVN,.011,.007,C,C,.023,.010,M,M,M,.021,.014,.008,.006,.008,.008,.007,.008,.008,.008,.006,.006,.007,.008,.010,.010,.023,04
,PENDLETON,.005,.003,C,C,.016,.024,.020,M,M,M,M,M,M,M,M,M,.001,.002,.001,.001,.005,.004,.002,.008,.007,.024,05
03 NO2 PPM,ALPINE,.005,.003,C,C,.003,.005,.007,.015,.008,.006,.007,.006,.005,.003,.003,.003,.004,.005,.006,.006,.008,.011,.008,.005,.006,.015,07
,CARMEL MT RCH,.009,.011,C,C,.013,.010,.016,.018,.017,.020,.024,.021,.016,.017,.019,.022,.020,.018,.016,.014,.011,.015,.010,.009,.016,.024,10
,CHULA VISTA,.003,.003,C,C,.008,.009,.011,.008,.008,.005,.003,.005,.002,.002,.002,.003,.003,.002,.003,.005,.010,.012,.009,.016,.006,.016,23
,DOWNTOWN SES,.008,.005,C,C,.014,.011,.015,.010,.006,.008,.010,.008,.004,.006,.004,.005,.006,.009,.008,.006,.010,.017,.013,.007,.009,.017,21
,EL CAJON LES,.006,.008,C,C,C,<,.012,.014,.011,.008,.005,.005,.004,.004,.004,.005,.005,.007,.008,.009,.009,.010,.010,.010,.008,.014,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.009,C,C,.014,.016,.014,.010,.009,.008,.007,.005,.003,.003,.003,.003,.003,.004,.003,.006,.009,.011,.012,.010,.008,.016,05
,OTAY MESA DVN,.009,.006,C,C,.013,.008,M,M,M,.017,.012,.006,.004,.006,.006,.006,.007,.007,.007,.005,.005,.006,.007,.009,.008,.017,09
,PENDLETON,.004,.003,C,C,.011,.013,.010,M,M,M,M,M,M,M,M,M,.001,.002,.001,.001,.005,.005,.002,.008,.005,.013,05
04 NO PPM,ALPINE,.001,.001,C,C,.001,.001,.001,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,07
,CARMEL MT RCH,.003,.005,C,C,.020,.007,.041,.031,.023,.017,.014,.008,.006,.008,.009,.010,.009,.006,.005,.005,.006,.005,.003,.003,.011,.041,06
,CHULA VISTA,.000,.000,C,C,.000,.002,.003,.002,.003,.002,.001,.002,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,DOWNTOWN SES,.000,.000,C,C,.001,.003,.005,.004,.003,.005,.004,.002,.001,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.002,.005,06
,EL CAJON LES,.000,.000,C,C,C,<,.007,.007,.005,.004,.001,.000,.000,.001,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,.007,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.010,.025,.014,.004,.005,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.025,05
,OTAY MESA DVN,.001,.001,C,C,.010,.002,M,M,M,.004,.003,.002,.001,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.010,04
,PENDLETON,.001,.000,C,C,.005,.011,.010,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.002,.011,05
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.3,1.1,1.0,.6,.6,.6,.7,.6,.7,.8,.9,.9,.8,.7,.7,.6,.6,.5,.4,.7,1.1,06
10 INTMP °C,ALPINE,24,25,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,01
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,CHULA VISTA,26,26,25,26,26,26,26,26,26,26,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,DOWNTOWN SES,25,25,26,26,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,26,02
,EL CAJON LES,26,26,26,26,26,<,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,24,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
11 PM2.5 µg/M3,ALPINE,18.6,16.2,19.7,20.2,18.2,20.0,24.5,21.1,16.9,M,32.0,20.4,17.7,11.8,20.0,12.6,17.2,12.6,12.8,11.1,17.1,11.3,14.7,10.0,17.2,32.0,10
,DOWNTOWN SES,9.7,8.7,8.1,11.8,12.1,8.8,11.8,15.1,12.6,14.8,18.7,14.0,11.4,9.5,10.9,11.0,9.7,7.9,11.5,10.0,9.7,11.7,14.7,12.6,11.5,18.7,10
,EL CAJON LES,14.7,14.2,12.7,13.9,14.3,15.1,12.6,21.7,21.9,17.2,20.9,21.4,16.9,17.2,13.9,14.4,18.9,16.9,18.7,18.5,13.0,17.1,16.5,18.2,16.7,21.9,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,25.9,23.2,43.7,21.6,30.2,19.1,24.7,24.2,35.1,26.4,25.3,23.3,14.3,14.4,14.5,10.1,17.7,14.1,13.2,11.8,8.7,17.8,15.2,12.6,20.2,43.7,02
,PENDLETON,13.3,10.2,9.5,10.1,7.3,13.2,14.1,11.6,12.0,13.2,12.9,12.5,9.6,9.8,9.6,10.0,11.2,13.5,11.8,11.1,15.4,13.9,11.0,10.8,11.5,15.4,20
12 VWDR °,ALPINE,67,151,174,112,140,185,133,245,339,315,333,14,336,329,313,326,331,354,26,70,177,213,157,180,0,354,17
,CHULA VISTA,318,355,38,344,195,11,242,220,249,265,276,266,258,257,256,254,263,263,286,330,323,268,256,184,0,355,01
,DOWNTOWN SES,241,205,194,344,187,89,251,207,201,211,226,227,204,221,225,211,222,226,223,224,216,249,244,349,0,349,23
,EL CAJON LES,269,79,307,19,311,<,11,324,325,328,335,330,329,327,324,329,327,325,346,353,4,316,320,312,0,353,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,341,5,353,346,317,84,347,246,216,197,176,225,198,195,207,191,203,199,210,277,311,294,279,298,0,353,02
,OTAY MESA DVN,48,50,114,317,339,356,209,229,217,227,277,290,294,227,222,311,311,294,330,330,330,237,307,352,0,356,05
,PENDLETON,44,32,11,17,70,91,58,26,215,233,214,219,248,250,230,248,234,158,161,167,326,222,281,338,0,338,23
13 SIGTHETA °,ALPINE,14,26,46,57,54,40,42,36,24,34,34,32,33,32,32,31,26,27,23,19,51,53,17,43,34,57,03
,CHULA VISTA,22,29,47,35,41,44,32,30,24,23,28,25,25,26,19,24,22,22,27,33,29,35,22,61,30,61,23
,DOWNTOWN SES,27,36,35,51,31,26,24,20,20,26,28,24,20,23,25,21,23,20,34,59,41,33,31,26,29,59,19
,EL CAJON LES,<,<,<,<,<,<,65,13,14,17,19,18,14,14,17,15,16,14,13,19,27,24,11,17,19,65,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,30,36,32,50,25,24,14,23,22,24,30,32,20,19,16,17,16,13,12,14,23,11,10,21,22,50,03
,OTAY MESA DVN,42,20,30,61,49,40,18,55,31,34,37,14,17,23,22,18,18,15,11,12,25,23,21,28,28,61,03
,PENDLETON,15,16,8,15,34,26,17,18,45,20,17,20,16,16,22,18,31,17,12,16,35,41,21,41,22,45,08
14 VWSP MPH,ALPINE,1.2,.9,1.2,.2,.4,1.2,1.2,1.2,3.8,3.7,3.8,4.5,5.2,5.1,4.5,4.6,3.9,2.6,2.4,2.5,.4,.3,1.3,.4,.0,5.2,12
,CHULA VISTA,.9,.5,.8,.9,.7,1.4,1.2,2.4,3.9,4.7,3.8,5.0,5.0,4.8,6.1,3.9,4.6,4.3,3.0,1.8,1.3,1.2,2.2,.5,.0,6.1,14
