Current Date:,11/4/2018,11:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8 Hour Rolling Average Report,,,,,,,,,,,,,,,,,,,,
11/3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total,,
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.048,.047,.048,.05,.051,.053,.055,.058,.061,.062,.063,.062,.061,.061,.06,.058,.057,.057,.057,.058,.057,.055,.053,.051,0.055,0.063,10
,CHULA VISTA,.015,.016,.018,.021,.025,.03,.036,.042,.046,.048,.048,.046,.04,.033,.026,.019,.014,.009,.005,.002,.002,.002,.003,.003,0.022,0.048,09
,EL CAJON LES,,,,.018,.024,.028,.036,.044,.05,.055,.057,.054,.049,.044,.037,.029,.023,.017,.013,.011,,,,,0.034,0.057,10
,KEARNY MESA,.023,.023,.025,.029,.031,.036,.042,.048,.055,.06,.062,.062,.06,.057,.053,.048,.042,.036,.032,.029,.028,.028,.028,.028,0.04,0.062,10
,OTAY MESA DVN,.03,.029,.03,.032,.035,.039,.042,.045,.049,.052,.053,.052,.05,.047,.044,.042,.038,.034,.032,.032,.03,.029,.029,.029,0.038,0.053,10
,PENDLETON,.022,.022,.024,.025,.028,.032,.036,.042,.046,.051,.053,.055,.056,.053,.048,.043,.039,.034,.031,.027,.022,.02,.02,.02,0.035,0.056,12
