Current Date:,6/9/2022,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
6/8/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.036,.037,.039,.043,.047,.051,.055,.06,.064,.066,.066,.063,.058,.052,.047,.044,.043,.042,.04,.039,.037,.034,.033,0.047,0.066,10
,CHULA VISTA,.016,.016,,,,,,,,,,.044,.044,.043,.042,.041,.04,.038,.037,.036,.035,.031,.028,.026,0.034,0.044,11
,DOWNTOWN SES,.021,.021,.021,.023,.026,.028,.031,.034,.036,.038,.04,.041,.041,.041,.041,.04,.039,.037,.035,.033,.03,.029,.028,.027,0.032,0.041,11
,EL CAJON LES,,,,.028,.031,.034,.038,.042,.046,.049,.049,.048,.046,.044,.043,.04,.038,.036,.034,.034,.034,,,,0.039,0.049,09
,KEARNY MESA,.022,.022,.022,.024,.027,.03,.034,.038,.041,.043,.045,.045,.045,.044,.043,.042,.041,.04,.039,.038,.038,.035,.032,.03,0.035,0.045,10
,OTAY MESA DVN,.015,.016,.019,.022,.025,.03,.035,.039,.042,.045,.047,.047,.045,.043,.042,.04,.037,.035,.033,.032,.031,.028,.026,.024,0.033,0.047,10
,PENDLETON,.027,,,,,,,,,,.044,.044,.044,.045,.046,.046,.046,.046,.045,.045,.045,.043,.041,.039,0.043,0.046,14
