Current Date:,6/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
6/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.050,C,C,.056,.052,.049,.053,.058,.062,.075,.082,.083,.082,.081,.076,.069,.062,.056,.049,.039,.035,.038,.032,.058,.083,12
,CHULA VISTA,.023,.021,C,C,.026,.023,.021,.028,.039,.046,.047,.047,.043,.040,.038,.039,.038,.035,.031,.032,.030,.027,.023,.023,.032,.047,10
,DOWNTOWN SES,.029,.030,C,C,.031,.027,.027,.030,.038,.044,.045,.042,.037,.034,.033,.036,.034,.033,.028,.019,.022,.029,.030,.026,.032,.045,10
,EL CAJON LES,.017,.017,C,C,C,.013,.019,.024,.037,.048,.056,.062,.066,.071,.063,.055,.052,.054,.048,.033,.029,.023,.020,.019,.039,.071,13
,KEARNY MESA,.009,.009,C,C,.007,.023,.025,.030,.037,.049,.052,.056,.057,.052,.051,.058,.055,.050,.039,.034,.030,.029,.029,.027,.036,.058,15
,OTAY MESA DVN,P,.020,C,C,.020,.015,.011,.016,.031,.044,.052,.054,.054,.053,.048,.043,.045,.043,.036,.032,.029,.026,.024,.022,.034,.054,11
,PENDLETON,.020,.022,C,C,.021,.018,.025,.032,.042,.044,.043,.043,.043,.044,.043,.038,.033,.033,.033,.032,.028,.028,.022,.017,.032,.044,09
03 NO2 PPB,ALPINE,2.6,2.3,C,C,2.3,3.8,6.6,6.1,3.1,5.1,5.5,4.2,2.9,2.3,2.4,2.5,2.9,4.0,5.5,6.7,11.6,11.8,8.3,11.1,5.1,11.8,21
,CARMEL MT RCH,16.4,20.6,C,C,17.0,19.1,14.5,23.4,23.9,25.5,28.1,19.7,20.0,18.9,18.9,18.0,13.5,14.5,11.4,14.3,12.7,13.5,13.3,9.8,17.5,28.1,10
,CHULA VISTA,4.1,3.8,C,C,4.9,9.1,11.2,10.4,4.8,2.9,2.1,1.8,1.8,1.6,1.6,1.6,2.3,3.1,6.4,3.5,4.3,4.5,8.4,9.0,4.6,11.2,06
