Current Date:,1/20/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/19/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,C,C,.027,.019,.030,.043,.037,.032,.035,.043,.047,.053,.058,.053,.042,.031,.030,.027,.030,.034,.037,.038,.038,.037,.058,13
,CHULA VISTA,.024,C,C,.026,.021,.020,.020,.005,M,M,M,M,.024,M,M,M,.030,.029,.029,.038,.039,.039,.040,.041,.028,.041,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,C,C,C,.021,.021,.019,.007,.014,.021,.038,.048,.044,.047,.034,.031,.030,.022,.025,.031,.034,.033,.034,.035,.028,.048,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,C,C,.027,.018,.013,.006,.004,.015,.033,.037,.039,.043,.035,.031,.030,.027,.026,.026,.031,.032,.031,.034,.034,.026,.043,12
,OTAY MESA DVN,.025,C,C,.036,.037,.027,.022,.012,.010,.034,.038,.041,.043,.045,.037,.033,.030,.029,.026,.030,.034,.037,.037,.039,.031,.045,13
,PENDLETON,.010,C,C,.024,.018,.015,.016,.018,.019,.023,.030,.043,.042,.036,.035,.035,.039,.038,.042,.043,.044,.043,.043,.043,.031,.044,20
02 NOX PPM,ALPINE,.003,C,C,.007,.010,.006,.003,.008,.015,.008,.006,.007,.007,.006,.008,.007,.006,.004,.004,.004,.003,.003,.002,.002,.006,.015,08
,CARMEL MT RCH,.027,C,C,C,.013,.012,.020,.038,.023,.020,.041,.043,.044,.039,.031,.032,.028,.031,.026,.016,.015,.016,.011,.013,.026,.044,12
,CHULA VISTA,.015,C,C,.011,.012,.015,.015,.044,M,M,M,M,.068,M,M,M,.005,.005,.006,.004,.003,.002,.002,.002,.014,.068,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.031,C,C,C,.009,.008,.010,.026,M,M,M,.008,.011,.008,.006,.004,.003,.010,.008,.005,.004,.005,.004,.003,.009,.031,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.032,C,C,.010,.011,.014,.021,.034,.025,.014,.012,.010,.007,.004,.004,.005,.006,.007,.008,.005,.005,.005,.005,.005,.011,.034,07
,OTAY MESA DVN,.014,C,C,.006,.006,.010,.013,.033,.048,.017,.022,.019,.008,.008,.003,.003,.003,.003,.003,.004,.002,.002,.002,.001,.010,.048,08
,PENDLETON,.030,C,C,.007,.009,.014,.015,.014,.015,.014,.012,.004,.002,.004,.002,.003,.001,.000,.000,-.001,-.001,-.001,-.001,-.001,.006,.030,00
03 NO2 PPM,ALPINE,.003,C,C,.007,.010,.005,.003,.007,.011,.006,.005,.006,.006,.005,.007,.007,.006,.004,.004,.004,.003,.002,.002,.002,.005,.011,08
,CARMEL MT RCH,.022,C,C,C,.012,.011,.014,.023,.017,.014,.025,.024,.024,.020,.014,.015,.014,.015,.014,.009,.009,.010,.008,.009,.015,.025,10
,CHULA VISTA,.015,C,C,.010,.012,.014,.014,.029,M,M,M,M,.009,M,M,M,.004,.004,.006,.003,.003,.002,.002,.001,.009,.029,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,C,C,C,.009,.008,.009,.017,M,M,M,.006,.008,.006,.004,.003,.002,.008,.006,.004,.004,.004,.003,.003,.007,.023,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,C,C,.010,.010,.013,.019,.022,.017,.011,.010,.009,.006,.003,.003,.004,.005,.007,.008,.005,.004,.005,.004,.005,.010,.029,00
,OTAY MESA DVN,.013,C,C,.006,.005,.009,.012,.020,.029,.014,.017,.015,.006,.007,.002,.002,.002,.003,.003,.003,.002,.001,.001,.001,.008,.029,08
,PENDLETON,.025,C,C,.007,.009,.012,.013,.012,.012,.011,.010,.003,.001,.002,.001,.001,.001,.000,.000,-.001,-.001,.000,-.001,-.001,.005,.025,00
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.001,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,CARMEL MT RCH,.005,C,C,C,.001,.001,.006,.015,.006,.006,.017,.019,.019,.019,.017,.018,.013,.015,.012,.006,.006,.006,.004,.004,.010,.019,11
,CHULA VISTA,.001,C,C,.000,.000,.001,.001,.015,M,M,M,M,.059,M,M,M,.001,.000,.000,.001,.000,.000,.000,.000,.005,.059,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,C,C,C,.000,.000,.000,.009,M,M,M,.002,.002,.002,.002,.001,.001,.002,.002,.001,.001,.001,.000,.000,.002,.009,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,C,C,.000,.000,.001,.002,.012,.007,.003,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.012,07
,OTAY MESA DVN,.000,C,C,.000,.000,.001,.001,.012,.019,.003,.005,.004,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.019,08
,PENDLETON,.005,C,C,.000,.001,.002,.002,.002,.003,.003,.002,.000,.000,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,00
06 CO PPM,CARMEL MT RCH,.6,C,C,C,.5,.5,.5,.8,.6,.5,.6,.7,.7,.6,.6,.7,.6,.7,.6,.4,.5,.5,.4,.4,.6,.8,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,27,27,27,27,27,27,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,25,27,00
,CARMEL MT RCH,26,27,26,26,26,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,26,26,26,26,26,27,01
,CHULA VISTA,25,26,25,26,25,25,25,25,25,25,24,23,23,24,23,24,24,25,25,25,25,24,25,25,25,26,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,25,26,26,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,24,24,25,25,25,25,25,25,00
,PENDLETON,26,26,26,26,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,27,27,26,26,26,26,27,13
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.8,6.8,5.5,15.2,14.2,9.8,4.5,5.0,4.5,12.7,14.7,22.0,18.9,19.7,22.6,13.5,6.8,-.4,6.0,5.2,3.5,2.4,1.2,2.1,9.2,22.6,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,28.3,30.8,32.9,26.1,27.0,31.3,24.8,27.5,25.5,32.6,24.0,17.7,22.8,19.1,6.9,4.5,4.7,7.9,5.8,5.5,7.9,8.9,5.8,4.3,18.0,32.9,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,23.7,12.4,25.2,28.3,23.0,26.2,23.9,31.1,48.0,25.3,31.4,21.8,13.4,16.3,1.9,7.6,7.4,4.0,1.8,2.2,8.4,7.2,4.0,3.6,16.5,48.0,08
,PENDLETON,15.6,28.3,23.6,28.2,19.9,23.7,24.2,24.7,36.9,27.8,27.2,8.3,9.0,7.3,3.4,5.3,4.5,4.0,11.8,13.7,12.2,10.0,10.5,10.6,16.2,36.9,08
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,335,55,298,32,129,93,98,112,138,263,227,284,247,238,262,245,254,275,228,250,246,257,255,272,212,335,00
,CHULA VISTA,135,106,109,92,87,95,99,129,116,269,264,279,259,268,288,275,265,229,255,281,275,282,288,282,209,288,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,91,115,52,89,95,103,86,120,19,355,312,259,229,250,264,258,249,233,241,249,250,246,245,250,194,355,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,31,22,65,72,74,93,90,119,125,194,241,261,224,256,282,279,254,270,263,269,261,266,272,262,189,282,14
,OTAY MESA DVN,2,359,39,21,53,112,78,250,151,224,159,266,271,251,275,288,285,288,268,265,272,276,279,280,209,359,01
,PENDLETON,90,74,40,46,61,59,60,62,77,88,161,175,184,210,216,232,265,226,243,258,259,259,256,253,161,265,16
13 SIGTHETA °,ALPINE,59,50,38,42,42,20,14,16,35,33,46,32,47,37,34,29,25,30,25,28,27,34,34,29,34,59,00
,CHULA VISTA,16,22,30,12,16,13,12,18,32,69,43,19,30,18,26,26,22,24,22,17,19,17,17,18,23,69,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,16,48,24,15,14,16,34,59,56,64,30,40,28,20,19,18,22,19,19,16,22,22,19,27,64,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,19,43,18,9,10,18,17,16,45,20,18,24,16,16,18,16,10,10,8,9,7,9,9,17,45,09
,OTAY MESA DVN,12,18,17,26,25,8,37,46,25,46,38,27,21,32,12,13,13,12,9,11,9,13,12,10,21,46,07
,PENDLETON,8,9,8,10,12,11,12,13,13,15,21,15,17,18,13,17,14,14,13,9,7,9,8,10,12,21,10
14 VWSP MPH,ALPINE,1.5,.6,.7,1.0,.2,1.6,2.3,2.6,.8,2.8,2.5,4.2,2.6,4.3,4.5,5.0,3.9,2.4,3.2,4.8,5.1,4.0,4.0,5.4,2.9,5.4,23
,CHULA VISTA,1.1,.6,1.4,3.1,2.4,4.9,3.6,1.9,1.1,.2,2.1,6.6,3.8,7.2,4.3,3.7,3.1,1.9,2.6,6.6,5.6,6.6,6.2,6.2,3.6,7.2,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.4,2.2,.2,2.2,3.3,4.6,2.7,.4,.5,.5,.8,3.8,3.0,5.4,7.5,6.5,4.5,2.6,3.5,4.6,5.8,2.6,3.1,3.3,3.2,7.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.5,1.5,.7,1.9,4.5,5.4,2.1,1.9,2.6,2.0,4.3,5.9,5.1,8.5,6.8,6.3,4.8,5.1,6.1,7.5,5.8,6.4,6.8,5.9,4.6,8.5,13
,OTAY MESA DVN,5.0,3.2,1.7,1.4,2.4,3.2,1.2,.6,2.5,2.4,3.3,6.6,7.7,6.4,10.0,8.0,5.3,4.4,4.4,5.5,5.2,5.1,6.2,6.3,4.5,10.0,14
,PENDLETON,2.9,4.9,4.9,4.6,4.8,5.0,4.2,3.6,4.3,4.7,3.1,6.1,4.7,5.3,6.3,4.5,2.3,4.3,8.7,11.0,13.3,11.2,12.7,12.0,6.2,13.3,20
15 SWSP MPH,ALPINE,2.1,1.1,1.7,1.2,.6,1.7,2.4,2.7,3.6,3.4,3.1,5.0,4.1,5.4,5.8,5.6,4.3,2.7,3.6,5.4,5.6,4.7,4.6,6.0,3.6,6.0,23
,CHULA VISTA,1.2,.7,1.7,3.1,2.5,5.0,3.7,2.0,1.3,1.1,2.5,7.0,4.5,7.7,5.0,4.0,3.4,2.1,3.1,6.8,5.9,6.9,6.4,6.5,3.9,7.7,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.8,2.7,.8,2.4,3.5,4.7,2.9,.6,1.2,1.2,2.0,4.3,3.7,6.2,8.0,6.9,5.1,2.8,3.7,4.9,6.0,2.8,3.4,3.5,3.6,8.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.6,1.9,1.3,2.3,4.6,5.6,2.2,2.3,2.7,3.2,4.6,6.3,5.8,8.8,7.1,6.6,5.2,5.2,6.2,7.6,6.0,6.4,6.9,6.0,4.9,8.8,13
,OTAY MESA DVN,5.1,3.4,1.8,1.5,3.3,3.3,2.4,1.6,2.9,2.9,3.9,7.6,8.0,7.6,10.3,8.3,5.7,4.5,4.5,5.7,5.3,5.3,6.3,6.4,4.9,10.3,14
,PENDLETON,2.9,5.0,5.0,4.7,4.9,5.1,4.3,3.7,4.4,4.8,3.4,6.4,5.0,5.7,6.5,4.8,2.4,4.5,9.0,11.2,13.4,11.3,12.8,12.2,6.4,13.4,20
16 AMBTEMP °F,ALPINE,57.7,53.5,52.5,49.3,47.5,49.3,54.6,54.7,58.1,54.5,57.3,58.8,58.9,60.8,59.6,57.1,53.8,52.9,52.2,51.6,50.5,48.8,47.8,47.2,53.7,60.8,13
,CARMEL MT RCH,54.0,54.2,54.0,54.3,54.5,53.6,52.6,53.3,55.0,57.1,59.3,59.9,61.6,61.9,59.8,58.7,57.5,56.2,56.2,55.3,54.3,53.7,53.2,52.5,55.9,61.9,13
,CHULA VISTA,56.7,56.4,56.9,57.0,56.3,56.0,54.1,53.9,58.8,62.6,64.5,63.1,65.0,64.1,61.7,61.0,59.3,57.6,58.1,58.1,57.7,57.6,56.6,56.0,58.7,65.0,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,53.1,55.5,55.9,55.5,54.2,53.0,51.8,51.3,55.0,58.2,60.8,63.1,64.4,65.8,64.0,61.6,59.8,57.7,57.5,57.2,56.1,55.7,55.2,54.6,57.4,65.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,56.4,56.4,56.8,56.8,55.9,55.0,53.6,54.3,57.0,59.7,60.1,60.5,61.5,61.1,60.0,59.6,57.8,57.0,57.1,56.3,55.6,55.0,54.7,53.9,57.2,61.5,12
