Current Date:,1/31/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.042,C,C,.043,.041,.039,.040,.035,.031,.045,.045,.043,.040,.040,.039,.036,.034,.032,.037,.038,.040,.042,.043,.039,.045,10
,CHULA VISTA,.018,.024,.018,.017,.010,.008,.004,.004,.015,.011,M,M,.019,.022,.034,.039,.030,.022,.003,.001,.001,.002,.002,.002,.013,.039,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.003,.005,.008,.013,.021,.022,.030,.039,.041,.036,.022,.004,.003,.003,.003,.003,.002,.012,.041,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,.036,C,C,.023,.017,.007,.017,.019,.020,.022,M,M,M,.035,.038,.030,.018,.014,.016,.016,.019,.017,.019,.022,.038,15
,OTAY MESA DVN,.039,.038,C,C,.038,.035,.036,.029,M,M,.038,.042,.038,.030,.035,.036,.030,.028,.027,.015,.008,.018,.033,.020,.030,.042,11
,PENDLETON,.027,.030,C,C,.024,.021,.022,.024,.025,.024,.025,.024,.018,.017,.025,.026,.026,.016,.010,.003,.007,.010,.016,.017,.019,.030,01
02 NOX PPM,ALPINE,.001,.000,C,C,.000,.002,.008,.003,.005,.013,.002,.001,.004,.006,.008,.011,.012,.013,.017,.008,.006,.005,.001,.001,.006,.017,18
,CARMEL MT RCH,.034,.044,C,C,C,.020,.106,.062,.060,.028,.036,.048,.046,.042,.039,.048,.043,.033,.050,.076,.054,.059,.060,.036,.049,.106,06
,CHULA VISTA,.016,.010,.014,.014,.020,.026,.047,.051,.031,.060,M,M,.052,.057,.031,.014,.025,.029,.061,.069,.087,.052,.042,.038,.038,.087,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
