Current Date:,1/5/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
1/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.017,.024,C,C,.038,.039,.036,.034,.034,M,M,.042,.046,.048,.051,.050,.051,.049,.042,.043,.047,.049,.048,.048,.041,.051,14
,CHULA VISTA,.032,.022,C,C,.002,.001,.001,.002,.005,.015,.022,.023,.027,.044,.054,.058,.050,.040,.017,.002,.001,.001,.001,.006,.019,.058,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.004,.004,.002,.002,.002,.002,.003,.005,.012,.021,M,M,M,.047,.054,.053,.032,.017,.011,.005,.006,.006,.003,.014,.054,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.005,.001,.001,.005,.010,.023,.033,.040,.043,.049,M,M,.053,.039,.025,.018,.012,.011,.018,.041,.022,.053,16
,OTAY MESA DVN,.011,.012,C,C,.011,.017,.017,.009,.014,.021,.025,.038,.043,.037,.049,M,.056,.051,.040,.033,.028,.039,.033,.035,.029,.056,16
,PENDLETON,.016,.015,C,C,.009,.006,.008,.008,.014,.018,.018,.028,.039,.048,.047,.046,.050,.047,.046,.025,.023,.011,.017,.020,.025,.050,16
02 NOX PPM,ALPINE,.015,.010,C,C,.002,.002,.007,.009,.007,M,M,.004,.002,.003,.005,.008,.010,.011,.012,.013,.010,.006,.008,.005,.007,.015,00
,CARMEL MT RCH,.045,.045,C,C,C,.054,.059,.091,.035,.034,.051,.040,.041,.042,.038,.037,.038,.042,.052,.071,.081,.055,.026,.021,.048,.091,07
,CHULA VISTA,.007,.009,C,C,.030,.034,.041,.053,.064,.041,.027,.044,.045,.020,.011,.013,.019,.020,.034,.066,.088,.066,.067,.050,.039,.088,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.022,.019,.020,.024,.031,.045,.064,.076,.049,.035,M,M,M,.014,.010,.016,.027,.035,.037,.045,.039,.036,.038,.034,.076,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.022,.020,C,C,.023,.035,.047,.038,.036,.021,.017,.016,.013,.011,M,M,.014,.023,.033,.033,.037,.037,.031,.014,.026,.047,06
,OTAY MESA DVN,.021,.027,C,C,.026,.017,.016,.035,.032,.031,.041,.022,.012,.033,.018,M,.013,.013,.019,.023,.026,.008,.016,.012,.022,.041,10
,PENDLETON,.013,.011,C,C,.016,.023,.023,.022,.018,.018,.033,.013,.005,.004,.005,.005,.003,.002,.001,.020,.019,.037,.021,.019,.015,.037,21
03 NO2 PPM,ALPINE,.015,.010,C,C,.002,.002,.004,.005,.005,M,M,.003,.002,.003,.005,.007,.009,.011,.012,.012,.010,.006,.007,.005,.007,.015,00
,CARMEL MT RCH,.030,.030,C,C,C,.027,.026,.030,.020,.021,.028,.023,.023,.024,.023,.024,.029,.033,.046,.052,.052,.040,.021,.020,.030,.052,19
,CHULA VISTA,.007,.009,C,C,.025,.024,.024,.025,.025,.025,.019,.030,.031,.017,.011,.013,.019,.020,.034,.052,.050,.049,.046,.044,.027,.052,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.019,.019,.016,.016,.017,.018,.018,.020,.026,.024,.022,M,M,M,.011,.009,.014,.026,.034,.035,.036,.033,.031,.032,.023,.036,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.020,.020,C,C,.020,.022,.026,.024,.019,.015,.013,.013,.011,.009,M,M,.014,.023,.032,.032,.036,.036,.030,.014,.021,.036,20
,OTAY MESA DVN,.020,.026,C,C,.025,.017,.015,.025,.022,.021,.028,.017,.010,.026,.015,M,.013,.013,.018,.023,.026,.007,.016,.011,.019,.028,10
,PENDLETON,.012,.010,C,C,.013,.016,.017,.015,.011,.010,.017,.009,.004,.003,.004,.004,.003,.002,.002,.019,.018,.032,.019,.018,.012,.032,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.003,.003,.002,M,M,.001,.000,.001,.001,.001,.000,.001,.001,.000,.000,.000,.001,.000,.001,.003,06
,CARMEL MT RCH,.014,.014,C,C,C,.027,.033,.061,.015,.013,.023,.017,.018,.018,.015,.013,.009,.009,.006,.019,.029,.015,.004,.000,.018,.061,07
,CHULA VISTA,.000,.000,C,C,.006,.011,.017,.028,.041,.015,.008,.015,.013,.003,.001,.001,.000,.000,.000,.014,.038,.017,.022,.006,.012,.041,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.003,.003,.004,.006,.013,.026,.044,.050,.025,.014,M,M,M,.003,.001,.002,.001,.001,.002,.009,.006,.005,.006,.011,.050,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
