Current Date:,1/19/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHULA VISTA,.033,.030,C,C,.018,.022,.026,.028,.025,.014,.019,.022,M,M,M,.006,.004,.014,.021,.025,.037,.037,.037,.028,.023,.037,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.024,C,C,C,.017,.018,.021,.023,.024,M,M,M,M,M,.014,.010,.010,.024,.024,.026,.023,.022,.020,.020,.026,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.020,C,C,.013,.018,.025,.023,.024,.023,.022,.021,.010,.017,.012,.007,.010,.019,.027,.022,.015,.013,.027,.030,.019,.030,23
,OTAY MESA DVN,.004,.014,C,C,.007,.006,.009,.012,.010,.010,.009,.025,.012,.015,.013,.006,.005,.005,.014,.013,.022,.013,.027,.021,.012,.027,22
,PENDLETON,.023,.022,C,C,.014,.017,.019,.016,.012,.012,.016,.018,.017,.011,.009,.006,.006,.015,.018,.018,.012,.014,.029,.030,.016,.030,23
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.002,.004,.004,.001,.000,.001,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.004,07
,CARMEL MT RCH,.017,.012,C,C,C,.034,.010,.066,.091,.019,.002,.008,.022,.025,.013,.011,.008,.001,.008,.004,.009,.005,.017,.005,.018,.091,08
,CHULA VISTA,.024,.017,C,C,.001,.003,.031,.051,.020,.004,.012,.009,M,M,M,.000,.000,.001,.001,.001,.002,.004,.014,.002,.010,.051,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.019,C,C,C,.024,.036,.064,.047,.031,M,M,M,M,M,.002,.000,.000,.002,.002,.004,.004,.005,.003,.016,.064,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.001,C,C,.000,.002,.009,.018,.027,.022,.018,.012,.003,.005,.002,.001,.001,.000,.002,.000,.000,.000,.003,.008,.006,.027,08
,OTAY MESA DVN,.000,.002,C,C,.000,.001,.001,.005,.005,.004,.003,.009,.003,.003,.002,.001,.001,.000,.000,.000,.000,.000,.001,.001,.002,.009,11
,PENDLETON,.005,.001,C,C,.002,.012,.016,.009,.011,.008,.013,.010,.007,.003,.003,.004,.001,.001,.000,.001,.000,.000,.010,.005,.006,.016,06
06 CO PPM,CARMEL MT RCH,1.0,.8,C,C,C,.6,.5,1.5,1.6,.6,.3,.3,.6,.8,.7,.6,.7,.5,.8,.8,.9,.7,1.2,.7,.8,1.6,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,27,26,26,26,27,26,25,25,24,24,24,24,24,24,25,25,25,26,26,27,27,26,25,27,02
,CARMEL MT RCH,26,26,26,27,27,27,27,26,26,25,25,25,25,25,25,26,25,26,26,26,26,26,26,27,26,27,03
,CHULA VISTA,25,25,25,25,25,25,24,24,24,24,24,24,24,24,23,24,25,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,27,26,26,27,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,27,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,25,26,25,24,M,23,24,24,25,25,25,25,26,26,26,26,26,25,26,00
,OTAY MESA DVN,25,24,24,25,24,24,25,25,25,25,24,24,24,24,23,23,23,24,24,25,25,25,25,25,24,25,00
,PENDLETON,26,25,25,25,25,25,24,24,24,25,25,25,25,25,25,26,26,27,27,27,26,26,26,26,25,27,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.3,3.1,1.6,.2,-.2,.6,4.3,4.0,3.2,1.5,.8,.3,1.2,4.1,6.8,11.6,20.4,15.5,17.6,15.9,11.5,12.8,9.8,4.5,6.5,20.4,16
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,15.3,15.6,14.7,15.3,13.4,11.2,9.9,17.9,17.4,15.5,7.1,5.0,4.5,8.0,16.2,17.7,28.5,21.0,20.9,28.0,30.3,24.6,25.0,22.0,16.8,30.3,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,9.1,14.0,7.8,.5,-.8,8.0,9.2,13.1,7.4,7.0,14.3,24.3,17.2,18.6,M,25.0,15.4,20.5,23.7,29.7,38.1,17.1,39.0,35.6,17.1,39.0,22
,PENDLETON,32.9,36.5,22.5,17.4,10.4,14.7,13.4,13.6,12.1,8.2,23.9,37.9,39.5,35.7,14.0,19.0,13.8,20.8,22.0,24.9,22.2,23.5,31.1,20.7,22.1,39.5,12
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,92,94,109,11,9,86,89,69,350,300,296,215,258,224,266,264,289,101,92,335,100,102,82,84,163,350,08
,CHULA VISTA,96,96,116,108,75,172,66,10,342,345,11,225,260,266,260,272,249,113,111,94,103,111,188,218,163,345,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,110,204,153,220,123,189,216,261,116,334,35,359,259,237,247,242,200,135,192,117,81,148,243,194,192,359,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,354,46,79,69,78,78,72,6,140,165,166,M,179,213,256,298,17,103,56,74,66,61,280,343,139,354,00
,OTAY MESA DVN,32,62,94,38,37,80,65,6,337,326,313,146,183,265,298,314,307,78,122,95,109,110,108,351,162,351,23
,PENDLETON,74,53,23,39,56,28,57,74,70,93,180,182,218,259,279,297,126,74,66,64,62,55,51,11,104,297,15
13 SIGTHETA °,ALPINE,52,56,12,25,35,47,16,45,49,34,34,39,39,31,30,27,34,28,18,36,14,14,45,29,33,56,01
,CHULA VISTA,29,44,60,64,27,52,28,27,23,29,30,34,19,18,18,19,34,15,34,18,14,53,41,42,32,64,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,48,34,42,45,31,54,38,47,52,36,61,46,43,25,20,25,21,48,38,25,42,54,26,46,39,61,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,8,7,7,7,30,7,28,24,30,15,M,22,19,13,15,20,12,29,10,7,29,23,27,17,30,05
,OTAY MESA DVN,19,25,25,41,14,42,34,18,33,17,27,44,26,24,12,14,14,28,15,11,15,43,41,14,25,44,11
,PENDLETON,14,8,48,9,8,41,9,9,13,19,16,16,15,11,14,24,25,13,10,13,16,45,19,20,18,48,02
14 VWSP MPH,ALPINE,.7,.9,2.4,2.6,1.8,.6,1.1,.7,.7,2.2,2.0,2.4,3.2,4.4,4.3,5.0,3.0,1.1,1.8,.7,1.2,2.0,1.3,1.5,2.0,5.0,15
,CHULA VISTA,1.1,1.1,1.4,.6,1.3,.5,.9,1.9,2.9,2.1,1.6,2.0,5.2,5.1,8.9,6.5,1.4,2.3,1.3,2.9,4.2,3.4,.2,.8,2.5,8.9,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.1,.2,.6,.5,1.2,.2,.5,.4,.7,.4,.8,.6,2.1,5.2,7.2,5.5,3.4,.9,.4,1.3,.5,.4,1.1,.4,1.5,7.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.0,3.1,4.6,5.6,4.1,2.5,3.9,1.1,1.8,3.2,4.6,M,5.4,6.7,11.6,8.5,2.6,3.7,1.9,3.2,4.8,3.0,2.7,.7,4.1,11.6,14
,OTAY MESA DVN,4.3,2.1,1.0,1.6,2.7,2.0,1.4,2.1,2.1,3.4,1.7,5.0,4.9,5.3,10.9,9.1,6.0,.4,3.6,3.0,3.5,1.3,2.0,5.4,3.5,10.9,14
,PENDLETON,4.1,5.2,2.7,4.5,4.8,2.3,3.9,5.1,4.4,4.4,4.9,5.8,4.6,5.8,6.0,3.8,2.3,3.1,3.1,3.5,3.3,1.7,1.3,1.4,3.8,6.0,14
15 SWSP MPH,ALPINE,1.0,1.3,2.4,3.2,1.9,.6,1.2,1.0,1.3,2.5,2.3,3.0,4.0,5.1,4.9,5.6,3.4,1.2,2.0,.8,1.3,2.0,1.8,1.9,2.3,5.6,15
,CHULA VISTA,1.4,1.4,2.0,1.3,1.5,1.3,1.2,2.1,3.2,2.7,2.2,2.9,5.5,5.4,9.3,6.9,3.1,2.4,1.4,3.2,4.3,5.0,.4,1.0,3.0,9.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,1.1,1.4,1.3,1.8,.8,.7,.7,1.9,1.2,1.1,1.3,3.4,5.8,7.7,6.0,4.8,1.6,.9,1.4,1.1,1.3,1.4,1.6,2.1,7.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.1,3.5,4.7,5.6,4.2,2.8,3.9,4.6,2.1,3.5,5.0,3.8,12.1,7.1,11.8,8.8,4.5,3.8,2.1,3.3,4.8,3.1,3.6,1.9,4.8,12.1,12
,OTAY MESA DVN,4.8,3.0,1.2,3.0,3.4,2.4,3.1,2.7,3.0,3.8,1.9,5.6,5.9,6.5,11.5,9.6,6.4,2.1,3.9,3.2,3.7,2.0,2.9,5.7,4.2,11.5,14
,PENDLETON,4.2,5.3,3.0,4.8,5.0,2.5,4.1,5.2,4.5,4.6,5.1,6.0,5.2,6.0,6.2,4.1,2.7,3.4,3.3,3.7,3.5,2.2,1.7,1.5,4.1,6.2,14
16 AMBTEMP °F,ALPINE,64.0,64.8,64.2,64.6,65.3,64.2,63.9,64.8,67.0,69.1,70.2,72.7,74.4,75.6,74.8,70.7,62.6,60.5,60.1,60.7,60.5,61.2,61.7,61.3,65.8,75.6,13
,CARMEL MT RCH,57.4,56.8,55.5,56.4,56.4,55.0,56.7,59.1,62.4,66.9,69.6,72.9,75.4,77.0,68.3,60.5,59.1,58.3,58.5,58.0,56.8,55.5,55.5,55.3,61.0,77.0,13
,CHULA VISTA,52.9,52.2,51.8,51.4,51.9,50.6,49.5,52.4,58.3,60.8,67.1,75.1,71.9,69.8,64.6,61.6,60.3,58.7,57.0,57.0,57.6,57.2,54.2,55.3,58.3,75.1,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52.4,51.6,50.2,49.6,48.9,47.8,47.3,48.6,55.4,62.8,69.7,75.8,79.5,80.4,77.8,68.4,63.1,60.1,59.1,57.5,56.5,55.1,53.6,52.5,59.3,80.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.8,56.8,56.4,56.8,56.9,56.2,55.7,56.5,60.7,63.7,67.1,72.0,75.2,74.7,67.2,61.4,59.9,58.8,58.7,57.6,58.3,58.5,56.1,55.4,60.6,75.2,12
,OTAY MESA DVN,62.3,61.0,62.5,59.2,61.6,59.1,60.8,61.7,64.7,66.2,72.4,76.9,79.5,79.4,71.9,61.6,59.1,57.3,57.0,56.8,56.8,56.5,56.5,54.8,63.2,79.5,12
,PENDLETON,54.2,54.4,53.7,54.4,53.3,51.1,52.5,54.3,58.6,64.7,65.0,65.2,64.7,63.8,59.8,60.7,62.3,61.4,59.6,58.8,57.9,56.8,55.8,56.4,58.3,65.2,11
17 RELHUM %,ALPINE,30,27,25,24,24,24,25,25,26,24,24,22,21,23,24,35,66,72,61,53,50,45,37,35,34,72,17
,EL CAJON LES,79,82,83,84,85,85,86,83,65,48,33,24,22,22,28,60,75,82,83,86,84,83,85,87,68,87,23
,KEARNY MESA,81,70,67,61,57,56,56,57,53,47,44,40,28,33,65,82,85,85,84,89,88,86,91,92,67,92,23
18 PRES mmHg,KEARNY MESA,751,751,750,750,750,751,751,751,752,752,752,M,749,749,749,750,750,749,750,750,750,750,750,750,750,752,08
19 SOLAR W/M2,KEARNY MESA,1,1,0,1,0,0,3,99,301,418,516,M,671,607,418,255,75,2,1,0,1,0,1,1,147,671,12
28 SO2 Tr PPB,EL CAJON LES,.2,.2,C,C,C,.1,.2,.4,.6,.3,.1,.1,.1,.2,.4,.3,.2,.1,.0,.0,.1,.1,.1,.0,.1,.6,08
29 CO Tr PPB,EL CAJON LES,781.2,792.3,C,C,C,648.4,817.2,1041.6,901.6,766.8,485.5,305.1,250.6,252.9,346.5,379.3,332.1,322.6,504.4,529.4,605.2,613.5,567.4,514.9,559.9,1041.6,07
