Current Date:,7/29/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/28/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.038,C,C,.022,.017,.022,.024,.042,.048,.057,.065,.067,.060,.053,.050,.052,.046,.045,.036,.029,.024,.025,.027,.040,.067,12
,CHULA VISTA,.024,.021,C,C,.017,.014,.015,.020,.024,.033,.041,.046,.045,.040,.038,.038,.036,.034,.031,.026,.025,.024,.022,.020,.028,.046,11
,DOWNTOWN SES,.028,.026,C,C,.022,.019,.024,.025,.027,.031,.037,.044,.041,.040,.038,.036,.034,.033,.028,.029,.028,.031,.026,.023,.030,.044,11
,EL CAJON LES,.020,.020,C,C,C,.012,.014,.021,.036,.045,.054,.058,.061,.061,.056,.053,.048,.041,.037,.036,.035,.026,.021,.023,.037,.061,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.026,C,C,.018,.012,M,M,M,M,M,.050,.051,.048,.048,.042,.038,.039,.036,.029,.024,.019,.020,.023,.032,.051,12
,OTAY MESA DVN,.019,.017,C,C,.012,.010,.012,.015,.024,.033,.041,.050,.053,.047,.044,.042,.038,.035,.030,.028,.022,.021,.017,.019,.028,.053,12
,PENDLETON,.025,.022,C,C,.003,.004,.012,M,M,M,M,M,M,M,M,M,M,.032,.030,.028,.026,.026,.015,.014,.019,.032,17
02 NOX PPM,ALPINE,.003,.003,C,C,.003,.013,.007,.013,.006,.006,.005,.005,.005,.003,.003,.002,.002,.002,.003,.006,.009,.011,.010,.008,.006,.013,05
,CARMEL MT RCH,.008,.009,C,C,.036,.040,.054,.055,.036,.031,.026,.024,.021,.019,.021,.018,.017,.015,.014,.017,.015,.012,.015,.010,.023,.055,07
,CHULA VISTA,.006,.007,C,C,.007,.011,.016,.016,.018,.009,.005,.004,.003,.003,.003,.003,.003,.003,.003,.005,.006,.006,.005,.004,.007,.018,08
,DOWNTOWN SES,.002,.003,C,C,.005,.009,.007,.009,.012,.013,.011,.010,.006,.008,.006,.006,.005,.006,.008,.004,.004,.005,.005,.006,.007,.013,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.006,.011,M,M,M,M,M,.005,.004,.004,.003,.003,.005,.004,.004,.003,.004,.007,.004,.003,.004,.011,05
,OTAY MESA DVN,.006,.005,C,C,.006,.012,.009,.012,.011,.012,.009,.006,.005,.004,.004,.004,.004,.003,.002,.003,.004,.004,.004,.003,.006,.012,05
,PENDLETON,.002,.004,C,C,.020,.024,.014,M,M,M,M,M,M,M,M,M,M,.000,.000,.001,.001,.001,.010,.010,.007,.024,05
03 NO2 PPM,ALPINE,.003,.003,C,C,.002,.010,.005,.008,.004,.005,.005,.005,.004,.003,.002,.002,.002,.002,.003,.006,.009,.011,.009,.007,.005,.011,21
,CARMEL MT RCH,.005,.005,C,C,.018,.018,.021,.020,.017,.015,.013,.013,.012,.010,.012,.009,.009,.008,.009,.010,.009,.008,.010,.007,.012,.021,06
,CHULA VISTA,.006,.007,C,C,.007,.009,.012,.011,.011,.006,.004,.003,.003,.002,.002,.003,.003,.003,.003,.005,.006,.006,.005,.004,.006,.012,06
,DOWNTOWN SES,.002,.003,C,C,.005,.008,.005,.006,.008,.009,.008,.008,.005,.006,.004,.004,.004,.005,.007,.004,.004,.005,.005,.006,.006,.009,09
,EL CAJON LES,.007,.009,C,C,C,.011,.012,.010,.009,.009,.007,.008,.005,.004,.003,.004,.004,.005,.006,.008,.007,.008,.009,.008,.007,.012,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.002,C,C,.006,.009,M,M,M,M,M,.004,.003,.003,.003,.002,.004,.003,.004,.003,.004,.007,.004,.003,.004,.009,05
,OTAY MESA DVN,.006,.005,C,C,.005,.008,.006,.007,.008,.009,.007,.005,.004,.004,.003,.003,.003,.002,.002,.003,.003,.004,.004,.003,.005,.009,09
,PENDLETON,.002,.004,C,C,.013,.013,.009,M,M,M,M,M,M,M,M,M,M,.001,.001,.001,.002,.002,.010,.010,.006,.013,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.004,.002,.004,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.004,05
,CARMEL MT RCH,.003,.003,C,C,.018,.022,.033,.035,.020,.016,.012,.010,.009,.008,.009,.009,.008,.006,.005,.007,.007,.004,.005,.003,.011,.035,07
,CHULA VISTA,.000,.000,C,C,.000,.001,.005,.006,.007,.002,.001,.000,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.007,08
,DOWNTOWN SES,.000,.000,C,C,.000,.001,.002,.003,.004,.004,.003,.002,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.004,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,M,M,M,M,M,.001,.000,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,05
,OTAY MESA DVN,.000,.000,C,C,.001,.004,.003,.005,.003,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,PENDLETON,.000,.000,C,C,.007,.011,.005,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.002,.011,05
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.9,.8,.8,.5,.4,.5,.5,.5,.6,.6,.6,.6,.5,.5,.5,.5,.5,.4,.3,.5,.9,05
10 INTMP °C,ALPINE,24,25,25,25,25,25,25,24,24,23,23,23,24,23,24,23,24,24,24,24,24,24,24,24,24,25,01
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,25,25,25,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,DOWNTOWN SES,23,23,23,23,23,24,24,23,23,22,23,22,22,23,22,22,23,23,23,23,23,23,23,23,23,24,05
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,23,24,23,24,23,23,23,23,23,23,23,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,25,25,25,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,25,26,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,23,23,23,23,24,24,24,25,25,24,25,00
,PENDLETON,25,25,25,25,25,25,25,24,23,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,6.9,7.5,7.8,4.6,5.1,6.4,5.9,5.3,M,M,13.4,8.3,7.0,6.2,5.0,7.6,9.4,8.0,5.4,3.3,5.2,9.1,8.9,6.7,6.9,13.4,10
,DOWNTOWN SES,2.4,1.7,3.0,1.6,4.8,6.2,4.6,6.3,7.0,6.5,9.7,9.9,5.5,5.0,8.2,8.0,5.2,3.8,5.3,4.5,3.2,1.4,4.9,4.4,5.1,9.9,11
,EL CAJON LES,7.1,5.0,4.5,1.0,1.8,2.1,1.8,8.6,8.7,8.3,8.5,7.9,M,M,7.6,6.4,4.6,4.5,4.4,2.9,7.3,6.7,5.6,5.6,5.4,8.7,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.5,10.0,6.1,7.9,19.2,10.8,7.0,13.5,9.2,8.7,13.0,13.0,12.4,11.4,10.4,8.7,7.6,6.5,8.8,5.2,5.2,6.3,9.8,9.0,9.6,19.2,04
,PENDLETON,6.5,6.2,6.6,8.1,6.8,4.7,6.0,9.3,11.7,11.1,7.6,6.8,3.5,7.7,6.2,2.9,4.8,5.7,5.0,6.8,7.7,7.9,6.5,6.8,6.7,11.7,08
12 VWDR °,ALPINE,10,51,123,110,103,331,209,257,242,268,292,276,270,275,290,288,272,276,286,268,253,148,60,85,0,331,05
,CHULA VISTA,331,339,23,346,341,317,334,290,264,261,261,267,267,258,258,266,261,262,262,278,272,229,161,134,0,346,03
,DOWNTOWN SES,333,335,348,340,339,339,323,333,278,268,277,276,276,276,280,281,275,282,310,312,327,326,320,329,0,348,02
,EL CAJON LES,310,322,274,357,298,336,282,313,284,281,250,252,253,252,244,247,247,256,248,239,255,267,149,306,0,357,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,338,337,329,322,337,332,328,331,306,289,286,310,302,303,309,307,293,295,296,296,289,314,326,333,0,338,00
,OTAY MESA DVN,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,00
,PENDLETON,311,325,334,52,24,51,64,115,243,255,263,268,279,281,265,266,262,267,266,261,229,275,344,329,0,344,22
13 SIGTHETA °,ALPINE,65,22,23,22,14,57,57,33,30,28,32,33,31,28,28,29,28,28,25,24,29,61,44,31,33,65,00
,CHULA VISTA,17,15,25,16,21,20,25,41,35,21,23,21,22,19,21,21,17,21,22,21,22,30,26,15,22,41,07
,DOWNTOWN SES,19,22,24,19,22,21,28,41,32,15,18,14,18,16,20,19,17,20,25,24,21,21,26,20,22,41,07
,EL CAJON LES,20,17,45,17,29,31,39,57,45,31,28,26,28,24,23,22,21,19,19,18,22,19,40,39,28,57,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,9,10,9,18,15,15,19,40,22,16,14,17,16,14,16,12,11,9,11,8,9,11,8,14,40,08
,OTAY MESA DVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00
,PENDLETON,13,12,16,12,10,13,12,25,P,13,16,15,16,18,15,16,15,13,15,16,20,21,19,17,16,25,07
14 VWSP MPH,ALPINE,.6,1.0,2.0,1.4,2.5,.1,.2,2.1,3.3,4.3,4.9,5.4,5.8,6.2,5.7,5.1,4.8,4.2,3.3,1.7,1.0,.2,.6,.6,.0,6.2,13
,CHULA VISTA,3.1,1.8,.7,2.0,1.3,1.0,2.0,1.8,3.0,5.4,6.3,7.4,7.9,8.8,7.4,7.9,8.0,6.1,4.7,3.5,2.7,.7,1.1,1.2,.0,8.8,13
,DOWNTOWN SES,3.3,2.6,2.2,2.4,2.1,2.1,3.1,2.4,4.2,7.1,8.1,9.7,9.8,9.9,8.3,8.4,8.2,6.8,4.9,3.7,3.5,3.4,2.3,2.6,.0,9.9,13
,EL CAJON LES,1.5,2.2,.4,2.1,.8,.8,.6,1.1,1.6,4.2,4.4,5.3,5.6,6.5,6.4,7.0,6.4,6.5,5.1,3.4,1.9,2.2,.4,1.4,.0,7.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,5.7,5.9,4.6,4.5,2.8,3.1,4.8,4.1,2.9,6.6,9.6,10.0,10.1,9.7,10.2,9.6,9.5,8.7,7.8,3.8,4.2,3.4,4.4,5.0,.0,10.2,14
,OTAY MESA DVN,.4,.0,.0,.0,.0,.0,.0,1.5,3.8,5.9,7.5,9.4,11.5,11.2,10.4,10.8,10.3,9.5,7.2,5.9,3.1,1.0,.1,2.1,.0,11.5,12
,PENDLETON,3.1,3.3,2.3,1.3,1.2,2.1,4.3,1.8,4.2,6.0,5.3,6.2,5.2,5.1,6.6,5.1,5.6,5.3,4.0,2.3,1.7,1.3,2.0,1.5,.0,6.6,14
15 SWSP MPH,ALPINE,1.0,1.6,2.1,1.5,2.6,.7,1.3,2.5,3.7,5.0,5.8,6.4,6.6,6.9,6.5,5.9,5.4,4.8,3.6,1.8,1.2,.8,.7,1.4,3.3,6.9,13
,CHULA VISTA,3.3,1.9,.8,2.1,1.4,1.1,2.2,2.3,3.7,5.8,6.8,8.0,8.5,9.3,7.9,8.4,8.4,6.5,5.0,3.7,2.9,1.4,1.3,1.3,4.3,9.3,13
,DOWNTOWN SES,3.5,2.8,2.4,2.6,2.3,2.2,3.6,3.4,4.6,7.3,8.5,10.1,10.3,10.3,8.8,8.9,8.5,7.3,5.3,4.0,3.8,3.7,2.6,2.8,5.4,10.3,12
,EL CAJON LES,1.8,2.4,.8,2.2,.9,1.1,1.2,1.5,2.6,4.8,5.1,5.9,6.3,7.2,6.9,7.5,6.9,6.9,5.5,3.6,2.2,2.3,1.8,2.0,3.7,7.5,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5.8,6.0,4.7,4.5,3.0,3.4,5.0,4.5,3.5,7.2,10.0,10.4,10.5,10.1,10.5,10.0,9.8,9.0,7.9,3.9,4.3,3.6,4.6,5.0,6.6,10.5,12
,OTAY MESA DVN,.4,.0,.0,.0,.0,.0,.0,1.5,3.8,5.9,7.5,9.4,11.5,11.2,10.4,10.8,10.3,9.5,7.2,5.9,3.1,1.0,.1,2.1,4.7,11.5,12
,PENDLETON,3.1,3.4,2.5,1.6,1.6,2.3,4.4,3.7,4.4,6.1,5.5,6.4,5.4,5.4,6.8,5.2,5.8,5.4,4.1,2.4,1.8,1.6,2.1,1.7,3.9,6.8,14
16 AMBTEMP °F,ALPINE,75.2,74.7,73.4,72.8,73.6,74.6,77.6,78.9,82.8,84.6,86.0,87.9,88.6,89.1,88.9,88.8,87.3,84.8,80.2,75.1,73.0,72.3,72.9,72.7,79.8,89.1,13
,CARMEL MT RCH,64.8,64.8,64.8,64.2,64.5,65.0,67.8,71.8,76.5,80.1,81.0,82.4,82.6,82.9,84.4,83.3,82.3,78.2,73.9,70.1,68.4,67.4,68.4,66.6,73.2,84.4,14
,CHULA VISTA,68.3,67.7,67.2,66.6,66.1,66.2,68.2,71.3,74.7,75.0,76.0,76.0,77.2,77.5,77.4,77.7,76.4,74.4,72.4,70.9,70.3,69.7,69.2,68.3,71.9,77.7,15
