Current Date:,7/9/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/8/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.043,C,C,.044,.036,.028,.032,.043,.051,.065,.077,.080,.081,.080,.080,.077,.066,.054,.045,.035,.038,.049,.034,.053,.081,13
,CHULA VISTA,.026,.026,C,C,.023,.022,.021,.023,.030,.038,.042,.042,.041,.039,.039,.036,.036,.032,.032,.033,.031,.029,.028,.028,.031,.042,10
,DOWNTOWN SES,.029,.027,C,C,.023,.020,.020,.021,.026,.033,.041,.043,.041,.041,.037,.040,.039,.032,.028,.026,.027,.022,.022,.022,.030,.043,11
,EL CAJON LES,.019,.019,C,C,C,.015,.018,.023,.031,.039,.049,.053,.056,.059,.060,.047,.041,.041,.038,.031,.026,.023,.017,.016,.034,.060,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.019,C,C,.016,.018,.019,.020,.026,.033,.043,.051,.052,.047,.046,.043,.038,.034,.029,.012,P,.020,.019,.019,.029,.052,12
,OTAY MESA DVN,.022,.021,C,C,.018,.019,.018,.017,.025,.035,.045,.052,.051,.046,.043,.039,.036,.034,.029,.026,.024,.022,.022,.023,.030,.052,11
,PENDLETON,.029,.023,C,C,.009,.015,.025,.027,.027,M,.034,.036,.034,.033,.039,.037,.035,.036,.031,.031,.030,.029,.029,.025,.029,.039,14
02 NOX PPM,ALPINE,.008,.005,C,C,.005,.013,.015,.019,.011,.008,.007,.006,.008,.007,.006,.006,.006,.006,.006,.006,.012,.010,.005,.013,.009,.019,07
,CARMEL MT RCH,.011,.012,C,C,.023,.032,.040,.030,.042,.028,M,.025,.024,.028,.032,.020,.018,.020,.015,.020,.022,.021,.015,.014,.023,.042,08
,CHULA VISTA,.002,.003,C,C,.004,.005,.009,.010,.006,.004,.004,.002,.002,.003,.002,.002,.002,.002,.001,.002,.002,.002,.001,.001,.003,.010,07
,DOWNTOWN SES,.002,.003,C,C,.006,.008,.009,.014,.011,.009,.005,.004,.003,.004,.004,.003,.004,.003,.004,.006,.004,.008,.008,.007,.006,.014,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.009,.009,.010,.015,.016,.012,.008,.006,.004,.004,.004,.004,.004,.004,.005,.002,P,.011,.006,.005,.007,.016,08
,OTAY MESA DVN,.002,.002,C,C,.004,.004,.004,.009,.009,.010,.008,.005,.004,.004,.004,.004,.003,.003,.003,.003,.003,.004,.003,.003,.004,.010,09
,PENDLETON,.002,.004,C,C,.014,.013,.005,.007,.016,M,.001,.001,.005,.006,.003,.001,.001,.001,.002,.000,.001,.000,.000,.002,.004,.016,08
03 NO2 PPM,ALPINE,.008,.005,C,C,.005,.011,.012,.014,.009,.007,.006,.006,.007,.006,.005,.005,.005,.005,.006,.006,.012,.009,.005,.013,.008,.014,07
,CARMEL MT RCH,.007,.008,C,C,.011,.013,.017,.015,.017,.014,M,.013,.014,.016,.019,.012,.012,.011,.008,.011,.013,.011,.009,.008,.012,.019,14
,CHULA VISTA,.002,.003,C,C,.004,.005,.007,.007,.005,.004,.003,.002,.002,.002,.002,.001,.001,.001,.001,.002,.002,.002,.001,.001,.003,.007,06
,DOWNTOWN SES,.002,.003,C,C,.005,.007,.007,.009,.007,.006,.004,.003,.002,.003,.003,.002,.003,.003,.003,.005,.004,.008,.008,.007,.005,.009,07
,EL CAJON LES,.006,.005,C,C,C,.008,.009,.009,.010,.011,.012,.011,.008,.006,.006,.006,.005,.005,.006,.007,.007,.008,.010,.010,.008,.012,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.006,C,C,.008,.008,.008,.010,.011,.009,.007,.005,.004,.004,.004,.003,.003,.004,.004,.001,P,.005,.006,.005,.006,.011,08
,OTAY MESA DVN,.002,.002,C,C,.003,.003,.003,.006,.006,.007,.006,.004,.004,.003,.003,.003,.003,.002,.003,.002,.003,.003,.003,.002,.003,.007,09
,PENDLETON,.002,.004,C,C,.013,.011,.004,.004,.006,M,.001,.001,.003,.003,.002,.001,.001,.001,.002,.000,.001,.000,.000,.002,.003,.013,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.002,.004,.005,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,CARMEL MT RCH,.003,.004,C,C,.013,.019,.023,.015,.025,.014,M,.011,.009,.012,.014,.008,.006,.010,.006,.009,.010,.010,.007,.006,.011,.025,08
