,PENDLETON,25,25,25,25,25,25,P,,,P,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,5.6,4.2,1.9,1.9,1.1,6.2,12.3,11.9,9.4,10.1,9.5,9.3,12.8,16.0,11.0,12.2,16.4,17.0,10.3,11.0,7.8,8.9,6.1,6.9,9.1,17.0,17
,DOWNTOWN SES,6.6,10.2,6.4,6.1,8.8,7.3,7.5,6.4,4.4,4.1,7.9,7.1,6.1,7.6,9.0,10.4,7.0,5.8,3.7,5.3,6.4,3.7,3.5,4.2,6.4,10.4,15
,EL CAJON LES,11.0,11.6,11.5,10.7,6.9,8.7,7.4,11.6,M,12.9,7.6,14.3,10.8,11.3,13.2,11.7,10.4,9.5,10.6,12.9,9.3,9.4,7.7,8.7,10.4,14.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,10.0,7.6,7.6,9.0,9.6,7.9,17.1,22.6,23.8,19.2,18.0,15.8,16.2,14.9,15.7,13.8,11.7,10.9,7.0,11.7,10.3,10.8,11.3,9.9,13.0,23.8,08
,PENDLETON,6.4,4.8,3.7,7.7,5.3,4.7,,,,M,9.6,6.6,6.9,8.5,11.2,7.7,9.0,12.0,9.4,9.0,9.1,9.0,7.6,7.5,7.7,12.0,17
12 VWDR °,ALPINE,320,277,336,305,280,122,95,259,303,268,288,273,239,285,292,290,301,301,308,212,265,157,92,14,0,336,02
,CHULA VISTA,226,238,255,298,312,209,222,251,258,273,271,265,244,257,270,269,270,288,305,322,313,327,326,316,0,327,21
,DOWNTOWN SES,322,328,308,327,337,240,225,241,232,241,259,234,248,254,276,278,278,280,310,324,321,331,325,342,0,342,23
,EL CAJON LES,158,158,167,254,332,162,202,210,203,248,268,236,257,276,261,258,264,260,321,329,322,320,330,315,0,332,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,279,286,301,321,322,288,190,256,280,274,240,266,250,261,280,280,299,305,304,302,318,318,328,323,0,328,22
,OTAY MESA DVN,344,329,336,327,324,272,165,199,305,309,299,304,311,301,303,294,291,290,285,300,304,312,330,3,0,344,00
,PENDLETON,222,261,300,203,37,31,P,,,P,250,246,251,249,248,266,270,292,289,310,321,319,318,315,0,321,20
13 SIGTHETA °,ALPINE,45,27,66,29,52,17,64,33,24,30,30,34,36,38,32,35,29,25,32,37,34,60,49,53,38,66,02
,CHULA VISTA,25,31,22,17,25,27,22,21,21,22,22,29,28,23,19,19,21,22,20,22,23,19,20,19,22,31,01
,DOWNTOWN SES,24,38,28,19,25,34,45,24,19,27,35,29,35,19,19,18,19,18,21,21,22,22,23,27,25,45,06
,EL CAJON LES,16,23,17,29,46,33,25,23,19,25,27,34,33,59,33,28,24,21,25,17,17,17,16,17,26,59,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,14,11,10,11,42,20,30,26,12,14,23,25,23,22,12,12,13,10,10,10,9,9,13,11,16,42,04
,OTAY MESA DVN,24,21,14,13,13,30,13,31,17,16,14,18,22,24,18,14,13,12,12,13,13,12,16,21,17,31,07
,PENDLETON,21,20,17,16,43,28,P,,,P,15,14,17,14,13,14,14,16,17,14,12,11,11,11,17,43,04
14 VWSP MPH,ALPINE,1.0,1.1,.6,2.0,.5,3.1,.9,1.7,2.9,2.7,3.4,3.1,3.0,3.7,4.3,3.9,4.3,3.8,2.0,.8,.5,.5,.4,.3,.0,4.3,14
,CHULA VISTA,1.5,1.1,2.1,2.7,1.5,.9,1.8,3.6,5.3,4.7,5.0,4.1,4.0,5.8,6.9,7.0,6.6,5.3,4.8,3.8,3.2,3.4,3.2,3.8,.0,7.0,15
,DOWNTOWN SES,2.2,2.0,2.3,3.6,2.1,.2,1.5,3.5,5.4,4.7,3.5,3.7,3.9,4.6,6.1,7.0,6.8,5.5,4.1,4.0,3.5,3.6,3.4,2.6,.0,7.0,15
,EL CAJON LES,3.1,2.5,2.2,1.8,1.1,1.6,1.8,2.7,4.7,3.9,4.4,3.1,3.7,2.0,4.8,6.0,5.7,5.0,3.8,4.0,3.9,3.6,3.6,3.1,.0,6.0,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.0,3.6,4.6,5.8,1.6,1.4,1.0,3.1,5.7,4.9,4.3,3.5,4.5,5.3,8.1,7.7,6.4,6.5,5.1,4.0,5.1,4.9,3.9,4.4,.0,8.1,14
,OTAY MESA DVN,.3,2.0,3.6,4.8,4.7,1.2,5.4,2.1,6.6,7.2,7.1,6.1,5.6,5.4,8.2,7.5,8.2,7.5,6.1,3.9,4.2,4.3,3.6,2.9,.0,8.2,14
,PENDLETON,2.1,1.3,2.1,2.2,1.9,2.9,P,,,P,4.6,3.7,4.0,5.0,5.4,7.0,6.2,3.9,3.2,4.0,4.9,5.1,5.3,6.0,.0,7.0,15
15 SWSP MPH,ALPINE,1.4,1.4,1.3,2.2,1.1,3.4,2.1,2.1,3.2,3.4,3.9,3.7,3.8,4.6,5.0,4.5,4.9,4.2,2.5,1.1,.9,.7,.9,.5,2.6,5.0,14
,CHULA VISTA,1.7,1.2,2.3,2.8,1.7,1.0,2.0,3.8,5.7,5.0,5.4,4.6,4.4,6.3,7.3,7.4,7.0,5.7,5.1,4.0,3.5,3.6,3.3,4.0,4.1,7.4,15
,DOWNTOWN SES,2.4,2.3,2.6,3.8,2.3,.9,1.9,3.9,5.7,5.3,4.3,4.2,4.8,5.4,6.5,7.3,7.1,5.7,4.5,4.2,3.7,3.9,3.6,2.9,4.1,7.3,15
,EL CAJON LES,3.3,2.6,2.4,2.6,2.2,2.1,1.9,3.0,5.0,4.5,4.9,3.9,4.2,3.6,5.5,6.7,6.2,5.4,4.5,4.2,4.1,3.8,3.7,3.2,3.9,6.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.2,3.6,4.7,6.0,1.9,1.6,1.4,3.4,5.8,5.5,4.7,3.9,4.9,6.1,8.3,7.9,6.6,6.7,5.2,4.1,5.2,4.9,4.1,4.5,4.8,8.3,14
,OTAY MESA DVN,.3,2.1,3.7,5.0,4.9,1.9,5.6,3.1,6.9,7.5,7.3,6.5,6.0,5.8,8.6,7.8,8.5,7.7,6.2,4.0,4.3,4.4,3.7,3.1,5.2,8.6,14
,PENDLETON,2.2,1.4,2.4,2.6,2.4,3.1,P,,,P,4.8,3.9,4.1,5.1,5.5,7.2,6.4,4.2,3.4,4.2,5.0,5.2,5.4,6.1,4.2,7.2,15
16 AMBTEMP °F,ALPINE,63.2,63.1,63.3,63.1,62.7,63.6,65.9,67.8,67.3,66.5,66.8,67.0,69.1,72.3,74.5,75.1,74.6,70.7,67.2,66.5,66.1,66.0,65.6,66.3,67.3,75.1,15
,CARMEL MT RCH,66.3,66.3,66.1,65.4,65.6,66.2,67.1,68.1,68.5,68.8,69.5,70.4,71.2,72.2,72.0,70.8,69.1,67.9,66.9,66.4,66.4,66.3,66.4,66.3,67.9,72.2,13
,CHULA VISTA,68.1,68.0,68.1,67.8,68.1,68.2,69.0,69.2,69.8,70.7,70.8,71.3,72.9,73.5,72.7,72.6,71.4,71.1,70.2,69.6,69.7,69.8,69.9,69.8,70.1,73.5,13
,DOWNTOWN SES,68.6,68.6,68.6,68.4,68.3,68.7,69.2,69.2,69.1,70.0,70.7,71.0,71.2,70.8,70.3,70.1,69.5,68.9,68.0,68.1,68.4,68.8,68.8,68.9,69.3,71.2,12
,EL CAJON LES,68.0,67.6,66.9,67.5,67.9,67.6,68.5,70.1,70.9,71.7,72.0,72.8,74.3,77.0,79.5,78.0,75.6,72.7,71.8,70.6,70.0,70.2,70.4,69.8,71.3,79.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,68.6,68.5,68.2,67.6,66.9,67.1,68.0,68.7,69.1,69.3,70.3,70.9,72.1,72.4,70.8,69.9,69.8,68.6,67.8,67.4,67.5,67.7,67.9,68.0,68.9,72.4,13
,OTAY MESA DVN,64.8,65.2,65.3,65.6,65.9,65.7,66.8,69.1,71.2,69.7,70.2,70.2,72.4,74.5,74.6,73.0,71.0,69.1,68.6,68.6,68.1,67.9,68.2,68.2,68.9,74.6,14
,PENDLETON,69.1,69.1,69.2,68.8,68.0,67.3,P,,,P,72.1,71.9,72.7,73.0,72.4,70.7,70.4,69.8,69.6,69.4,69.3,69.2,69.0,68.9,70.0,73.0,13
17 RELHUM %,ALPINE,100,100,100,100,100,100,100,100,100,100,99,97,91,83,77,75,78,88,97,98,99,98,98,96,95,100,00
,EL CAJON LES,86,88,93,91,89,91,88,85,82,78,77,75,71,65,61,65,70,76,79,83,85,85,84,86,81,93,02
,KEARNY MESA,86,87,88,91,95,95,95,94,92,90,87,85,82,82,87,89,89,92,95,97,98,97,96,96,91,98,20
18 PRES mmHg,EL CAJON LES,748,747,748,748,748,747,747,748,748,748,748,748,748,748,748,747,747,747,748,748,748,749,748,748,748,749,21
,KEARNY MESA,749,748,749,749,749,749,748,749,749,749,750,750,749,749,749,749,749,749,749,749,749,750,750,749,749,750,10
19 SOLAR W/M2,EL CAJON LES,-3,-4,-4,-4,-3,10,66,167,190,217,213,230,387,630,731,529,310,79,8,-4,-3,-3,-3,-3,156,731,14
,KEARNY MESA,0,0,0,0,0,23,61,93,134,150,252,180,231,286,237,168,102,41,8,0,0,0,0,0,82,286,13
25 NOY,EL CAJON LES,3.28,3.34,3.51,3.46,2.72,C,C,5.53,7.45,10.78,7.51,7.07,6.30,5.59,6.19,4.60,3.82,4.00,4.85,4.35,5.33,5.41,4.83,4.57,5.20,10.78,09
26 NOY-NO,EL CAJON LES,3.27,3.33,3.47,3.42,2.66,C,C,4.20,5.78,8.26,6.00,5.78,5.39,4.89,5.13,3.69,3.20,3.65,4.69,4.27,5.13,5.35,4.69,4.51,4.58,8.26,09
27 NO Trace,EL CAJON LES,.01,.01,.03,.03,.05,C,C,1.32,1.67,2.52,1.51,1.29,.91,.70,1.06,.91,.62,.35,.15,.07,.20,.05,.13,.05,.62,2.52,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,155.4,151.3,C,C,C,151.9,197.4,186.3,228.4,226.1,C,221.6,206.8,211.1,221.0,196.0,184.9,165.6,182.3,172.5,175.7,163.1,165.4,162.1,186.2,228.4,08
BCarbon ug/m3,10TH AVE MARINE TERM,.15,.14,.12,.14,.12,.20,.17,.50,.13,.30,.50,.37,.36,.41,.20,.93,.24,.18,.27,.42,.51,.53,.25,.18,.31,.93,15
,ALPINE,.14,.12,.13,.12,.12,.20,.30,.36,.39,.30,.37,.50,.41,.40,.44,.44,.41,.40,.27,.33,.41,.48,.46,.45,.33,.50,11
,CHICANO PARK,.16,.13,.14,.15,.22,.37,.68,.55,1.27,.60,.68,.45,.38,.58,.34,.34,.26,.27,.37,.40,.76,.30,.19,.19,.41,1.27,08
,DOWNTOWN SES,.14,.15,.14,.12,.15,.19,.26,.40,.32,.36,.43,.28,.41,.32,.23,.16,.17,.28,.24,.24,.27,.25,.18,.15,.24,.43,10
,OCEANVIEW BLVD,.16,.13,.16,.16,.31,.32,.49,.49,.80,.30,.44,.45,.47,.53,.41,.28,.30,.31,.28,.23,.17,.20,.16,.16,.32,.80,08
,SAN YSIDRO,.09,.12,.11,.12,.15,.19,.21,.23,.48,.16,.13,.20,.34,.33,.31,.37,.27,.18,.20,.17,.24,.28,.29,.21,.22,.48,08
RAINFALL,EL CAJON LES,.00,.00,.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,02
