Current Date:,7/16/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/15/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.018,.025,C,C,.041,.045,.044,.027,.037,.044,.055,.065,.068,.067,.065,.063,.058,.051,.045,.039,.034,.030,.027,.022,.044,.068,12
,CHULA VISTA,.025,.024,C,C,.022,.021,.021,.024,.027,.033,.040,.040,.039,.042,.040,.040,.039,.036,.035,.033,.033,.033,.031,.031,.032,.042,13
,DOWNTOWN SES,.030,.027,C,C,.024,.024,.022,.021,.027,.035,.037,.042,.044,.045,.043,.043,.042,.038,.033,.032,.033,.033,.032,.033,.033,.045,13
,EL CAJON LES,.021,.019,C,C,C,.017,.017,.021,.025,.037,.043,.053,.055,.057,.057,.053,.048,.042,.035,.031,.027,.026,.026,.024,.034,.057,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.022,C,C,.018,.019,.019,.023,.026,.033,.040,.043,.046,.046,.046,.042,.040,.040,.032,.029,.029,.031,.029,.029,.032,.046,12
,OTAY MESA DVN,.022,.021,C,C,.015,.014,.018,.019,.025,.033,.042,.048,.047,.047,.046,.042,.040,.037,.033,.032,.030,.029,.028,.028,.031,.048,11
,PENDLETON,.030,.030,.030,.029,.027,.025,.026,.027,M,M,M,.034,.039,.035,.036,.035,.036,.037,.036,.035,.035,.034,.034,.034,.032,.039,12
02 NOX PPM,ALPINE,.012,.007,C,C,.004,.004,.004,.021,.010,.006,.006,.005,.005,.004,.003,.003,.004,.005,.006,.006,.006,.007,.005,.007,.006,.021,07
,CARMEL MT RCH,.014,.009,C,C,.009,.007,.015,.029,.030,.031,.031,.021,.025,.023,.019,.018,.023,.025,.014,.012,.021,.013,.016,.013,.019,.031,09
,CHULA VISTA,.003,.004,C,C,.004,.005,.007,.008,.007,.006,.004,.003,.003,.003,.003,.002,.002,.002,.001,.002,.001,.001,.002,.002,.003,.008,07
,DOWNTOWN SES,.002,.004,C,C,.005,.004,.007,.015,.011,.005,.006,.005,.004,.004,.004,.004,.003,.002,.003,.003,.003,.004,.003,.002,.005,.015,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.005,C,C,.007,.006,.008,.006,.010,.011,.005,.005,.005,.003,.003,.004,.005,.004,.003,.003,.003,.003,.003,.003,.005,.011,09
,OTAY MESA DVN,.002,.003,C,C,.004,.008,.003,.005,M,M,M,M,M,M,.003,.003,.003,.002,.002,.002,.002,.002,.003,.002,.003,.008,05
,PENDLETON,.000,.000,.001,.001,.002,.003,.003,.006,M,M,M,.004,.005,.005,.009,.002,.001,.001,.001,.001,.000,.000,.000,.000,.002,.009,14
03 NO2 PPM,ALPINE,.012,.007,C,C,.004,.003,.004,.014,.008,.005,.005,.004,.004,.004,.003,.003,.003,.005,.005,.006,.005,.006,.005,.007,.006,.014,07
,CARMEL MT RCH,.009,.005,C,C,.006,.006,.008,.011,.013,.014,.016,.011,.013,.012,.010,.010,.012,.012,.008,.007,.011,.007,.008,.008,.010,.016,10
,CHULA VISTA,.003,.004,C,C,.004,.005,.005,.006,.005,.004,.004,.002,.002,.002,.002,.002,.001,.002,.001,.002,.001,.001,.002,.002,.003,.006,07
,DOWNTOWN SES,.002,.004,C,C,.005,.004,.006,.010,.007,.004,.004,.004,.003,.003,.003,.003,.003,.002,.002,.002,.003,.004,.003,.002,.004,.010,07
,EL CAJON LES,.004,.004,C,C,C,.007,.009,.009,.009,.008,.009,.007,.005,.004,.005,.005,.006,.007,.007,.006,.006,.005,.005,.005,.006,.009,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.007,.006,.006,.005,.007,.008,.004,.004,.004,.003,.002,.003,.004,.003,.003,.003,.003,.003,.003,.003,.004,.008,09
,OTAY MESA DVN,.002,.002,C,C,.003,.005,.002,.003,M,M,M,M,M,M,.003,.002,.002,.002,.002,.001,.002,.001,.003,.002,.002,.005,05
,PENDLETON,.000,.001,.001,.001,.002,.003,.002,.004,M,M,M,.002,.003,.002,.004,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.004,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.007,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.007,07
,CARMEL MT RCH,.006,.003,C,C,.004,.002,.007,.018,.017,.017,.015,.011,.012,.011,.010,.009,.011,.013,.006,.006,.010,.005,.008,.005,.009,.018,07
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.002,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.001,.005,.004,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.002,.002,.003,.003,.001,.001,.001,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,OTAY MESA DVN,.000,.000,C,C,.001,.003,.001,.001,M,M,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,05
,PENDLETON,.000,.000,.000,.000,.000,.000,.000,.002,M,M,M,.001,.002,.002,.005,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,14
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.3,.5,.4,.5,.5,.5,.5,.6,.5,.4,.6,.6,.5,.5,.5,.4,.4,.3,.4,.6,13
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,23,24,24,24,23,24,23,24,24,24,24,24,24,25,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,25,26,26,26,26,00
,CHULA VISTA,25,25,24,25,25,25,24,25,24,25,25,25,25,24,25,25,25,24,25,24,24,24,24,25,25,25,00
,DOWNTOWN SES,24,24,24,23,23,24,23,23,23,23,M,22,22,23,22,22,23,23,23,23,23,23,23,23,23,24,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,23,24,23,23,24,23,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,05
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
11 PM2.5 µg/M3,ALPINE,6.1,8.5,8.2,9.4,7.0,3.5,3.4,3.8,3.9,5.1,6.9,6.3,5.2,6.7,6.5,5.6,2.5,3.1,6.0,7.6,4.8,4.8,6.4,7.1,5.7,9.4,03
,DOWNTOWN SES,1.5,2.6,3.0,5.6,5.0,9.5,7.6,M,M,1.9,3.9,7.6,3.1,.0,1.0,2.9,8.2,5.7,3.2,1.8,2.0,2.5,4.8,3.4,3.9,9.5,05
,EL CAJON LES,7.2,2.6,3.2,5.4,4.3,10.9,9.0,11.8,12.4,11.6,10.7,10.5,5.4,6.6,M,7.2,6.9,8.0,8.5,4.8,2.8,3.3,3.5,2.3,6.9,12.4,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.5,6.9,11.3,10.0,11.8,9.9,7.9,11.4,M,11.3,15.6,16.9,8.4,9.1,5.1,3.1,4.3,7.2,6.3,5.9,8.8,9.4,11.9,8.3,9.0,16.9,11
,PENDLETON,4.0,6.5,7.4,7.8,9.0,9.4,9.2,9.1,M,6.5,6.5,5.6,7.0,7.7,6.0,3.0,2.6,3.0,5.0,6.6,4.4,2.9,4.9,4.7,6.0,9.4,05
12 VWDR °,ALPINE,38,33,87,74,19,73,277,259,261,280,277,282,295,292,288,280,284,259,286,315,285,321,254,115,0,321,21
,CHULA VISTA,207,218,233,235,261,344,17,258,254,255,266,257,264,254,259,262,260,259,269,265,218,184,174,168,0,344,05
,DOWNTOWN SES,252,235,215,233,282,4,272,227,230,236,M,267,289,280,286,283,271,255,280,276,232,210,212,222,0,289,12
,EL CAJON LES,175,168,169,354,40,327,305,284,252,237,M,M,M,200,210,205,204,169,152,146,149,138,157,132,0,354,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,111,318,311,266,11,6,331,310,243,227,248,252,259,269,287,276,272,250,265,294,271,287,294,316,0,331,06
,OTAY MESA DVN,358,348,354,28,36,9,344,332,303,293,294,298,298,298,296,297,290,299,295,285,272,271,359,345,0,359,22
,PENDLETON,163,180,181,238,129,63,214,232,231,246,248,253,256,252,255,254,252,244,250,269,225,216,205,186,0,269,19
13 SIGTHETA °,ALPINE,38,42,49,43,32,34,36,21,28,35,34,36,32,31,30,28,28,30,22,26,37,40,45,47,34,49,02
,CHULA VISTA,33,40,30,58,45,47,38,42,38,28,30,27,26,23,25,23,21,24,24,26,24,22,21,18,31,58,03
,DOWNTOWN SES,38,30,35,23,41,30,59,36,25,22,M,29,25,26,22,23,22,23,25,27,24,23,20,22,28,59,06
,EL CAJON LES,17,38,33,36,42,46,46,66,68,49,M,M,M,25,25,23,22,21,17,18,18,20,17,18,32,68,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,56,11,15,29,60,49,37,43,41,36,19,23,22,23,22,21,17,15,12,8,8,31,14,12,26,60,04
,OTAY MESA DVN,16,15,21,19,23,17,24,41,35,<,18,16,16,17,16,13,14,12,12,10,7,6,20,17,18,41,07
,PENDLETON,17,27,15,46,31,19,40,19,17,14,14,15,16,14,16,17,14,15,16,24,20,20,17,16,20,46,03
14 VWSP MPH,ALPINE,.7,.9,.5,.5,.6,.6,1.0,2.8,3.5,4.0,4.3,4.9,5.8,5.6,5.6,5.7,4.7,4.4,3.8,2.5,1.3,.7,.3,.7,.0,5.8,12
,CHULA VISTA,.8,1.1,1.1,.9,.7,1.0,1.4,2.4,3.4,5.0,5.4,5.9,6.5,6.1,6.5,6.6,6.6,6.0,4.7,3.3,2.0,1.7,1.5,1.5,.0,6.6,15
,DOWNTOWN SES,1.7,2.1,1.2,2.0,.8,1.8,.9,2.8,5.3,6.4,M,5.3,6.3,6.4,6.5,6.3,5.5,5.8,4.1,3.1,2.4,2.1,2.5,2.3,.0,6.5,14
,EL CAJON LES,1.7,.9,.5,.4,1.1,.9,1.0,.7,1.4,3.4,M,M,M,6.2,6.2,6.8,7.0,6.5,6.3,4.9,4.3,3.0,2.6,2.2,.0,7.0,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,.3,2.1,2.1,1.7,.6,.6,2.1,2.1,3.0,5.2,7.2,7.4,7.4,7.1,7.5,7.3,7.5,7.9,5.9,4.6,3.4,1.2,2.4,1.9,.0,7.9,17
,OTAY MESA DVN,2.2,1.2,.9,.0,.2,.2,1.6,1.9,2.8,4.2,7.7,8.3,8.7,7.3,8.6,9.4,8.8,8.4,7.6,5.0,2.1,.9,.9,.1,.0,9.4,15
,PENDLETON,3.3,2.8,2.3,1.4,1.2,2.7,2.2,3.5,5.3,6.3,6.8,7.0,7.2,7.7,7.0,6.7,6.8,6.3,4.9,2.9,2.0,2.5,2.6,2.3,.0,7.7,13
15 SWSP MPH,ALPINE,1.1,1.2,.9,.6,.8,.8,1.2,3.0,3.9,4.7,5.1,5.8,6.7,6.4,6.3,6.4,5.8,5.1,4.1,2.8,2.0,1.1,1.2,1.0,3.3,6.7,12
,CHULA VISTA,1.0,1.3,1.3,1.3,1.2,1.5,2.0,2.8,4.0,5.6,6.2,6.5,7.1,6.6,7.1,7.2,7.1,6.5,5.2,3.6,2.4,1.8,1.5,1.6,3.9,7.2,15
,DOWNTOWN SES,1.9,2.4,1.6,2.2,1.9,2.3,1.5,3.8,5.8,6.9,M,6.1,6.9,7.1,7.0,6.8,6.2,6.3,4.5,3.4,2.6,2.4,2.7,2.5,4.1,7.1,13
,EL CAJON LES,1.8,1.0,.7,.8,1.5,1.8,1.5,1.4,2.3,4.4,M,M,M,7.0,6.8,7.4,7.5,7.2,6.6,5.2,4.5,3.3,2.7,2.3,3.7,7.5,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.0,2.1,2.2,2.0,1.1,1.6,2.7,2.9,4.2,5.9,7.8,7.9,7.9,7.7,8.1,7.9,7.8,8.4,6.0,4.7,3.5,1.3,2.5,2.0,4.6,8.4,17
,OTAY MESA DVN,2.3,1.4,1.0,.0,.2,.2,1.6,2.3,3.2,4.9,8.1,8.7,9.0,7.6,8.9,9.6,9.1,8.6,7.8,5.2,2.1,1.0,1.0,.1,4.3,9.6,15
