,DOWNTOWN SES,M,M,M,M,M,M,M,M,13.3,11.3,12.0,9.0,8.5,9.7,14.6,11.0,7.8,12.2,12.3,8.2,7.6,14.0,9.2,6.2,10.4,14.6,14
,EL CAJON LES,9.9,8.3,8.8,9.7,9.4,12.3,11.4,15.4,11.2,14.8,9.5,16.5,8.4,7.0,8.6,7.7,9.8,16.7,12.0,13.2,14.0,18.8,9.6,14.6,11.5,18.8,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.8,7.9,3.2,4.4,12.1,13.7,19.0,15.9,17.5,17.5,17.9,15.5,11.7,14.5,13.5,10.0,14.4,14.2,13.9,9.1,17.8,11.5,13.9,15.1,13.1,19.0,06
,PENDLETON,11.6,9.5,10.5,10.1,11.9,9.7,13.5,9.8,13.3,11.4,12.3,13.0,12.9,12.9,9.3,9.8,8.1,13.4,10.2,9.2,9.0,10.6,8.3,15.5,11.0,15.5,23
12 VWDR °,ALPINE,111,76,70,39,121,122,160,244,270,283,294,292,301,294,289,291,281,283,308,318,261,163,134,341,0,341,23
,CHULA VISTA,256,240,241,285,308,296,310,249,259,254,251,252,263,258,258,253,245,243,245,249,220,222,238,221,0,310,06
,DOWNTOWN SES,330,357,243,277,0,0,16,168,229,216,265,243,247,259,255,231,220,204,200,210,194,198,200,212,0,357,01
,EL CAJON LES,195,178,188,172,157,155,137,262,248,M,249,240,243,240,252,222,231,212,205,198,210,213,197,182,0,262,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,282,292,283,331,303,315,7,218,200,228,240,230,254,265,241,232,233,230,226,234,178,159,156,129,0,331,03
,OTAY MESA DVN,327,283,352,0,3,323,329,288,301,299,297,299,301,297,295,297,300,300,307,312,314,339,345,343,0,352,02
,PENDLETON,256,174,192,208,193,136,153,202,212,245,257,263,250,252,247,249,251,237,241,239,205,172,145,118,0,263,11
13 SIGTHETA °,ALPINE,48,47,28,41,41,29,20,23,38,31,30,29,27,27,28,28,29,28,23,27,46,46,68,36,34,68,22
,CHULA VISTA,22,22,19,23,<,41,42,70,31,28,19,23,25,22,25,25,23,23,18,,23,23,20,28,27,70,07
,DOWNTOWN SES,22,47,26,40,21,20,46,48,33,23,22,23,24,31,28,25,22,19,17,23,21,24,26,18,27,48,07
,EL CAJON LES,17,18,17,22,20,40,72,54,57,M,38,22,24,27,26,25,23,22,18,15,19,21,19,20,28,72,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,12,35,11,7,16,54,60,43,34,21,16,20,20,20,16,16,16,17,16,15,12,17,43,23,60,07
,OTAY MESA DVN,22,24,23,18,43,26,19,43,25,23,15,11,14,14,14,13,13,12,14,14,14,13,15,24,19,43,04
,PENDLETON,31,14,14,17,16,16,24,18,20,14,14,16,14,16,13,14,15,16,24,19,24,17,15,14,17,31,00
14 VWSP MPH,ALPINE,.9,.3,.9,.3,.6,.6,1.5,2.6,2.9,4.0,5.0,6.0,6.4,6.6,5.7,5.6,4.9,4.3,3.2,2.0,.7,.7,.6,.4,.0,6.6,13
,CHULA VISTA,2.0,1.4,1.3,1.5,.8,1.2,1.3,1.0,3.6,4.0,6.9,7.2,7.0,6.7,6.2,5.6,6.0,5.3,4.5,,2.8,2.3,2.1,1.4,.0,7.2,11
,DOWNTOWN SES,2.5,1.3,2.0,1.3,1.7,2.2,1.9,.1,3.3,5.8,5.9,6.6,6.6,5.6,6.0,6.1,7.0,6.3,5.4,4.1,4.2,2.6,2.6,2.4,.0,7.0,16
,EL CAJON LES,2.8,2.1,3.0,1.2,1.5,.7,.3,.8,1.5,M,4.2,7.0,7.4,6.6,6.5,6.5,6.3,5.7,4.7,4.5,4.0,2.9,2.5,1.9,.0,7.4,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.9,1.4,.6,1.3,2.2,1.4,1.1,1.4,2.9,4.1,7.5,10.6,8.6,7.3,8.8,8.2,8.1,6.3,4.8,4.6,5.1,4.9,3.4,2.1,.0,10.6,11
,OTAY MESA DVN,1.7,.6,.3,.4,.7,.2,2.0,.6,2.9,4.9,9.2,10.1,9.7,9.5,10.6,8.3,8.7,7.2,5.8,5.3,4.6,4.2,4.0,2.8,.0,10.6,14
,PENDLETON,.8,1.9,2.4,2.3,2.1,2.3,1.7,4.2,5.0,5.9,8.0,7.4,7.6,7.3,6.4,6.4,6.9,5.2,2.5,2.7,1.6,3.0,2.5,2.2,.0,8.0,10
15 SWSP MPH,ALPINE,1.2,.7,1.0,.4,.8,.8,1.7,2.9,3.5,4.7,5.6,6.7,7.0,7.4,6.5,6.2,5.6,4.9,3.7,2.3,1.3,1.2,1.2,1.3,3.3,7.4,13
,CHULA VISTA,2.1,1.6,1.3,1.6,1.1,<,1.7,1.9,4.1,4.5,7.3,7.8,7.7,7.2,6.8,6.2,6.4,5.7,4.7,4.2,3.2,2.5,2.2,1.8,4.1,7.8,11
,DOWNTOWN SES,2.8,1.7,2.2,1.8,1.8,2.4,2.4,2.4,3.9,6.5,6.7,7.2,7.2,6.5,6.8,6.8,7.5,6.7,5.6,4.4,4.6,2.8,2.9,2.5,4.4,7.5,16
,EL CAJON LES,3.0,2.2,3.1,1.4,1.6,1.0,.9,1.5,2.2,M,5.2,7.6,8.1,7.4,7.2,7.1,6.9,6.3,5.0,4.7,4.3,3.1,2.8,2.1,4.1,8.1,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.9,1.5,.8,1.3,2.3,1.5,1.6,2.5,3.8,4.7,8.0,11.0,9.3,7.8,9.5,8.5,8.4,6.6,5.1,4.8,5.5,5.0,3.6,2.3,4.9,11.0,11
,OTAY MESA DVN,2.1,.6,.3,.4,.8,.2,2.1,.6,3.2,5.2,9.6,10.3,10.0,9.8,10.9,8.5,8.9,7.4,6.1,5.5,5.0,4.3,4.2,3.0,5.0,10.9,14
,PENDLETON,1.1,2.1,2.5,2.5,2.3,2.6,2.3,4.5,5.4,6.0,8.2,7.7,7.8,7.6,6.5,6.6,7.1,5.4,2.8,2.9,2.0,3.2,2.7,2.4,4.3,8.2,10
16 AMBTEMP °F,ALPINE,73.5,73.2,73.6,73.7,72.4,73.1,75.7,78.3,80.8,84.6,87.3,89.8,89.6,88.0,88.2,87.4,85.9,82.6,78.1,74.1,73.1,72.7,72.3,71.0,79.1,89.8,11
,CARMEL MT RCH,67.8,66.9,67.0,66.8,66.5,66.4,69.1,74.9,80.3,83.6,86.5,85.9,85.5,86.2,87.0,87.0,85.5,82.0,75.5,71.1,70.0,69.5,69.1,68.7,75.8,87.0,14
,CHULA VISTA,69.7,69.2,68.9,68.8,68.9,<,70.4,73.5,75.6,77.0,76.7,76.4,75.9,76.2,76.0,75.6,73.8,72.5,70.9,69.8,69.5,69.4,69.2,69.0,72.3,77.0,09
,DOWNTOWN SES,68.8,68.7,68.8,68.6,68.4,68.6,69.8,72.1,74.3,76.2,77.4,76.3,76.0,76.5,75.6,75.5,73.6,71.6,69.5,68.6,68.8,69.0,69.2,69.0,71.7,77.4,10
,EL CAJON LES,71.3,69.8,69.0,68.4,68.0,68.8,71.8,75.9,81.4,86.7,89.4,89.6,88.8,89.1,89.8,87.9,85.3,81.3,76.9,73.4,71.1,70.1,69.5,69.2,77.6,89.8,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,67.9,67.7,67.5,67.0,67.0,67.7,70.3,74.5,79.1,82.7,84.4,83.7,83.6,84.5,83.3,82.0,79.3,76.2,73.8,71.4,70.3,69.7,69.6,69.4,74.7,84.5,13
,OTAY MESA DVN,66.7,65.7,65.8,65.8,65.7,65.9,67.9,73.1,77.8,82.4,83.4,81.5,80.8,80.0,80.0,79.2,78.4,75.0,71.9,69.0,67.5,67.1,66.8,66.5,72.7,83.4,10
,PENDLETON,70.7,70.8,70.5,70.6,70.0,70.2,71.1,73.0,74.2,74.5,74.1,74.4,75.4,75.6,75.3,75.1,74.0,72.0,70.8,70.7,70.4,70.5,70.7,70.7,72.3,75.6,13
17 RELHUM %,ALPINE,48,47,45,44,46,45,42,40,36,36,30,28,33,35,31,31,32,37,49,62,66,68,69,74,45,74,23
,EL CAJON LES,67,79,85,87,89,87,78,67,52,40,36,40,37,36,30,38,43,53,61,70,77,80,82,83,62,89,04
,KEARNY MESA,93,94,93,94,94,93,86,74,58,51,52,52,50,48,49,51,61,66,73,81,83,85,86,87,73,94,01
18 PRES mmHg,EL CAJON LES,747,747,747,746,746,747,747,747,747,746,746,746,746,745,745,745,745,745,746,746,747,747,747,747,746,747,00
,KEARNY MESA,748,748,748,747,747,748,748,748,748,748,747,747,747,747,746,746,746,746,747,747,747,748,748,748,747,748,00
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-5,-4,51,230,430,616,765,890,942,935,868,746,582,383,204,33,-5,-5,-5,-4,-5,318,942,11
,KEARNY MESA,0,0,0,0,1,57,249,458,650,772,906,993,989,926,808,647,458,242,55,0,0,0,0,0,342,993,11
25 NOY,EL CAJON LES,5.95,4.56,4.20,3.92,4.31,C,C,9.36,7.54,M,8.58,8.62,6.21,5.54,4.89,6.18,6.26,6.20,4.74,4.24,3.72,3.38,3.03,2.78,5.43,9.36,07
26 NOY-NO,EL CAJON LES,5.85,4.53,3.97,3.89,4.24,C,C,6.48,5.77,M,7.16,7.39,5.21,4.48,3.96,5.03,5.10,5.03,4.32,3.98,3.58,3.20,2.93,2.67,4.70,7.39,11
27 NO Trace,EL CAJON LES,.09,.03,.22,.03,.06,C,C,2.88,1.77,M,1.42,1.22,.99,1.05,.92,1.14,1.16,1.17,.42,.26,.13,.18,.10,.11,.73,2.88,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,M,M,M,M,.1,.2,.2,.2,.1,.1,.0,.0,.0,.0,.0,.2,15
29 CO Tr PPB,EL CAJON LES,222.8,181.8,C,C,C,144.0,222.8,261.3,250.1,292.2,C,C,M,M,163.7,188.7,174.2,167.7,154.3,179.6,164.0,154.9,155.3,142.8,189.4,292.2,09
BCarbon ug/m3,10TH AVE MARINE TERM,.10,.19,.12,.08,.10,.24,.56,.60,.81,.67,.44,.44,.35,.67,.47,.49,.45,.30,.66,.28,.19,.20,.18,.17,.37,.81,08
,ALPINE,.38,.33,.24,.17,.30,.24,.32,.42,.25,.37,.29,.29,.37,.26,.21,.19,.19,.21,.30,.81,.38,.42,.51,.45,.33,.81,19
,CHICANO PARK,.22,.20,.28,.19,.26,.43,.46,.53,.74,.43,.65,.42,.43,.49,.44,.85,.29,.40,.31,.43,.30,.15,.16,.21,.39,.85,15
,DOWNTOWN SES,.11,.10,.17,.13,.16,.25,.32,.50,.67,.67,.48,.46,.29,.33,.43,.53,.32,.29,.39,.16,.17,.12,.17,.21,.31,.67,08
,OCEANVIEW BLVD,.14,.13,.19,.21,.22,.36,.27,.48,.77,.71,.40,.33,.33,.38,.28,.38,.30,.24,.13,.14,.13,.11,.19,.17,.29,.77,08
,SAN YSIDRO,.11,.10,.11,.13,.18,.23,.52,.67,.25,.37,.26,.21,.13,.11,.11,.10,.12,.11,.12,.22,.55,1.16,.29,.13,.26,1.16,21
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
